Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
NOR,4,102.076,2.0,1.0,30.336,43.524,28.216,334.0,207.0,226.0,312.0,True,SOFT,5.0,False,McLaren,0 days 00:18:06.377000,1,Q
NOR,4,101.01,5.0,2.0,30.223,42.908,27.879,335.0,221.0,227.0,311.0,True,SOFT,2.0,True,McLaren,0 days 00:25:45.503000,1,Q
NOR,4,143.697,6.0,2.0,43.226,62.119,38.352,232.0,164.0,82.0,222.0,False,SOFT,3.0,True,McLaren,0 days 00:27:26.513000,1,Q
NOR,4,100.715,10.0,3.0,30.119,42.61,27.986,337.0,221.0,226.0,311.0,True,SOFT,2.0,True,McLaren,0 days 00:44:03.607000,1,Q
NOR,4,101.078,13.0,4.0,30.178,42.877,28.023,338.0,220.0,225.0,313.0,False,SOFT,5.0,False,McLaren,0 days 00:53:23.153000,1,Q
NOR,4,100.562,16.0,5.0,30.005,42.579,27.978,338.0,217.0,227.0,314.0,True,SOFT,2.0,True,McLaren,0 days 01:05:44.189000,1,Q
NOR,4,100.677,19.0,6.0,30.088,42.532,28.057,338.0,219.0,227.0,314.0,False,SOFT,2.0,True,McLaren,0 days 01:13:23.740000,1,Q
PIA,81,101.998,2.0,1.0,30.311,43.507,28.18,333.0,216.0,226.0,312.0,True,SOFT,5.0,False,McLaren,0 days 00:18:16.535000,1,Q
PIA,81,101.201,5.0,2.0,30.315,42.885,28.001,333.0,218.0,228.0,311.0,True,SOFT,2.0,True,McLaren,0 days 00:26:23.348000,1,Q
PIA,81,132.855,6.0,2.0,41.777,54.842,36.236,277.0,180.0,157.0,227.0,False,SOFT,3.0,True,McLaren,0 days 00:28:04.549000,1,Q
PIA,81,145.727,7.0,2.0,40.537,62.775,42.415,253.0,167.0,230.0,249.0,False,SOFT,4.0,True,McLaren,0 days 00:30:17.404000,1,Q
PIA,81,101.393,8.0,2.0,30.111,43.303,27.979,337.0,216.0,227.0,314.0,False,SOFT,5.0,True,McLaren,0 days 00:32:43.131000,1,Q
PIA,81,100.626,11.0,3.0,30.134,42.623,27.869,335.0,220.0,228.0,311.0,True,SOFT,2.0,True,McLaren,0 days 00:43:55.138000,1,Q
PIA,81,101.362,14.0,4.0,30.16,43.097,28.105,337.0,217.0,226.0,314.0,False,SOFT,5.0,False,McLaren,0 days 00:54:06.020000,1,Q
PIA,81,100.751,17.0,5.0,29.997,42.785,27.969,335.0,219.0,228.0,312.0,True,SOFT,2.0,True,McLaren,0 days 01:05:37.296000,1,Q
PIA,81,100.647,20.0,6.0,29.983,42.641,28.023,337.0,213.0,228.0,314.0,True,SOFT,2.0,True,McLaren,0 days 01:13:43.468000,1,Q
LEC,16,101.635,4.0,2.0,30.001,43.547,28.087,344.0,217.0,227.0,313.0,True,SOFT,2.0,True,Ferrari,0 days 00:23:17.588000,1,Q
LEC,16,101.084,9.0,4.0,30.013,43.124,27.947,341.0,221.0,227.0,312.0,True,SOFT,2.0,True,Ferrari,0 days 00:44:57.007000,1,Q
LEC,16,101.339,14.0,6.0,29.997,43.316,28.026,341.0,215.0,228.0,314.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:18.778000,1,Q
LEC,16,100.9,17.0,7.0,29.819,43.049,28.032,343.0,218.0,228.0,315.0,True,SOFT,5.0,False,Ferrari,0 days 01:13:31.605000,1,Q
VER,1,102.066,2.0,1.0,30.344,43.578,28.144,336.0,218.0,227.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:21:26.388000,1,Q
VER,1,101.334,5.0,2.0,30.25,43.091,27.993,332.0,218.0,228.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:29:59.937000,1,Q
VER,1,100.951,8.0,3.0,30.163,42.798,27.99,336.0,219.0,227.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:13.100000,1,Q
VER,1,101.078,11.0,4.0,30.055,42.934,28.089,331.0,216.0,228.0,311.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:05:10.963000,1,Q
VER,1,100.903,14.0,5.0,30.192,42.785,27.926,335.0,220.0,227.0,312.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:06.656000,1,Q
ALB,23,101.772,4.0,2.0,30.149,43.584,28.039,341.0,217.0,227.0,311.0,True,SOFT,2.0,True,Williams,0 days 00:22:12.941000,1,Q
ALB,23,101.893,7.0,3.0,30.071,43.616,28.206,340.0,218.0,225.0,311.0,False,SOFT,2.0,True,Williams,0 days 00:31:20.418000,1,Q
ALB,23,101.505,10.0,4.0,30.17,43.326,28.009,340.0,219.0,226.0,310.0,True,SOFT,2.0,True,Williams,0 days 00:44:10.638000,1,Q
ALB,23,101.559,13.0,5.0,30.088,43.435,28.036,340.0,218.0,223.0,314.0,False,SOFT,2.0,True,Williams,0 days 00:54:12.337000,1,Q
ALB,23,102.269,16.0,6.0,30.125,43.999,28.145,340.0,213.0,226.0,312.0,True,SOFT,5.0,False,Williams,0 days 01:06:08.335000,1,Q
ALB,23,101.201,19.0,7.0,29.858,43.226,28.117,339.0,216.0,226.0,314.0,True,SOFT,2.0,True,Williams,0 days 01:14:20.646000,1,Q
RUS,63,102.564,2.0,1.0,30.13,44.364,28.07,342.0,220.0,226.0,314.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:49.464000,1,Q
RUS,63,101.784,5.0,2.0,29.943,43.931,27.91,343.0,218.0,226.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:30:14.499000,1,Q
RUS,63,101.379,8.0,3.0,30.047,43.463,27.869,342.0,218.0,228.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:36.060000,1,Q
RUS,63,101.254,11.0,4.0,29.899,43.485,27.87,341.0,220.0,227.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 00:53:39.537000,1,Q
RUS,63,101.54,14.0,5.0,29.96,43.692,27.888,339.0,214.0,228.0,315.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:03.488000,1,Q
RUS,63,101.26,17.0,6.0,29.761,43.642,27.857,343.0,218.0,227.0,317.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:50.308000,1,Q
HAD,6,102.164,3.0,2.0,30.326,43.738,28.1,336.0,217.0,225.0,311.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:22:37.691000,1,Q
HAD,6,101.572,6.0,3.0,30.098,43.421,28.053,337.0,220.0,227.0,311.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:30:57.361000,1,Q
HAD,6,101.562,9.0,4.0,30.158,43.339,28.065,337.0,217.0,226.0,312.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:45:03.759000,1,Q
HAD,6,101.281,12.0,5.0,30.118,43.172,27.991,336.0,218.0,227.0,313.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:53:06.873000,1,Q
HAD,6,102.573,15.0,6.0,30.139,43.883,28.551,336.0,214.0,225.0,311.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:05:56.359000,1,Q
HAD,6,101.31,18.0,7.0,30.032,43.247,28.031,337.0,217.0,227.0,314.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:13:13.879000,1,Q
LAW,30,101.765,4.0,2.0,30.162,43.45,28.153,337.0,216.0,227.0,312.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:21:58.387000,1,Q
LAW,30,101.748,7.0,3.0,30.17,43.519,28.059,335.0,217.0,227.0,311.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:30:35.777000,1,Q
LAW,30,101.753,10.0,4.0,30.157,43.592,28.004,336.0,216.0,227.0,311.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:44:20.511000,1,Q
LAW,30,101.297,13.0,5.0,29.97,43.349,27.978,340.0,216.0,228.0,315.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:53:51.887000,1,Q
LAW,30,102.102,16.0,6.0,30.074,43.814,28.214,339.0,215.0,225.0,314.0,True,SOFT,4.0,False,Racing Bulls,0 days 01:05:49.204000,1,Q
LAW,30,101.328,19.0,7.0,29.995,43.291,28.042,338.0,213.0,228.0,315.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:14:02.198000,1,Q
BOR,5,102.851,2.0,1.0,30.285,44.222,28.344,338.0,217.0,227.0,309.0,True,SOFT,2.0,True,Audi,0 days 00:21:17.858000,1,Q
