Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,110.406,4.0,3.0,31.488,49.026,29.892,294.0,205.0,163.0,299.0,True,SOFT,2.0,False,McLaren,0 days 00:39:07.074000,1,FP1,40.0,24.1,42.7
NOR,1,108.903,6.0,3.0,31.406,48.007,29.49,302.0,213.0,202.0,296.0,True,SOFT,4.0,False,McLaren,0 days 00:43:39.786000,1,FP1,39.5,23.9,44.3
NOR,1,107.931,10.0,4.0,30.972,47.78,29.179,302.0,211.0,172.0,304.0,True,SOFT,2.0,True,McLaren,0 days 00:58:53.797000,1,FP1,37.8,24.0,40.3
NOR,1,108.592,12.0,4.0,31.198,47.705,29.689,300.0,213.0,165.0,301.0,False,SOFT,4.0,True,McLaren,0 days 01:03:40.439000,1,FP1,36.7,23.8,40.8
NOR,1,117.753,13.0,4.0,38.987,48.629,30.137,301.0,206.0,204.0,281.0,False,SOFT,5.0,True,McLaren,0 days 01:05:29.031000,1,FP1,36.9,23.8,41.0
NOR,1,111.284,14.0,4.0,32.761,48.724,29.799,304.0,207.0,218.0,286.0,False,SOFT,6.0,True,McLaren,0 days 01:07:26.784000,1,FP1,35.9,23.8,41.1
NOR,1,109.949,15.0,4.0,31.537,48.723,29.689,307.0,209.0,218.0,296.0,False,SOFT,7.0,True,McLaren,0 days 01:09:18.068000,1,FP1,36.0,23.8,41.1
NOR,1,112.669,16.0,4.0,31.583,50.392,30.694,311.0,198.0,218.0,299.0,False,SOFT,8.0,True,McLaren,0 days 01:11:08.017000,12,FP1,35.8,23.7,41.1
NOR,1,112.946,17.0,4.0,32.098,50.847,30.001,313.0,205.0,198.0,294.0,False,SOFT,9.0,True,McLaren,0 days 01:13:00.686000,1,FP1,35.0,23.6,41.9
NOR,1,144.588,18.0,4.0,40.212,62.823,41.553,209.0,151.0,75.0,220.0,False,SOFT,10.0,True,McLaren,0 days 01:14:53.632000,1,FP1,34.8,23.5,42.1
VER,3,109.307,2.0,1.0,31.174,49.044,29.089,313.0,207.0,202.0,294.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:16:55.273000,1,FP1,42.8,24.1,43.6
VER,3,108.237,4.0,1.0,31.056,48.112,29.069,310.0,209.0,205.0,294.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:45.851000,1,FP1,43.1,24.3,41.8
VER,3,107.859,6.0,1.0,31.045,48.055,28.759,310.0,207.0,210.0,292.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:26:58.740000,1,FP1,43.0,24.6,40.4
VER,3,107.07,9.0,2.0,30.974,47.308,28.788,306.0,213.0,212.0,291.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:19.523000,1,FP1,38.7,24.1,43.5
VER,3,111.564,12.0,3.0,31.959,49.949,29.656,303.0,200.0,206.0,293.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:52:56.260000,1,FP1,38.5,24.3,42.6
VER,3,111.694,13.0,3.0,32.151,49.979,29.564,304.0,196.0,209.0,291.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:54:47.824000,1,FP1,39.2,24.2,38.8
VER,3,111.776,14.0,3.0,31.89,50.107,29.779,306.0,199.0,209.0,293.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:56:39.518000,1,FP1,38.5,24.2,39.3
VER,3,111.735,15.0,3.0,31.824,50.125,29.786,307.0,196.0,204.0,293.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:58:31.294000,1,FP1,38.3,24.2,39.8
VER,3,112.673,16.0,3.0,31.985,50.695,29.993,310.0,192.0,203.0,288.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:23.029000,1,FP1,37.8,24.0,39.7
VER,3,112.826,17.0,3.0,32.139,50.635,30.052,309.0,197.0,206.0,287.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:02:15.702000,1,FP1,37.0,23.8,40.4
VER,3,112.83,18.0,3.0,31.93,50.727,30.173,314.0,194.0,204.0,289.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:04:08.528000,1,FP1,36.7,23.8,40.8
VER,3,113.183,19.0,3.0,32.085,50.926,30.172,310.0,192.0,204.0,287.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:06:01.358000,1,FP1,36.7,23.7,41.0
VER,3,112.987,20.0,3.0,32.009,50.992,29.986,309.0,189.0,205.0,288.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:07:54.541000,1,FP1,36.0,23.8,41.1
VER,3,144.933,23.0,4.0,40.585,54.385,49.963,269.0,181.0,77.0,226.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:13:56.224000,1,FP1,35.0,23.7,41.9
BOR,5,110.992,2.0,1.0,31.651,49.542,29.799,299.0,201.0,173.0,301.0,True,HARD,2.0,True,Audi,0 days 00:17:43.326000,1,FP1,43.2,24.3,43.0
BOR,5,110.166,4.0,1.0,31.479,49.125,29.562,294.0,206.0,186.0,304.0,True,HARD,4.0,True,Audi,0 days 00:22:22.778000,1,FP1,43.1,24.3,41.8
BOR,5,109.825,6.0,1.0,31.626,48.69,29.509,298.0,205.0,170.0,303.0,True,HARD,6.0,True,Audi,0 days 00:27:11.963000,1,FP1,43.0,24.6,40.4
BOR,5,109.24,8.0,1.0,31.371,48.681,29.188,300.0,204.0,200.0,306.0,True,HARD,8.0,True,Audi,0 days 00:31:42.905000,1,FP1,40.9,24.6,41.7
BOR,5,108.406,11.0,2.0,31.189,48.078,29.139,302.0,206.0,203.0,305.0,True,SOFT,2.0,True,Audi,0 days 00:47:18.511000,1,FP1,39.5,23.9,45.4
BOR,5,110.756,15.0,3.0,31.73,49.35,29.676,304.0,200.0,212.0,300.0,False,SOFT,6.0,False,Audi,0 days 00:56:44.501000,1,FP1,38.3,24.2,39.8
BOR,5,110.547,16.0,3.0,31.456,49.511,29.58,306.0,198.0,212.0,306.0,False,SOFT,7.0,False,Audi,0 days 00:58:35.257000,1,FP1,38.3,24.2,39.8
BOR,5,110.895,17.0,3.0,31.446,49.654,29.795,309.0,196.0,210.0,304.0,False,SOFT,8.0,False,Audi,0 days 01:00:25.804000,1,FP1,37.8,24.0,39.7
HAD,6,108.918,2.0,1.0,31.189,48.483,29.246,310.0,201.0,195.0,292.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:07.009000,1,FP1,42.8,24.1,43.6
HAD,6,108.464,4.0,1.0,31.502,47.721,29.241,305.0,211.0,206.0,291.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:22:05.676000,1,FP1,43.1,24.3,41.8
HAD,6,107.778,6.0,1.0,31.187,47.64,28.951,307.0,208.0,207.0,291.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:27:05.659000,1,FP1,43.0,24.6,40.4
HAD,6,107.322,9.0,2.0,30.983,47.503,28.836,306.0,209.0,208.0,294.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:39.136000,1,FP1,38.8,24.1,43.1
HAD,6,107.633,11.0,2.0,31.295,47.495,28.843,302.0,214.0,202.0,290.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:46:41.677000,1,FP1,39.5,23.9,45.4
HAD,6,112.402,14.0,3.0,32.756,49.996,29.65,302.0,196.0,208.0,286.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:59:21.280000,1,FP1,37.8,24.0,40.3
HAD,6,111.776,15.0,3.0,31.804,50.38,29.592,309.0,193.0,207.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:01:13.682000,1,FP1,37.6,23.9,39.8
HAD,6,112.43,16.0,3.0,32.205,50.397,29.828,304.0,199.0,211.0,289.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:03:05.458000,1,FP1,36.7,23.7,41.1
HAD,6,112.223,17.0,3.0,31.9,50.455,29.868,308.0,186.0,207.0,291.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:04:57.888000,1,FP1,36.9,23.8,41.0
HAD,6,112.554,18.0,3.0,31.967,50.696,29.891,310.0,190.0,207.0,288.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:06:50.111000,1,FP1,35.9,23.8,41.1
HAD,6,112.816,19.0,3.0,31.95,50.955,29.911,311.0,186.0,207.0,287.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:08:42.665000,1,FP1,36.0,23.8,41.1
HAD,6,112.862,20.0,3.0,32.032,51.165,29.665,315.0,191.0,207.0,286.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:10:35.481000,12,FP1,35.8,23.7,41.1
HAD,6,113.659,21.0,3.0,31.662,52.037,29.96,324.0,189.0,207.0,293.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:12:28.343000,1,FP1,35.4,24.1,41.6
GAS,10,112.228,2.0,1.0,32.092,50.24,29.896,303.0,204.0,192.0,296.0,True,HARD,2.0,True,Alpine,0 days 00:18:04.191000,1,FP1,43.2,24.3,43.0
GAS,10,111.608,4.0,1.0,31.942,49.921,29.745,303.0,204.0,190.0,306.0,True,HARD,4.0,True,Alpine,0 days 00:22:36.789000,1,FP1,43.1,24.3,41.8
GAS,10,111.286,6.0,1.0,31.832,49.887,29.567,305.0,199.0,189.0,306.0,True,HARD,6.0,True,Alpine,0 days 00:27:17.534000,1,FP1,43.0,24.6,40.4
GAS,10,110.511,9.0,2.0,31.745,49.529,29.237,298.0,207.0,192.0,308.0,True,HARD,9.0,False,Alpine,0 days 00:34:49.885000,1,FP1,39.7,24.4,41.8
GAS,10,109.712,12.0,3.0,31.439,48.638,29.635,303.0,208.0,189.0,309.0,True,SOFT,2.0,True,Alpine,0 days 00:47:12.443000,1,FP1,39.5,23.9,45.4
GAS,10,113.528,16.0,4.0,31.654,51.456,30.418,309.0,197.0,212.0,298.0,False,HARD,12.0,False,Alpine,0 days 01:02:07.286000,1,FP1,37.0,23.8,40.4
GAS,10,113.759,17.0,4.0,31.882,51.504,30.373,307.0,190.0,214.0,298.0,False,HARD,13.0,False,Alpine,0 days 01:04:00.814000,1,FP1,36.7,23.8,40.8
GAS,10,114.112,18.0,4.0,31.801,51.843,30.468,311.0,191.0,215.0,299.0,False,HARD,14.0,False,Alpine,0 days 01:05:54.573000,1,FP1,36.7,23.7,41.0
GAS,10,114.168,19.0,4.0,32.13,51.576,30.462,305.0,194.0,214.0,293.0,False,HARD,15.0,False,Alpine,0 days 01:07:48.685000,1,FP1,36.0,23.8,41.1
GAS,10,113.835,20.0,4.0,32.006,51.468,30.361,306.0,193.0,214.0,294.0,False,HARD,16.0,False,Alpine,0 days 01:09:42.853000,1,FP1,35.8,23.7,41.1
GAS,10,118.691,21.0,4.0,34.966,52.762,30.963,231.0,195.0,210.0,296.0,False,HARD,17.0,False,Alpine,0 days 01:11:36.688000,12,FP1,35.8,23.7,41.1
GAS,10,114.436,22.0,4.0,32.222,51.743,30.471,306.0,190.0,215.0,293.0,False,HARD,18.0,False,Alpine,0 days 01:13:35.379000,1,FP1,35.0,23.6,41.9
PER,11,113.734,2.0,1.0,32.161,51.085,30.488,290.0,196.0,185.0,295.0,True,HARD,2.0,True,Cadillac,0 days 00:15:47.794000,1,FP1,42.9,23.9,43.4
PER,11,145.232,3.0,1.0,40.122,71.535,33.575,262.0,152.0,217.0,264.0,False,HARD,3.0,True,Cadillac,0 days 00:17:41.528000,1,FP1,43.2,24.3,43.0
PER,11,112.031,4.0,1.0,31.724,50.105,30.202,294.0,198.0,182.0,298.0,True,HARD,4.0,True,Cadillac,0 days 00:20:06.760000,1,FP1,42.9,24.3,43.2
PER,11,112.035,7.0,2.0,31.675,50.441,29.919,294.0,199.0,211.0,300.0,False,HARD,7.0,False,Cadillac,0 days 00:31:14.080000,1,FP1,42.1,24.6,41.8
PER,11,147.67,8.0,2.0,46.626,64.769,36.275,243.0,153.0,215.0,262.0,False,HARD,8.0,False,Cadillac,0 days 00:33:06.115000,1,FP1,41.1,24.5,41.7
PER,11,111.852,9.0,2.0,31.682,50.132,30.038,295.0,203.0,209.0,300.0,True,HARD,9.0,False,Cadillac,0 days 00:35:33.785000,1,FP1,39.7,24.4,41.8
PER,11,110.226,12.0,3.0,31.248,49.419,29.559,299.0,204.0,208.0,298.0,True,SOFT,2.0,True,Cadillac,0 days 00:48:57.215000,1,FP1,39.2,24.0,44.3
PER,11,111.364,14.0,3.0,31.858,49.77,29.736,293.0,200.0,210.0,297.0,False,SOFT,4.0,True,Cadillac,0 days 00:53:34.425000,1,FP1,38.5,24.3,42.6
PER,11,115.143,17.0,4.0,32.144,52.292,30.707,319.0,195.0,211.0,291.0,False,SOFT,7.0,False,Cadillac,0 days 01:06:12.102000,1,FP1,36.7,23.7,41.0
PER,11,115.375,18.0,4.0,32.358,52.194,30.823,308.0,194.0,211.0,289.0,False,SOFT,8.0,False,Cadillac,0 days 01:08:07.245000,1,FP1,36.0,23.8,41.1
PER,11,115.227,19.0,4.0,32.519,52.13,30.578,308.0,197.0,210.0,285.0,False,SOFT,9.0,False,Cadillac,0 days 01:10:02.620000,12,FP1,35.8,23.7,41.1
PER,11,116.444,20.0,4.0,32.941,52.3,31.203,309.0,191.0,205.0,282.0,False,SOFT,10.0,False,Cadillac,0 days 01:11:57.847000,21,FP1,35.4,24.1,41.6
