Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:22:21.791000,NOR,1,,1.0,1.0,0 days 00:19:54.809000,0 days 00:22:17.784000,,0 days 00:01:03.258000,0 days 00:00:46.131000,,0 days 00:21:35.728000,0 days 00:22:21.791000,229.0,150.0,,202.0,False,MEDIUM,1.0,True,McLaren,0 days 00:19:54.809000,2026-07-17 11:36:17.981,1,,,,False,False,FP1,42.9,24.3,43.2
0 days 00:29:56.558000,NOR,1,,2.0,2.0,0 days 00:27:37.845000,0 days 00:29:52.610000,,0 days 00:00:56.591000,0 days 00:00:43.150000,,0 days 00:29:13.531000,0 days 00:29:56.558000,237.0,185.0,,203.0,False,SOFT,1.0,True,McLaren,0 days 00:22:21.791000,2026-07-17 11:38:44.963,1,,,,False,False,FP1,43.1,24.3,41.8
0 days 00:39:07.074000,NOR,1,,3.0,3.0,0 days 00:36:31.162000,,,0 days 00:01:00.038000,0 days 00:00:38.850000,,0 days 00:38:28.436000,0 days 00:39:07.117000,160.0,122.0,218.0,266.0,False,SOFT,1.0,False,McLaren,0 days 00:29:56.558000,2026-07-17 11:46:19.730,1,,,,False,False,FP1,42.1,24.5,42.3
0 days 00:40:57.480000,NOR,1,0 days 00:01:50.406000,4.0,3.0,,,0 days 00:00:31.488000,0 days 00:00:49.026000,0 days 00:00:29.892000,0 days 00:39:38.562000,0 days 00:40:27.588000,0 days 00:40:57.480000,294.0,205.0,163.0,299.0,True,SOFT,2.0,False,McLaren,0 days 00:39:07.074000,2026-07-17 11:55:30.246,1,,,,False,True,FP1,40.0,24.1,42.7
0 days 00:43:39.786000,NOR,1,,5.0,3.0,,,0 days 00:00:54.395000,0 days 00:01:12.577000,0 days 00:00:35.357000,0 days 00:41:52.136000,0 days 00:43:04.625000,0 days 00:43:39.848000,152.0,141.0,205.0,169.0,False,SOFT,3.0,False,McLaren,0 days 00:40:57.480000,2026-07-17 11:57:20.652,1,,,,False,False,FP1,38.8,24.1,43.1
0 days 00:45:28.689000,NOR,1,0 days 00:01:48.903000,6.0,3.0,,,0 days 00:00:31.406000,0 days 00:00:48.007000,0 days 00:00:29.490000,0 days 00:44:11.192000,0 days 00:44:59.199000,0 days 00:45:28.689000,302.0,213.0,202.0,296.0,True,SOFT,4.0,False,McLaren,0 days 00:43:39.786000,2026-07-17 12:00:02.958,1,,,,False,True,FP1,39.5,23.9,44.3
0 days 00:48:31.571000,NOR,1,,7.0,3.0,,,0 days 00:00:55.887000,0 days 00:01:27.499000,0 days 00:00:39.430000,0 days 00:46:24.701000,0 days 00:47:52.306000,0 days 00:48:31.581000,174.0,113.0,204.0,170.0,False,SOFT,5.0,False,McLaren,0 days 00:45:28.689000,2026-07-17 12:01:51.861,1,,,,False,False,FP1,39.6,23.9,43.7
0 days 00:50:27.993000,NOR,1,0 days 00:01:56.422000,8.0,3.0,,0 days 00:50:24.042000,0 days 00:00:31.391000,0 days 00:00:47.741000,0 days 00:00:37.290000,0 days 00:49:02.962000,0 days 00:49:50.703000,0 days 00:50:27.993000,299.0,210.0,,299.0,False,SOFT,6.0,False,McLaren,0 days 00:48:31.571000,2026-07-17 12:04:54.743,1,,,,False,False,FP1,39.4,23.9,44.7
0 days 00:58:53.797000,NOR,1,,9.0,4.0,0 days 00:56:52.303000,,,0 days 00:00:54.862000,0 days 00:00:34.249000,,0 days 00:58:19.786000,0 days 00:58:53.830000,285.0,178.0,217.0,229.0,False,SOFT,1.0,True,McLaren,0 days 00:50:27.993000,2026-07-17 12:06:51.165,1,,,,False,False,FP1,38.7,24.1,43.6
0 days 01:00:41.728000,NOR,1,0 days 00:01:47.931000,10.0,4.0,,,0 days 00:00:30.972000,0 days 00:00:47.780000,0 days 00:00:29.179000,0 days 00:59:24.769000,0 days 01:00:12.549000,0 days 01:00:41.728000,302.0,211.0,172.0,304.0,True,SOFT,2.0,True,McLaren,0 days 00:58:53.797000,2026-07-17 12:15:16.969,1,,,,False,True,FP1,37.8,24.0,40.3
0 days 01:03:40.439000,NOR,1,,11.0,4.0,,,0 days 00:00:52.399000,0 days 00:01:27.365000,0 days 00:00:38.907000,0 days 01:01:34.294000,0 days 01:03:01.589000,0 days 01:03:40.565000,104.0,113.0,216.0,164.0,False,SOFT,3.0,True,McLaren,0 days 01:00:41.728000,2026-07-17 12:17:04.900,1,,,,False,False,FP1,37.6,23.9,39.8
