Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
LEC,16,76.216,2.0,1.0,27.753,26.746,21.717,287.0,259.0,260.0,313.0,True,SOFT,2.0,True,Ferrari,0 days 00:20:34.562000,1,Q
LEC,16,75.582,5.0,2.0,27.485,26.723,21.374,288.0,258.0,262.0,314.0,True,SOFT,2.0,True,Ferrari,0 days 00:31:12.075000,1,Q
LEC,16,76.185,8.0,3.0,27.693,27.078,21.414,286.0,258.0,260.0,313.0,True,SOFT,5.0,False,Ferrari,0 days 00:44:57.753000,1,Q
LEC,16,75.455,11.0,4.0,27.489,26.654,21.312,285.0,258.0,262.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:04.128000,1,Q
LEC,16,76.63,14.0,5.0,27.913,26.971,21.746,282.0,254.0,259.0,305.0,True,SOFT,5.0,False,Ferrari,0 days 01:05:57.718000,1,Q
LEC,16,75.372,17.0,6.0,27.541,26.453,21.378,286.0,259.0,259.0,305.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:54.979000,1,Q
PIA,81,75.554,2.0,1.0,27.636,26.599,21.319,278.0,257.0,263.0,307.0,True,SOFT,2.0,True,McLaren,0 days 00:19:29.901000,1,Q
PIA,81,75.211,5.0,2.0,27.487,26.526,21.198,279.0,255.0,262.0,309.0,True,SOFT,5.0,False,McLaren,0 days 00:28:35.880000,1,Q
PIA,81,74.941,8.0,3.0,27.555,26.374,21.012,279.0,258.0,262.0,310.0,True,SOFT,2.0,True,McLaren,0 days 00:44:50.056000,1,Q
PIA,81,75.176,11.0,4.0,27.357,26.516,21.303,277.0,257.0,261.0,309.0,False,SOFT,5.0,False,McLaren,0 days 00:54:35.022000,1,Q
PIA,81,75.398,14.0,5.0,27.6,26.458,21.34,277.0,255.0,259.0,301.0,True,SOFT,2.0,True,McLaren,0 days 01:06:24.814000,1,Q
PIA,81,75.58,17.0,6.0,27.693,26.581,21.306,277.0,257.0,260.0,302.0,False,SOFT,2.0,True,McLaren,0 days 01:14:35.278000,1,Q
NOR,4,75.927,2.0,1.0,27.882,26.697,21.348,280.0,257.0,262.0,307.0,True,SOFT,2.0,True,McLaren,0 days 00:19:15.203000,1,Q
NOR,4,75.523,5.0,2.0,27.528,26.687,21.308,282.0,258.0,263.0,310.0,True,SOFT,5.0,False,McLaren,0 days 00:28:45.103000,1,Q
NOR,4,74.89,8.0,3.0,27.443,26.396,21.051,279.0,259.0,262.0,310.0,True,SOFT,2.0,True,McLaren,0 days 00:44:18.328000,1,Q
NOR,4,75.081,11.0,4.0,27.571,26.454,21.056,279.0,258.0,262.0,305.0,False,SOFT,5.0,False,McLaren,0 days 00:52:54.898000,1,Q
NOR,4,75.494,14.0,5.0,27.576,26.531,21.387,277.0,256.0,259.0,301.0,True,SOFT,2.0,True,McLaren,0 days 01:06:13.187000,1,Q
NOR,4,75.413,17.0,6.0,27.677,26.521,21.215,278.0,258.0,260.0,301.0,True,SOFT,2.0,True,McLaren,0 days 01:14:25.060000,1,Q
RUS,63,75.627,2.0,1.0,27.749,26.538,21.34,283.0,259.0,261.0,314.0,True,SOFT,2.0,True,Mercedes,0 days 00:21:28.807000,1,Q
RUS,63,76.057,5.0,2.0,27.793,26.808,21.456,283.0,254.0,263.0,310.0,True,SOFT,5.0,False,Mercedes,0 days 00:42:35.167000,1,Q
RUS,63,75.201,8.0,3.0,27.496,26.494,21.211,283.0,258.0,261.0,311.0,True,SOFT,2.0,True,Mercedes,0 days 00:54:04.186000,1,Q
RUS,63,75.632,11.0,4.0,27.55,26.457,21.625,281.0,255.0,259.0,307.0,True,SOFT,2.0,True,Mercedes,0 days 01:06:48.310000,1,Q
RUS,63,75.425,14.0,5.0,27.667,26.455,21.303,281.0,259.0,261.0,306.0,True,SOFT,2.0,True,Mercedes,0 days 01:15:11.642000,1,Q
ALO,14,75.979,2.0,1.0,27.692,26.867,21.42,282.0,257.0,261.0,312.0,True,SOFT,2.0,True,Aston Martin,0 days 00:20:24.883000,1,Q
ALO,14,75.281,5.0,2.0,27.523,26.529,21.229,281.0,256.0,260.0,312.0,True,SOFT,2.0,True,Aston Martin,0 days 00:27:02.253000,1,Q
ALO,14,75.395,8.0,3.0,27.581,26.562,21.252,281.0,257.0,260.0,310.0,True,SOFT,2.0,True,Aston Martin,0 days 00:42:59.082000,1,Q
ALO,14,76.025,11.0,4.0,27.662,26.925,21.438,279.0,254.0,259.0,304.0,True,SOFT,2.0,True,Aston Martin,0 days 01:05:37.538000,1,Q
ALO,14,75.481,14.0,5.0,27.533,26.633,21.315,279.0,257.0,258.0,305.0,True,SOFT,2.0,True,Aston Martin,0 days 01:11:46.983000,1,Q
STR,18,76.135,2.0,1.0,27.653,26.876,21.606,285.0,254.0,261.0,312.0,True,SOFT,2.0,True,Aston Martin,0 days 00:20:06.992000,1,Q
STR,18,75.673,5.0,2.0,27.59,26.62,21.463,283.0,256.0,261.0,312.0,True,SOFT,2.0,True,Aston Martin,0 days 00:26:45.139000,1,Q
STR,18,75.68,8.0,3.0,27.639,26.69,21.351,283.0,255.0,262.0,309.0,True,SOFT,2.0,True,Aston Martin,0 days 00:42:47.275000,1,Q
STR,18,75.129,11.0,4.0,27.493,26.416,21.22,281.0,256.0,261.0,308.0,True,SOFT,2.0,True,Aston Martin,0 days 00:50:00.557000,1,Q
STR,18,76.66,14.0,5.0,27.862,27.059,21.739,280.0,250.0,259.0,303.0,True,SOFT,5.0,False,Aston Martin,0 days 01:05:24.872000,1,Q
STR,18,75.498,17.0,6.0,27.577,26.629,21.292,280.0,254.0,259.0,305.0,True,SOFT,2.0,True,Aston Martin,0 days 01:11:25.434000,1,Q
BOR,5,76.284,2.0,1.0,27.768,26.842,21.674,280.0,256.0,260.0,311.0,True,SOFT,2.0,True,Audi,0 days 00:22:00.773000,1,Q
BOR,5,75.586,5.0,2.0,27.59,26.595,21.401,281.0,253.0,260.0,310.0,True,SOFT,2.0,True,Audi,0 days 00:29:34.171000,1,Q
BOR,5,76.331,8.0,3.0,27.799,27.058,21.474,281.0,252.0,260.0,308.0,True,SOFT,5.0,False,Audi,0 days 00:43:17.028000,1,Q
BOR,5,75.687,11.0,4.0,27.681,26.691,21.315,279.0,253.0,259.0,308.0,True,SOFT,2.0,True,Audi,0 days 00:54:21.015000,1,Q
BOR,5,77.134,14.0,5.0,27.881,27.424,21.829,279.0,246.0,255.0,302.0,True,SOFT,5.0,False,Audi,0 days 01:06:31.414000,1,Q
BOR,5,75.725,17.0,6.0,27.594,26.733,21.398,279.0,254.0,257.0,304.0,True,SOFT,2.0,True,Audi,0 days 01:14:50.995000,1,Q
VER,1,76.346,2.0,1.0,27.749,26.864,21.733,281.0,256.0,259.0,307.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:52.655000,1,Q
VER,1,75.736,5.0,2.0,27.699,26.647,21.39,281.0,259.0,261.0,309.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:29:02.390000,1,Q
VER,1,76.087,8.0,3.0,27.699,26.91,21.478,281.0,259.0,259.0,309.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:43:59.915000,1,Q
VER,1,75.547,11.0,4.0,27.663,26.588,21.296,280.0,260.0,260.0,310.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:54:11.571000,1,Q
VER,1,76.183,14.0,5.0,27.741,26.86,21.582,278.0,255.0,257.0,304.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:07:06.925000,1,Q
VER,1,75.728,17.0,6.0,27.643,26.667,21.418,279.0,258.0,256.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:15:20.988000,1,Q
LAW,30,76.35,2.0,1.0,27.854,27.084,21.412,281.0,256.0,259.0,308.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:20:58.443000,1,Q
LAW,30,75.849,5.0,2.0,27.673,26.812,21.364,281.0,255.0,259.0,308.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:31:22.204000,1,Q
LAW,30,76.156,8.0,3.0,27.841,26.918,21.397,281.0,252.0,260.0,304.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:28.440000,1,Q
LAW,30,75.63,11.0,4.0,27.623,26.687,21.32,280.0,256.0,259.0,305.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:53:25.443000,1,Q
LAW,30,76.649,14.0,5.0,27.862,27.063,21.724,279.0,253.0,256.0,299.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:05:46.108000,1,Q
LAW,30,75.821,17.0,6.0,27.691,26.8,21.33,280.0,255.0,258.0,302.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:14:44.099000,1,Q
HAD,6,76.052,2.0,1.0,27.715,26.848,21.489,283.0,258.0,259.0,308.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:20:42.748000,1,Q
HAD,6,75.516,5.0,2.0,27.704,26.583,21.229,283.0,256.0,260.0,308.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:29:18.587000,1,Q
HAD,6,75.781,8.0,3.0,27.666,26.803,21.312,281.0,256.0,260.0,307.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:43:37.431000,1,Q
HAD,6,75.469,11.0,4.0,27.586,26.56,21.323,280.0,258.0,259.0,306.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:53:37.659000,1,Q
HAD,6,75.915,14.0,5.0,27.697,26.729,21.489,279.0,257.0,256.0,300.0,True,SOFT,2.0,True,Racing Bulls,0 days 01:14:09.972000,1,Q
BEA,87,76.575,2.0,1.0,27.938,27.116,21.521,282.0,253.0,259.0,308.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:19:59.055000,1,Q
BEA,87,75.75,5.0,2.0,27.554,26.768,21.428,284.0,250.0,261.0,312.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:30:47.332000,1,Q
BEA,87,75.987,8.0,3.0,27.723,26.943,21.321,284.0,249.0,260.0,308.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:43:10.830000,1,Q
BEA,87,75.694,11.0,4.0,27.672,26.687,21.335,282.0,254.0,260.0,306.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:52:38.220000,1,Q
HAM,44,75.949,2.0,1.0,27.668,26.698,21.583,284.0,255.0,259.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 00:19:51.438000,1,Q
HAM,44,75.733,5.0,2.0,27.637,26.727,21.369,285.0,255.0,259.0,311.0,True,SOFT,2.0,True,Ferrari,0 days 00:31:05.118000,1,Q
HAM,44,76.201,8.0,3.0,27.749,26.844,21.608,284.0,244.0,258.0,309.0,True,SOFT,5.0,False,Ferrari,0 days 00:44:40.730000,1,Q
HAM,44,75.702,11.0,4.0,27.583,26.781,21.338,284.0,254.0,258.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 00:53:15.683000,1,Q
SAI,55,78.282,2.0,1.0,28.725,27.625,21.932,279.0,249.0,258.0,306.0,True,SOFT,2.0,True,Williams,0 days 00:16:38.172000,1,Q
SAI,55,76.469,5.0,2.0,27.85,26.943,21.676,280.0,256.0,259.0,310.0,True,SOFT,2.0,True,Williams,0 days 00:22:09.831000,1,Q
SAI,55,75.652,8.0,3.0,27.575,26.704,21.373,282.0,255.0,261.0,310.0,True,SOFT,2.0,True,Williams,0 days 00:29:46.113000,1,Q
SAI,55,76.264,11.0,4.0,27.751,26.998,21.515,282.0,255.0,259.0,310.0,True,SOFT,5.0,False,Williams,0 days 00:44:28.620000,1,Q
SAI,55,75.781,14.0,5.0,27.485,26.864,21.432,281.0,253.0,260.0,311.0,True,SOFT,2.0,True,Williams,0 days 00:54:55.371000,1,Q
COL,43,76.227,2.0,1.0,27.757,26.958,21.512,280.0,254.0,259.0,310.0,True,SOFT,2.0,True,Alpine,0 days 00:21:44.947000,1,Q
COL,43,75.875,5.0,2.0,27.567,26.74,21.568,282.0,256.0,260.0,309.0,True,SOFT,2.0,True,Alpine,0 days 00:30:10.662000,1,Q
COL,43,77.269,8.0,3.0,27.697,27.638,21.934,280.0,243.0,259.0,309.0,True,SOFT,5.0,False,Alpine,0 days 00:43:49.154000,1,Q
COL,43,76.159,11.0,4.0,27.679,26.959,21.521,280.0,254.0,261.0,310.0,True,SOFT,8.0,False,Alpine,0 days 00:54:44.189000,1,Q
ANT,12,75.782,2.0,1.0,27.631,26.625,21.526,282.0,257.0,260.0,313.0,True,SOFT,2.0,True,Mercedes,0 days 00:21:19.854000,1,Q
ANT,12,76.386,5.0,2.0,27.815,27.255,21.316,282.0,254.0,262.0,306.0,True,SOFT,5.0,False,Mercedes,0 days 00:42:28.685000,1,Q
ANT,12,75.693,8.0,3.0,27.631,26.476,21.586,282.0,253.0,260.0,307.0,False,SOFT,2.0,True,Mercedes,0 days 00:53:52.105000,1,Q
GAS,10,76.723,2.0,1.0,28.057,26.973,21.693,281.0,250.0,257.0,309.0,True,SOFT,2.0,True,Alpine,0 days 00:21:36.356000,1,Q
GAS,10,75.966,5.0,2.0,27.572,26.935,21.459,282.0,252.0,261.0,309.0,True,SOFT,2.0,True,Alpine,0 days 00:29:58.791000,1,Q
OCO,31,76.783,2.0,1.0,27.953,27.048,21.782,280.0,253.0,259.0,308.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:19:38.327000,1,Q
OCO,31,76.023,5.0,2.0,27.603,26.769,21.651,283.0,255.0,258.0,310.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:30:41.041000,1,Q
HUL,27,76.267,2.0,1.0,27.776,26.853,21.638,282.0,247.0,259.0,313.0,True,SOFT,2.0,True,Audi,0 days 00:21:51.924000,1,Q
HUL,27,76.081,5.0,2.0,27.646,26.976,21.459,283.0,251.0,261.0,310.0,True,SOFT,2.0,True,Audi,0 days 00:29:26.031000,1,Q
ALB,23,77.441,2.0,1.0,28.139,27.389,21.913,279.0,250.0,258.0,307.0,True,SOFT,2.0,True,Williams,0 days 00:16:47.983000,1,Q
ALB,23,76.448,5.0,2.0,27.802,26.976,21.67,279.0,253.0,259.0,310.0,True,SOFT,2.0,True,Williams,0 days 00:22:25.978000,1,Q
ALB,23,76.223,8.0,3.0,27.725,26.841,21.657,280.0,254.0,259.0,311.0,True,SOFT,2.0,True,Williams,0 days 00:30:20.970000,1,Q
