Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,90.464,2.0,1.0,29.252,35.391,25.821,200.0,229.0,260.0,324.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:47.645000,1,FP1,42.4,22.9,31.7
NOR,1,82.404,3.0,1.0,28.523,30.282,23.599,302.0,236.0,255.0,318.0,True,MEDIUM,3.0,True,McLaren,0 days 00:18:18.109000,1,FP1,42.4,22.9,31.7
NOR,1,121.845,4.0,1.0,46.193,44.495,31.157,179.0,155.0,209.0,265.0,False,MEDIUM,4.0,True,McLaren,0 days 00:19:40.513000,1,FP1,42.4,22.9,31.7
NOR,1,110.812,5.0,1.0,37.577,38.523,34.712,184.0,117.0,261.0,263.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:42.358000,1,FP1,42.4,22.9,31.7
NOR,1,81.787,6.0,1.0,28.625,29.754,23.408,301.0,245.0,245.0,317.0,True,MEDIUM,6.0,True,McLaren,0 days 00:23:33.170000,1,FP1,42.4,22.9,31.7
NOR,1,127.805,7.0,1.0,47.423,49.59,30.792,139.0,153.0,260.0,237.0,False,MEDIUM,7.0,True,McLaren,0 days 00:24:54.957000,1,FP1,42.4,22.9,31.7
NOR,1,103.194,8.0,1.0,28.244,38.121,36.829,296.0,96.0,263.0,319.0,False,MEDIUM,8.0,True,McLaren,0 days 00:27:02.762000,1,FP1,42.4,22.9,31.7
NOR,1,81.024,13.0,3.0,28.234,28.988,23.802,296.0,248.0,209.0,319.0,True,SOFT,4.0,False,McLaren,0 days 00:44:25.759000,1,FP1,42.4,22.9,31.7
NOR,1,84.377,16.0,4.0,29.211,30.745,24.421,284.0,235.0,261.0,312.0,False,MEDIUM,11.0,False,McLaren,0 days 01:00:53.828000,12,FP1,42.4,22.9,31.7
NOR,1,86.561,17.0,4.0,30.422,31.279,24.86,289.0,229.0,257.0,305.0,False,MEDIUM,12.0,False,McLaren,0 days 01:02:18.205000,21,FP1,42.4,22.9,31.7
NOR,1,83.835,20.0,5.0,28.992,30.782,24.061,288.0,233.0,260.0,309.0,False,SOFT,7.0,False,McLaren,0 days 01:07:03.707000,1,FP1,40.8,22.8,31.4
NOR,1,86.004,21.0,5.0,29.394,31.528,25.082,288.0,238.0,263.0,308.0,False,SOFT,8.0,False,McLaren,0 days 01:08:27.542000,1,FP1,40.8,22.8,31.4
NOR,1,84.083,22.0,5.0,29.146,30.665,24.272,291.0,237.0,261.0,320.0,False,SOFT,9.0,False,McLaren,0 days 01:09:53.546000,1,FP1,40.9,22.9,31.7
NOR,1,85.935,23.0,5.0,29.487,31.833,24.615,271.0,238.0,263.0,322.0,False,SOFT,10.0,False,McLaren,0 days 01:11:17.629000,1,FP1,40.9,22.9,31.7
NOR,1,83.707,24.0,5.0,29.198,30.468,24.041,285.0,232.0,259.0,327.0,False,SOFT,11.0,False,McLaren,0 days 01:12:43.564000,1,FP1,40.9,22.9,31.7
VER,3,90.504,2.0,1.0,28.562,29.556,32.386,289.0,250.0,202.0,323.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:36.756000,1,FP1,40.9,22.9,31.7
VER,3,108.281,3.0,1.0,40.753,42.546,24.982,125.0,212.0,265.0,254.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:19:07.260000,1,FP1,40.9,22.9,31.7
VER,3,80.788,4.0,1.0,28.38,29.238,23.17,290.0,251.0,244.0,318.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:55.541000,1,FP1,40.9,22.9,31.7
VER,3,132.355,5.0,1.0,49.795,48.237,34.323,149.0,110.0,204.0,193.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:16.329000,1,FP1,40.9,22.9,31.7
