Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:16:47.645000,NOR,1,,1.0,1.0,0 days 00:14:07.880000,,,0 days 00:00:34.065000,0 days 00:00:39.230000,,0 days 00:16:08.734000,0 days 00:16:47.750000,252.0,164.0,260.0,,False,MEDIUM,1.0,True,McLaren,0 days 00:14:07.880000,2026-07-24 11:31:03.473,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 00:18:18.109000,NOR,1,0 days 00:01:30.464000,2.0,1.0,,,0 days 00:00:29.252000,0 days 00:00:35.391000,0 days 00:00:25.821000,0 days 00:17:16.897000,0 days 00:17:52.288000,0 days 00:18:18.109000,200.0,229.0,260.0,324.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:47.645000,2026-07-24 11:33:43.238,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:19:40.513000,NOR,1,0 days 00:01:22.404000,3.0,1.0,,,0 days 00:00:28.523000,0 days 00:00:30.282000,0 days 00:00:23.599000,0 days 00:18:46.632000,0 days 00:19:16.914000,0 days 00:19:40.513000,302.0,236.0,255.0,318.0,True,MEDIUM,3.0,True,McLaren,0 days 00:18:18.109000,2026-07-24 11:35:13.702,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:21:42.358000,NOR,1,0 days 00:02:01.845000,4.0,1.0,,,0 days 00:00:46.193000,0 days 00:00:44.495000,0 days 00:00:31.157000,0 days 00:20:26.706000,0 days 00:21:11.201000,0 days 00:21:42.358000,179.0,155.0,209.0,265.0,False,MEDIUM,4.0,True,McLaren,0 days 00:19:40.513000,2026-07-24 11:36:36.106,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:23:33.170000,NOR,1,0 days 00:01:50.812000,5.0,1.0,,,0 days 00:00:37.577000,0 days 00:00:38.523000,0 days 00:00:34.712000,0 days 00:22:19.935000,0 days 00:22:58.458000,0 days 00:23:33.170000,184.0,117.0,261.0,263.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:42.358000,2026-07-24 11:38:37.951,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:24:54.957000,NOR,1,0 days 00:01:21.787000,6.0,1.0,,,0 days 00:00:28.625000,0 days 00:00:29.754000,0 days 00:00:23.408000,0 days 00:24:01.795000,0 days 00:24:31.549000,0 days 00:24:54.957000,301.0,245.0,245.0,317.0,True,MEDIUM,6.0,True,McLaren,0 days 00:23:33.170000,2026-07-24 11:40:28.763,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:27:02.762000,NOR,1,0 days 00:02:07.805000,7.0,1.0,,,0 days 00:00:47.423000,0 days 00:00:49.590000,0 days 00:00:30.792000,0 days 00:25:42.380000,0 days 00:26:31.970000,0 days 00:27:02.762000,139.0,153.0,260.0,237.0,False,MEDIUM,7.0,True,McLaren,0 days 00:24:54.957000,2026-07-24 11:41:50.550,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:28:45.956000,NOR,1,0 days 00:01:43.194000,8.0,1.0,,,0 days 00:00:28.244000,0 days 00:00:38.121000,0 days 00:00:36.829000,0 days 00:27:31.006000,0 days 00:28:09.127000,0 days 00:28:45.956000,296.0,96.0,263.0,319.0,False,MEDIUM,8.0,True,McLaren,0 days 00:27:02.762000,2026-07-24 11:43:58.355,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:30:28.301000,NOR,1,0 days 00:01:42.345000,9.0,1.0,,0 days 00:30:26.546000,0 days 00:00:34.696000,0 days 00:00:37.595000,0 days 00:00:30.054000,0 days 00:29:20.652000,0 days 00:29:58.247000,0 days 00:30:28.301000,243.0,234.0,,321.0,False,MEDIUM,9.0,True,McLaren,0 days 00:28:45.956000,2026-07-24 11:45:41.549,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 00:40:17.274000,NOR,1,,10.0,2.0,0 days 00:38:41.386000,,,0 days 00:00:32.196000,0 days 00:00:28.184000,,0 days 00:39:49.143000,0 days 00:40:17.274000,238.0,226.0,263.0,321.0,False,SOFT,1.0,True,McLaren,0 days 00:30:28.301000,2026-07-24 11:47:23.894,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 00:41:50.314000,NOR,1,0 days 00:01:33.040000,11.0,2.0,,0 days 00:41:47.890000,0 days 00:00:28.030000,0 days 00:00:29.141000,0 days 00:00:35.869000,0 days 00:40:45.304000,0 days 00:41:14.445000,0 days 00:41:50.314000,297.0,204.0,,319.0,False,SOFT,2.0,True,McLaren,0 days 00:40:17.274000,2026-07-24 11:57:12.867,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 00:44:25.759000,NOR,1,,12.0,3.0,0 days 00:42:20.329000,,0 days 00:01:18.328000,0 days 00:00:49.631000,0 days 00:00:27.609000,0 days 00:43:08.806000,0 days 00:43:58.390000,0 days 00:44:25.816000,134.0,161.0,260.0,319.0,False,SOFT,3.0,False,McLaren,0 days 00:41:50.314000,2026-07-24 11:58:45.907,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 00:45:46.783000,NOR,1,0 days 00:01:21.024000,13.0,3.0,,,0 days 00:00:28.234000,0 days 00:00:28.988000,0 days 00:00:23.802000,0 days 00:44:53.993000,0 days 00:45:22.981000,0 days 00:45:46.783000,296.0,248.0,209.0,319.0,True,SOFT,4.0,False,McLaren,0 days 00:44:25.759000,2026-07-24 12:01:21.352,1,,,,False,True,FP1,42.4,22.9,31.7
0 days 00:47:31.723000,NOR,1,0 days 00:01:44.940000,14.0,3.0,,0 days 00:47:29.915000,0 days 00:00:38.314000,0 days 00:00:36.409000,0 days 00:00:30.217000,0 days 00:46:25.097000,0 days 00:47:01.506000,0 days 00:47:31.723000,234.0,159.0,,180.0,False,SOFT,5.0,False,McLaren,0 days 00:45:46.783000,2026-07-24 12:02:42.376,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 01:00:53.828000,NOR,1,,15.0,4.0,0 days 00:59:07.688000,,,0 days 00:00:31.248000,0 days 00:00:23.929000,,0 days 01:00:30.159000,0 days 01:00:53.917000,257.0,242.0,259.0,180.0,False,MEDIUM,10.0,False,McLaren,0 days 00:59:07.688000,2026-07-24 12:16:03.281,1,,,,False,False,FP1,42.4,22.9,31.7
0 days 01:02:18.205000,NOR,1,0 days 00:01:24.377000,16.0,4.0,,,0 days 00:00:29.211000,0 days 00:00:30.745000,0 days 00:00:24.421000,0 days 01:01:23.039000,0 days 01:01:53.784000,0 days 01:02:18.205000,284.0,235.0,261.0,312.0,False,MEDIUM,11.0,False,McLaren,0 days 01:00:53.828000,2026-07-24 12:17:49.421,12,,,,False,True,FP1,42.4,22.9,31.7
0 days 01:03:44.766000,NOR,1,0 days 00:01:26.561000,17.0,4.0,,,0 days 00:00:30.422000,0 days 00:00:31.279000,0 days 00:00:24.860000,0 days 01:02:48.627000,0 days 01:03:19.906000,0 days 01:03:44.766000,289.0,229.0,257.0,305.0,False,MEDIUM,12.0,False,McLaren,0 days 01:02:18.205000,2026-07-24 12:19:13.798,21,,,,False,True,FP1,42.4,22.9,31.7
0 days 01:05:13.643000,NOR,1,0 days 00:01:28.877000,18.0,4.0,,0 days 01:05:11.913000,0 days 00:00:29.411000,0 days 00:00:31.293000,0 days 00:00:28.173000,0 days 01:04:14.177000,0 days 01:04:45.470000,0 days 01:05:13.643000,287.0,226.0,,299.0,False,MEDIUM,13.0,False,McLaren,0 days 01:03:44.766000,2026-07-24 12:20:40.359,1,,,,False,False,FP1,40.8,22.8,31.4
0 days 01:07:03.707000,NOR,1,0 days 00:01:50.064000,19.0,5.0,0 days 01:05:35.415000,,0 days 00:00:54.071000,0 days 00:00:31.873000,0 days 00:00:24.120000,0 days 01:06:07.714000,0 days 01:06:39.587000,0 days 01:07:03.707000,257.0,238.0,258.0,299.0,False,SOFT,6.0,False,McLaren,0 days 01:05:13.643000,2026-07-24 12:22:09.236,1,,,,False,False,FP1,40.8,22.8,31.4
0 days 01:08:27.542000,NOR,1,0 days 00:01:23.835000,20.0,5.0,,,0 days 00:00:28.992000,0 days 00:00:30.782000,0 days 00:00:24.061000,0 days 01:07:32.699000,0 days 01:08:03.481000,0 days 01:08:27.542000,288.0,233.0,260.0,309.0,False,SOFT,7.0,False,McLaren,0 days 01:07:03.707000,2026-07-24 12:23:59.300,1,,,,False,True,FP1,40.8,22.8,31.4
0 days 01:09:53.546000,NOR,1,0 days 00:01:26.004000,21.0,5.0,,,0 days 00:00:29.394000,0 days 00:00:31.528000,0 days 00:00:25.082000,0 days 01:08:56.936000,0 days 01:09:28.464000,0 days 01:09:53.546000,288.0,238.0,263.0,308.0,False,SOFT,8.0,False,McLaren,0 days 01:08:27.542000,2026-07-24 12:25:23.135,1,,,,False,True,FP1,40.8,22.8,31.4
0 days 01:11:17.629000,NOR,1,0 days 00:01:24.083000,22.0,5.0,,,0 days 00:00:29.146000,0 days 00:00:30.665000,0 days 00:00:24.272000,0 days 01:10:22.692000,0 days 01:10:53.357000,0 days 01:11:17.629000,291.0,237.0,261.0,320.0,False,SOFT,9.0,False,McLaren,0 days 01:09:53.546000,2026-07-24 12:26:49.139,1,,,,False,True,FP1,40.9,22.9,31.7
0 days 01:12:43.564000,NOR,1,0 days 00:01:25.935000,23.0,5.0,,,0 days 00:00:29.487000,0 days 00:00:31.833000,0 days 00:00:24.615000,0 days 01:11:47.116000,0 days 01:12:18.949000,0 days 01:12:43.564000,271.0,238.0,263.0,322.0,False,SOFT,10.0,False,McLaren,0 days 01:11:17.629000,2026-07-24 12:28:13.222,1,,,,False,True,FP1,40.9,22.9,31.7
0 days 01:14:07.271000,NOR,1,0 days 00:01:23.707000,24.0,5.0,,,0 days 00:00:29.198000,0 days 00:00:30.468000,0 days 00:00:24.041000,0 days 01:13:12.762000,0 days 01:13:43.230000,0 days 01:14:07.271000,285.0,232.0,259.0,327.0,False,SOFT,11.0,False,McLaren,0 days 01:12:43.564000,2026-07-24 12:29:39.157,1,,,,False,True,FP1,40.9,22.9,31.7
