Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,78.821,4.0,2.0,26.925,26.998,24.898,283.0,254.0,311.0,244.0,True,MEDIUM,2.0,True,McLaren,0 days 00:25:47.471000,1,FP1,22.7,18.1,69.9
NOR,1,75.539,5.0,2.0,26.284,26.483,22.772,286.0,278.0,303.0,297.0,True,MEDIUM,3.0,True,McLaren,0 days 00:27:06.292000,1,FP1,22.7,18.1,69.9
NOR,1,117.992,6.0,2.0,36.92,47.053,34.019,168.0,161.0,310.0,289.0,False,MEDIUM,4.0,True,McLaren,0 days 00:28:21.831000,1,FP1,22.7,18.1,69.9
NOR,1,79.533,7.0,2.0,25.87,26.22,27.443,287.0,282.0,242.0,306.0,False,MEDIUM,5.0,True,McLaren,0 days 00:30:19.823000,12,FP1,22.7,18.1,69.9
NOR,1,118.075,8.0,2.0,44.622,43.179,30.274,97.0,184.0,311.0,96.0,False,MEDIUM,6.0,True,McLaren,0 days 00:31:39.356000,1,FP1,22.7,18.1,69.9
NOR,1,74.958,9.0,2.0,25.708,26.298,22.952,287.0,280.0,306.0,309.0,True,MEDIUM,7.0,True,McLaren,0 days 00:33:37.431000,1,FP1,22.7,18.1,69.9
NOR,1,81.958,12.0,3.0,28.805,27.6,25.553,234.0,271.0,312.0,265.0,False,MEDIUM,10.0,False,McLaren,0 days 00:46:13.070000,1,FP1,22.9,18.0,70.1
NOR,1,74.724,13.0,3.0,25.642,26.244,22.838,286.0,282.0,301.0,304.0,True,MEDIUM,11.0,False,McLaren,0 days 00:47:35.028000,1,FP1,22.9,18.0,70.1
NOR,1,82.663,14.0,3.0,30.431,28.822,23.41,258.0,243.0,309.0,255.0,False,MEDIUM,12.0,False,McLaren,0 days 00:48:49.752000,1,FP1,22.9,18.0,70.1
NOR,1,76.084,15.0,3.0,26.232,26.884,22.968,273.0,277.0,313.0,300.0,False,MEDIUM,13.0,False,McLaren,0 days 00:50:12.415000,1,FP1,22.9,18.0,70.1
NOR,1,75.584,16.0,3.0,25.994,26.794,22.796,275.0,279.0,313.0,304.0,False,MEDIUM,14.0,False,McLaren,0 days 00:51:28.499000,1,FP1,22.9,18.0,70.1
NOR,1,76.037,17.0,3.0,25.929,26.956,23.152,277.0,278.0,318.0,304.0,False,MEDIUM,15.0,False,McLaren,0 days 00:52:44.083000,1,FP1,22.9,18.0,70.1
NOR,1,76.016,18.0,3.0,25.968,26.968,23.08,277.0,278.0,317.0,308.0,False,MEDIUM,16.0,False,McLaren,0 days 00:54:00.120000,1,FP1,22.9,18.0,70.1
NOR,1,76.07,19.0,3.0,25.964,27.182,22.924,279.0,276.0,315.0,308.0,False,MEDIUM,17.0,False,McLaren,0 days 00:55:16.136000,1,FP1,22.8,18.0,70.3
NOR,1,76.212,20.0,3.0,25.923,26.874,23.415,277.0,279.0,311.0,307.0,False,MEDIUM,18.0,False,McLaren,0 days 00:56:32.206000,12,FP1,22.8,18.0,70.3
NOR,1,83.622,23.0,4.0,26.592,31.926,25.104,230.0,235.0,307.0,296.0,False,SOFT,2.0,True,McLaren,0 days 01:06:27.754000,1,FP1,22.8,18.0,70.3
NOR,1,73.105,24.0,4.0,24.957,25.828,22.32,289.0,283.0,311.0,312.0,True,SOFT,3.0,True,McLaren,0 days 01:07:51.376000,1,FP1,22.8,18.0,70.3
NOR,1,116.513,25.0,4.0,42.751,46.422,27.34,83.0,209.0,277.0,239.0,False,SOFT,4.0,True,McLaren,0 days 01:09:04.481000,1,FP1,22.8,18.0,70.3
NOR,1,89.169,26.0,4.0,30.433,32.012,26.724,236.0,229.0,316.0,230.0,False,SOFT,5.0,True,McLaren,0 days 01:11:00.994000,1,FP1,22.8,18.0,70.3
NOR,1,73.07,27.0,4.0,25.175,25.529,22.366,289.0,281.0,306.0,310.0,True,SOFT,6.0,True,McLaren,0 days 01:12:30.163000,1,FP1,22.8,18.0,70.3
NOR,1,110.689,28.0,4.0,32.636,34.104,43.949,224.0,253.0,51.0,238.0,False,SOFT,7.0,True,McLaren,0 days 01:13:43.233000,12,FP1,22.8,18.0,70.3
VER,3,77.735,2.0,1.0,26.893,27.278,23.564,270.0,271.0,287.0,264.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:27:33.536000,1,FP1,23.2,18.0,69.1
VER,3,76.292,3.0,1.0,26.38,26.806,23.106,271.0,275.0,293.0,277.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:28:51.271000,1,FP1,23.2,18.0,69.1
VER,3,106.488,4.0,1.0,41.906,38.195,26.387,128.0,173.0,303.0,151.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:30:07.563000,12,FP1,23.2,18.0,69.1
VER,3,75.381,5.0,1.0,25.899,26.597,22.885,289.0,289.0,302.0,301.0,True,HARD,5.0,True,Red Bull Racing,0 days 00:31:54.051000,1,FP1,23.2,18.0,69.1
VER,3,113.386,6.0,1.0,40.392,43.645,29.349,168.0,207.0,302.0,221.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:33:09.432000,1,FP1,23.2,18.0,69.1
VER,3,74.942,7.0,1.0,25.673,26.38,22.889,291.0,285.0,302.0,305.0,True,HARD,7.0,True,Red Bull Racing,0 days 00:35:02.818000,1,FP1,23.2,18.0,69.1
VER,3,110.25,8.0,1.0,43.275,37.937,29.038,174.0,233.0,301.0,208.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:36:17.760000,1,FP1,23.6,18.0,69.7
VER,3,74.848,9.0,1.0,25.686,26.39,22.772,288.0,285.0,302.0,305.0,True,HARD,9.0,True,Red Bull Racing,0 days 00:38:08.010000,1,FP1,23.6,18.0,69.7
VER,3,77.226,12.0,2.0,26.55,27.375,23.301,279.0,276.0,296.0,287.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:50:02.357000,1,FP1,23.6,18.0,69.7
VER,3,77.121,13.0,2.0,26.424,27.454,23.243,276.0,272.0,299.0,289.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:51:19.583000,1,FP1,23.6,18.0,69.7
VER,3,76.852,14.0,2.0,26.188,27.466,23.198,281.0,273.0,301.0,290.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:52:36.704000,1,FP1,23.6,18.0,69.7
VER,3,77.092,15.0,2.0,26.227,27.579,23.286,280.0,272.0,300.0,293.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:53:53.556000,1,FP1,23.6,18.1,69.7
VER,3,77.378,16.0,2.0,26.378,27.526,23.474,282.0,274.0,300.0,295.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:55:10.648000,1,FP1,23.6,18.1,69.7
VER,3,86.616,17.0,2.0,27.612,27.661,31.343,282.0,271.0,299.0,292.0,False,HARD,17.0,False,Red Bull Racing,0 days 00:56:28.026000,12,FP1,23.6,18.1,69.7
VER,3,74.325,20.0,3.0,25.514,26.323,22.488,288.0,287.0,306.0,305.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:50.537000,1,FP1,23.6,18.1,69.7
VER,3,102.258,23.0,4.0,30.368,30.907,40.983,242.0,177.0,48.0,228.0,False,HARD,20.0,False,Red Bull Racing,0 days 01:13:31.657000,12,FP1,24.6,18.2,70.3
BOR,5,82.021,3.0,2.0,27.284,28.136,26.601,292.0,201.0,290.0,251.0,True,HARD,2.0,True,Audi,0 days 00:27:45.655000,1,FP1,24.9,18.3,69.8
BOR,5,76.326,4.0,2.0,26.162,27.152,23.012,291.0,291.0,305.0,280.0,True,HARD,3.0,True,Audi,0 days 00:29:07.676000,1,FP1,24.9,18.3,69.8
BOR,5,105.081,5.0,2.0,34.526,38.337,32.218,205.0,182.0,303.0,185.0,False,HARD,4.0,True,Audi,0 days 00:30:24.002000,12,FP1,24.9,18.3,69.8
BOR,5,93.0,6.0,2.0,27.923,34.124,30.953,292.0,105.0,302.0,263.0,False,HARD,5.0,True,Audi,0 days 00:32:09.083000,1,FP1,24.9,18.3,69.8
BOR,5,75.67,7.0,2.0,25.911,26.927,22.832,289.0,291.0,309.0,295.0,True,HARD,6.0,True,Audi,0 days 00:33:42.083000,1,FP1,25.5,18.3,69.0
BOR,5,106.403,8.0,2.0,39.021,33.186,34.196,220.0,216.0,303.0,229.0,False,HARD,7.0,True,Audi,0 days 00:34:57.753000,1,FP1,25.5,18.3,69.0
BOR,5,75.097,11.0,3.0,25.967,26.576,22.554,289.0,292.0,303.0,300.0,True,HARD,10.0,False,Audi,0 days 00:40:16.153000,1,FP1,25.5,18.3,69.0
BOR,5,82.159,14.0,4.0,26.856,27.34,27.963,291.0,238.0,304.0,268.0,False,HARD,13.0,False,Audi,0 days 00:52:05.556000,1,FP1,25.7,18.3,66.8
BOR,5,75.54,15.0,4.0,26.105,26.678,22.757,291.0,293.0,313.0,293.0,False,HARD,14.0,False,Audi,0 days 00:53:27.715000,1,FP1,25.7,18.3,66.8
BOR,5,77.019,16.0,4.0,26.537,27.362,23.12,272.0,279.0,322.0,284.0,False,HARD,15.0,False,Audi,0 days 00:54:43.255000,1,FP1,25.7,18.3,66.8
BOR,5,77.864,17.0,4.0,27.106,27.556,23.202,281.0,284.0,323.0,240.0,False,HARD,16.0,False,Audi,0 days 00:56:00.274000,1,FP1,25.7,18.3,66.8
BOR,5,77.946,18.0,4.0,26.985,27.754,23.207,285.0,287.0,335.0,280.0,False,HARD,17.0,False,Audi,0 days 00:57:18.138000,12,FP1,25.7,18.3,66.8
BOR,5,77.123,19.0,4.0,26.506,27.482,23.135,275.0,278.0,305.0,283.0,False,HARD,18.0,False,Audi,0 days 00:58:36.084000,1,FP1,25.7,18.3,66.8
BOR,5,73.992,22.0,5.0,25.563,26.091,22.338,290.0,295.0,308.0,304.0,True,MEDIUM,2.0,True,Audi,0 days 01:06:17.606000,1,FP1,26.8,18.4,68.6
BOR,5,74.053,25.0,6.0,25.451,26.055,22.547,291.0,292.0,306.0,306.0,False,MEDIUM,5.0,False,Audi,0 days 01:11:17.894000,1,FP1,26.8,18.4,68.6
BOR,5,101.677,26.0,6.0,35.727,38.451,27.499,187.0,194.0,253.0,208.0,False,MEDIUM,6.0,False,Audi,0 days 01:12:31.947000,1,FP1,26.8,18.4,68.6
BOR,5,138.884,27.0,6.0,32.678,37.899,68.307,200.0,179.0,78.0,193.0,False,MEDIUM,7.0,False,Audi,0 days 01:14:13.624000,12,FP1,26.6,18.5,68.7
BOR,5,113.379,28.0,6.0,29.031,28.457,55.891,300.0,246.0,42.0,229.0,False,MEDIUM,8.0,False,Audi,0 days 01:16:32.508000,2,FP1,26.6,18.5,68.7
GAS,10,86.628,2.0,1.0,30.045,30.982,25.601,274.0,261.0,287.0,235.0,True,INTERMEDIATE,2.0,True,Alpine,0 days 00:16:18.958000,1,FP1,26.6,18.5,68.7
GAS,10,87.943,5.0,2.0,28.523,30.502,28.918,284.0,235.0,297.0,228.0,False,HARD,2.0,True,Alpine,0 days 00:30:30.425000,12,FP1,26.6,18.5,68.7
GAS,10,77.232,6.0,2.0,26.544,27.364,23.324,290.0,286.0,309.0,278.0,True,HARD,3.0,True,Alpine,0 days 00:31:58.368000,1,FP1,26.6,18.5,68.7
GAS,10,101.759,7.0,2.0,35.941,32.997,32.821,187.0,208.0,282.0,235.0,False,HARD,4.0,True,Alpine,0 days 00:33:15.600000,1,FP1,26.6,18.5,68.7
GAS,10,96.86,8.0,2.0,30.957,34.206,31.697,189.0,212.0,285.0,265.0,False,HARD,5.0,True,Alpine,0 days 00:34:57.359000,1,FP1,26.6,18.5,68.7
GAS,10,77.397,9.0,2.0,27.06,27.183,23.154,291.0,282.0,303.0,267.0,False,HARD,6.0,True,Alpine,0 days 00:36:34.219000,1,FP1,26.6,18.5,68.7
GAS,10,104.756,10.0,2.0,37.342,37.662,29.752,163.0,239.0,295.0,210.0,False,HARD,7.0,True,Alpine,0 days 00:37:51.616000,12,FP1,26.7,18.5,66.6
GAS,10,76.144,11.0,2.0,26.154,26.789,23.201,291.0,284.0,308.0,302.0,True,HARD,8.0,True,Alpine,0 days 00:39:36.372000,1,FP1,26.7,18.5,66.6
