Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:16:51.498000,NOR,1,,1.0,1.0,0 days 00:15:10.348000,,,0 days 00:00:34.702000,0 days 00:00:29.204000,,0 days 00:16:22.492000,0 days 00:16:51.595000,215.0,216.0,285.0,,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:15:10.348000,2026-08-21 10:31:44.245,1,,,,False,False,FP1,23.5,18.1,70.4
0 days 00:18:26.533000,NOR,1,0 days 00:01:35.035000,2.0,1.0,,0 days 00:18:25.211000,0 days 00:00:29.892000,0 days 00:00:31.504000,0 days 00:00:33.639000,0 days 00:17:21.390000,0 days 00:17:52.894000,0 days 00:18:26.533000,276.0,260.0,,227.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 00:16:51.498000,2026-08-21 10:33:25.395,1,,,,False,False,FP1,22.7,18.1,69.9
0 days 00:25:47.471000,NOR,1,,3.0,2.0,0 days 00:23:52.773000,,,0 days 00:00:31.719000,0 days 00:00:26.008000,,0 days 00:25:21.698000,0 days 00:25:47.605000,245.0,234.0,308.0,227.0,False,MEDIUM,1.0,True,McLaren,0 days 00:18:26.533000,2026-08-21 10:35:00.430,1,,,,False,False,FP1,22.7,18.1,69.9
0 days 00:27:06.292000,NOR,1,0 days 00:01:18.821000,4.0,2.0,,,0 days 00:00:26.925000,0 days 00:00:26.998000,0 days 00:00:24.898000,0 days 00:26:14.396000,0 days 00:26:41.394000,0 days 00:27:06.292000,283.0,254.0,311.0,244.0,True,MEDIUM,2.0,True,McLaren,0 days 00:25:47.471000,2026-08-21 10:42:21.368,1,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:28:21.831000,NOR,1,0 days 00:01:15.539000,5.0,2.0,,,0 days 00:00:26.284000,0 days 00:00:26.483000,0 days 00:00:22.772000,0 days 00:27:32.576000,0 days 00:27:59.059000,0 days 00:28:21.831000,286.0,278.0,303.0,297.0,True,MEDIUM,3.0,True,McLaren,0 days 00:27:06.292000,2026-08-21 10:43:40.189,1,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:30:19.823000,NOR,1,0 days 00:01:57.992000,6.0,2.0,,,0 days 00:00:36.920000,0 days 00:00:47.053000,0 days 00:00:34.019000,0 days 00:28:58.751000,0 days 00:29:45.804000,0 days 00:30:19.823000,168.0,161.0,310.0,289.0,False,MEDIUM,4.0,True,McLaren,0 days 00:28:21.831000,2026-08-21 10:44:55.728,1,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:31:39.356000,NOR,1,0 days 00:01:19.533000,7.0,2.0,,,0 days 00:00:25.870000,0 days 00:00:26.220000,0 days 00:00:27.443000,0 days 00:30:45.693000,0 days 00:31:11.913000,0 days 00:31:39.356000,287.0,282.0,242.0,306.0,False,MEDIUM,5.0,True,McLaren,0 days 00:30:19.823000,2026-08-21 10:46:53.720,12,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:33:37.431000,NOR,1,0 days 00:01:58.075000,8.0,2.0,,,0 days 00:00:44.622000,0 days 00:00:43.179000,0 days 00:00:30.274000,0 days 00:32:23.978000,0 days 00:33:07.157000,0 days 00:33:37.431000,97.0,184.0,311.0,96.0,False,MEDIUM,6.0,True,McLaren,0 days 00:31:39.356000,2026-08-21 10:48:13.253,1,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:34:52.389000,NOR,1,0 days 00:01:14.958000,9.0,2.0,,,0 days 00:00:25.708000,0 days 00:00:26.298000,0 days 00:00:22.952000,0 days 00:34:03.139000,0 days 00:34:29.437000,0 days 00:34:52.389000,287.0,280.0,306.0,309.0,True,MEDIUM,7.0,True,McLaren,0 days 00:33:37.431000,2026-08-21 10:50:11.328,1,,,,False,True,FP1,22.7,18.1,69.9
0 days 00:36:39.266000,NOR,1,0 days 00:01:46.877000,10.0,2.0,,0 days 00:36:38.011000,0 days 00:00:36.786000,0 days 00:00:38.056000,0 days 00:00:32.035000,0 days 00:35:29.175000,0 days 00:36:07.231000,0 days 00:36:39.266000,190.0,254.0,,226.0,False,MEDIUM,8.0,True,McLaren,0 days 00:34:52.389000,2026-08-21 10:51:26.286,1,,,,False,False,FP1,22.9,18.0,70.1
0 days 00:46:13.070000,NOR,1,,11.0,3.0,0 days 00:44:20.036000,,,0 days 00:00:33.695000,0 days 00:00:25.745000,,0 days 00:45:47.474000,0 days 00:46:13.164000,199.0,223.0,266.0,226.0,False,MEDIUM,9.0,False,McLaren,0 days 00:36:39.266000,2026-08-21 10:53:13.163,12,,,,False,False,FP1,22.9,18.0,70.1
0 days 00:47:35.028000,NOR,1,0 days 00:01:21.958000,12.0,3.0,,,0 days 00:00:28.805000,0 days 00:00:27.600000,0 days 00:00:25.553000,0 days 00:46:41.875000,0 days 00:47:09.475000,0 days 00:47:35.028000,234.0,271.0,312.0,265.0,False,MEDIUM,10.0,False,McLaren,0 days 00:46:13.070000,2026-08-21 11:02:46.967,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:48:49.752000,NOR,1,0 days 00:01:14.724000,13.0,3.0,,,0 days 00:00:25.642000,0 days 00:00:26.244000,0 days 00:00:22.838000,0 days 00:48:00.670000,0 days 00:48:26.914000,0 days 00:48:49.752000,286.0,282.0,301.0,304.0,True,MEDIUM,11.0,False,McLaren,0 days 00:47:35.028000,2026-08-21 11:04:08.925,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:50:12.415000,NOR,1,0 days 00:01:22.663000,14.0,3.0,,,0 days 00:00:30.431000,0 days 00:00:28.822000,0 days 00:00:23.410000,0 days 00:49:20.183000,0 days 00:49:49.005000,0 days 00:50:12.415000,258.0,243.0,309.0,255.0,False,MEDIUM,12.0,False,McLaren,0 days 00:48:49.752000,2026-08-21 11:05:23.649,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:51:28.499000,NOR,1,0 days 00:01:16.084000,15.0,3.0,,,0 days 00:00:26.232000,0 days 00:00:26.884000,0 days 00:00:22.968000,0 days 00:50:38.647000,0 days 00:51:05.531000,0 days 00:51:28.499000,273.0,277.0,313.0,300.0,False,MEDIUM,13.0,False,McLaren,0 days 00:50:12.415000,2026-08-21 11:06:46.312,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:52:44.083000,NOR,1,0 days 00:01:15.584000,16.0,3.0,,,0 days 00:00:25.994000,0 days 00:00:26.794000,0 days 00:00:22.796000,0 days 00:51:54.493000,0 days 00:52:21.287000,0 days 00:52:44.083000,275.0,279.0,313.0,304.0,False,MEDIUM,14.0,False,McLaren,0 days 00:51:28.499000,2026-08-21 11:08:02.396,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:54:00.120000,NOR,1,0 days 00:01:16.037000,17.0,3.0,,,0 days 00:00:25.929000,0 days 00:00:26.956000,0 days 00:00:23.152000,0 days 00:53:10.012000,0 days 00:53:36.968000,0 days 00:54:00.120000,277.0,278.0,318.0,304.0,False,MEDIUM,15.0,False,McLaren,0 days 00:52:44.083000,2026-08-21 11:09:17.980,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:55:16.136000,NOR,1,0 days 00:01:16.016000,18.0,3.0,,,0 days 00:00:25.968000,0 days 00:00:26.968000,0 days 00:00:23.080000,0 days 00:54:26.088000,0 days 00:54:53.056000,0 days 00:55:16.136000,277.0,278.0,317.0,308.0,False,MEDIUM,16.0,False,McLaren,0 days 00:54:00.120000,2026-08-21 11:10:34.017,1,,,,False,True,FP1,22.9,18.0,70.1
0 days 00:56:32.206000,NOR,1,0 days 00:01:16.070000,19.0,3.0,,,0 days 00:00:25.964000,0 days 00:00:27.182000,0 days 00:00:22.924000,0 days 00:55:42.100000,0 days 00:56:09.282000,0 days 00:56:32.206000,279.0,276.0,315.0,308.0,False,MEDIUM,17.0,False,McLaren,0 days 00:55:16.136000,2026-08-21 11:11:50.033,1,,,,False,True,FP1,22.8,18.0,70.3
0 days 00:57:48.418000,NOR,1,0 days 00:01:16.212000,20.0,3.0,,,0 days 00:00:25.923000,0 days 00:00:26.874000,0 days 00:00:23.415000,0 days 00:56:58.129000,0 days 00:57:25.003000,0 days 00:57:48.418000,277.0,279.0,311.0,307.0,False,MEDIUM,18.0,False,McLaren,0 days 00:56:32.206000,2026-08-21 11:13:06.103,12,,,,False,True,FP1,22.8,18.0,70.3
0 days 00:59:10.934000,NOR,1,0 days 00:01:22.516000,21.0,3.0,,0 days 00:59:09.555000,0 days 00:00:25.961000,0 days 00:00:27.446000,0 days 00:00:29.109000,0 days 00:58:14.379000,0 days 00:58:41.825000,0 days 00:59:10.934000,277.0,218.0,,303.0,False,MEDIUM,19.0,False,McLaren,0 days 00:57:48.418000,2026-08-21 11:14:22.315,1,,,,False,False,FP1,22.8,18.0,70.3
0 days 01:06:27.754000,NOR,1,,22.0,4.0,0 days 01:04:54.686000,,,0 days 00:00:28.351000,0 days 00:00:32.223000,,0 days 01:05:55.778000,0 days 01:06:27.833000,239.0,229.0,313.0,303.0,False,SOFT,1.0,True,McLaren,0 days 00:59:10.934000,2026-08-21 11:15:44.831,1,,,,False,False,FP1,22.8,18.0,70.3
