Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:15:32.424000,ANT,12,,1.0,1.0,0 days 00:14:01.486000,,,0 days 00:00:30.640000,0 days 00:00:25.794000,,0 days 00:15:07.949000,0 days 00:15:32.550000,250.0,268.0,298.0,,False,MEDIUM,1.0,True,Mercedes,0 days 00:14:01.486000,2026-08-21 14:30:23.871,1,,,,False,False,SQ
0 days 00:17:00.741000,ANT,12,0 days 00:01:28.317000,2.0,1.0,,,0 days 00:00:30.628000,0 days 00:00:30.851000,0 days 00:00:26.838000,0 days 00:16:03.052000,0 days 00:16:33.903000,0 days 00:17:00.741000,246.0,236.0,302.0,268.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:32.424000,2026-08-21 14:31:54.809,1,,,,False,True,SQ
0 days 00:18:29.033000,ANT,12,0 days 00:01:28.292000,3.0,1.0,,0 days 00:18:27.632000,0 days 00:00:25.165000,0 days 00:00:25.987000,0 days 00:00:37.140000,0 days 00:17:25.906000,0 days 00:17:51.893000,0 days 00:18:29.033000,295.0,287.0,,317.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:17:00.741000,2026-08-21 14:33:23.126,1,,,,False,False,SQ
0 days 00:21:45.468000,ANT,12,,4.0,2.0,0 days 00:20:05.079000,,,0 days 00:00:38.448000,0 days 00:00:27.733000,,0 days 00:21:17.769000,0 days 00:21:45.725000,229.0,224.0,303.0,317.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:18:29.033000,2026-08-21 14:34:51.418,1,,,,False,False,SQ
0 days 00:22:59.136000,ANT,12,0 days 00:01:13.668000,5.0,2.0,,,0 days 00:00:25.157000,0 days 00:00:26.067000,0 days 00:00:22.444000,0 days 00:22:10.625000,0 days 00:22:36.692000,0 days 00:22:59.136000,296.0,285.0,312.0,320.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:21:45.468000,2026-08-21 14:38:07.853,1,,,,False,True,SQ
0 days 00:24:42.711000,ANT,12,0 days 00:01:43.575000,6.0,2.0,,,0 days 00:00:35.594000,0 days 00:00:40.436000,0 days 00:00:27.545000,0 days 00:23:34.730000,0 days 00:24:15.166000,0 days 00:24:42.711000,163.0,144.0,308.0,259.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:22:59.136000,2026-08-21 14:39:21.521,1,,,,False,True,SQ
0 days 00:26:21.259000,ANT,12,0 days 00:01:38.548000,7.0,2.0,,0 days 00:26:19.960000,0 days 00:00:30.547000,0 days 00:00:33.961000,0 days 00:00:34.040000,0 days 00:25:13.258000,0 days 00:25:47.219000,0 days 00:26:21.259000,224.0,158.0,,310.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:24:42.711000,2026-08-21 14:41:05.096,1,,,,False,False,SQ
0 days 00:36:56.660000,ANT,12,,8.0,3.0,0 days 00:35:23.303000,,,0 days 00:00:30.742000,0 days 00:00:26.375000,,0 days 00:36:30.438000,0 days 00:36:56.778000,258.0,249.0,302.0,310.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:26:21.259000,2026-08-21 14:42:43.644,12,,,,False,False,SQ
0 days 00:38:22.302000,ANT,12,0 days 00:01:25.642000,9.0,3.0,,,0 days 00:00:30.906000,0 days 00:00:29.147000,0 days 00:00:25.589000,0 days 00:37:27.566000,0 days 00:37:56.713000,0 days 00:38:22.302000,249.0,241.0,303.0,166.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:36:56.660000,2026-08-21 14:53:19.045,1,,,,False,True,SQ
0 days 00:39:34.813000,ANT,12,0 days 00:01:12.511000,10.0,3.0,,,0 days 00:00:24.787000,0 days 00:00:25.533000,0 days 00:00:22.191000,0 days 00:38:47.089000,0 days 00:39:12.622000,0 days 00:39:34.813000,295.0,285.0,310.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:38:22.302000,2026-08-21 14:54:44.687,1,,,,False,True,SQ
