Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
ANT,12,88.317,2.0,1.0,30.628,30.851,26.838,246.0,236.0,302.0,268.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:32.424000,1,SQ
ANT,12,73.668,5.0,2.0,25.157,26.067,22.444,296.0,285.0,312.0,320.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:21:45.468000,1,SQ
ANT,12,103.575,6.0,2.0,35.594,40.436,27.545,163.0,144.0,308.0,259.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:22:59.136000,1,SQ
ANT,12,85.642,9.0,3.0,30.906,29.147,25.589,249.0,241.0,303.0,166.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:36:56.660000,1,SQ
ANT,12,72.511,10.0,3.0,24.787,25.533,22.191,295.0,285.0,310.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:38:22.302000,1,SQ
ANT,12,84.999,13.0,4.0,29.645,29.855,25.499,242.0,238.0,307.0,280.0,True,SOFT,2.0,True,Mercedes,0 days 00:54:43.995000,1,SQ
ANT,12,71.794,14.0,4.0,24.431,25.416,21.947,293.0,285.0,314.0,320.0,True,SOFT,3.0,True,Mercedes,0 days 00:56:08.994000,1,SQ
NOR,1,82.546,2.0,1.0,27.913,30.003,24.63,238.0,230.0,309.0,275.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:32.408000,1,SQ
NOR,1,73.071,3.0,1.0,25.159,25.617,22.295,289.0,283.0,309.0,309.0,True,MEDIUM,3.0,True,McLaren,0 days 00:18:54.954000,1,SQ
NOR,1,83.793,6.0,2.0,28.749,30.421,24.623,229.0,229.0,306.0,302.0,True,MEDIUM,2.0,True,McLaren,0 days 00:35:04.190000,1,SQ
NOR,1,72.514,7.0,2.0,24.861,25.266,22.387,290.0,283.0,302.0,304.0,True,MEDIUM,3.0,True,McLaren,0 days 00:36:27.983000,1,SQ
NOR,1,99.888,8.0,2.0,35.797,34.841,29.25,203.0,206.0,262.0,174.0,False,MEDIUM,4.0,True,McLaren,0 days 00:37:40.497000,1,SQ
NOR,1,98.203,9.0,2.0,34.921,33.882,29.4,191.0,224.0,307.0,211.0,False,MEDIUM,5.0,True,McLaren,0 days 00:39:20.385000,1,SQ
NOR,1,72.189,10.0,2.0,24.755,25.258,22.176,290.0,285.0,304.0,310.0,True,MEDIUM,6.0,True,McLaren,0 days 00:40:58.588000,1,SQ
NOR,1,79.121,13.0,3.0,27.186,27.805,24.13,245.0,228.0,309.0,281.0,True,SOFT,2.0,True,McLaren,0 days 00:54:34.377000,1,SQ
NOR,1,71.608,14.0,3.0,24.622,24.983,22.003,291.0,281.0,306.0,308.0,True,SOFT,3.0,True,McLaren,0 days 00:55:53.498000,1,SQ
RUS,63,89.19,2.0,1.0,29.165,33.063,26.962,190.0,232.0,301.0,251.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:37.015000,1,SQ
RUS,63,73.829,3.0,1.0,25.282,26.134,22.413,295.0,286.0,311.0,317.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:17:06.205000,1,SQ
RUS,63,101.501,4.0,1.0,37.943,34.61,28.948,235.0,239.0,264.0,239.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:18:20.034000,1,SQ
RUS,63,94.92,5.0,1.0,33.883,34.665,26.372,247.0,231.0,298.0,139.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:20:01.535000,1,SQ
RUS,63,73.45,6.0,1.0,25.122,26.211,22.117,295.0,283.0,314.0,321.0,True,MEDIUM,6.0,True,Mercedes,0 days 00:21:36.455000,1,SQ
RUS,63,111.976,7.0,1.0,38.009,37.616,36.351,203.0,162.0,296.0,204.0,False,MEDIUM,7.0,True,Mercedes,0 days 00:22:49.905000,1,SQ
RUS,63,73.278,8.0,1.0,25.122,26.054,22.102,294.0,285.0,310.0,316.0,True,MEDIUM,8.0,True,Mercedes,0 days 00:24:41.881000,1,SQ
RUS,63,89.566,11.0,2.0,28.844,35.586,25.136,246.0,229.0,302.0,275.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:37:00.970000,1,SQ
RUS,63,72.235,12.0,2.0,24.651,25.507,22.077,294.0,284.0,310.0,321.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:38:30.536000,1,SQ
RUS,63,88.58,15.0,3.0,31.901,31.555,25.124,232.0,234.0,302.0,287.0,True,SOFT,2.0,True,Mercedes,0 days 00:54:50.162000,1,SQ
RUS,63,71.567,16.0,3.0,24.381,25.434,21.752,294.0,285.0,317.0,321.0,True,SOFT,3.0,True,Mercedes,0 days 00:56:18.742000,1,SQ
HAM,44,91.942,2.0,1.0,31.61,31.643,28.689,223.0,233.0,311.0,310.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:52.289000,1,SQ
HAM,44,73.151,3.0,1.0,25.074,25.564,22.513,290.0,286.0,293.0,313.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:18:24.231000,1,SQ
HAM,44,98.029,4.0,1.0,35.753,32.798,29.478,178.0,231.0,175.0,224.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:19:37.382000,1,SQ
HAM,44,99.234,5.0,1.0,38.017,35.18,26.037,177.0,230.0,309.0,148.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:21:15.411000,1,SQ
HAM,44,83.29,6.0,1.0,25.998,30.395,26.897,245.0,245.0,309.0,311.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:22:54.645000,1,SQ
