Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,87.76,2.0,1.0,27.926,30.546,29.288,295.0,311.0,275.0,321.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:30.036000,1,FP1,49.6,30.4,39.1
NOR,1,126.524,3.0,1.0,37.564,50.339,38.621,167.0,142.0,281.0,216.0,False,MEDIUM,3.0,True,McLaren,0 days 00:17:57.796000,1,FP1,49.6,30.4,39.1
NOR,1,84.526,4.0,1.0,27.601,28.723,28.202,295.0,318.0,282.0,320.0,True,MEDIUM,4.0,True,McLaren,0 days 00:20:04.320000,1,FP1,49.6,30.4,39.1
NOR,1,84.194,6.0,1.0,27.529,28.527,28.138,297.0,316.0,286.0,320.0,True,MEDIUM,6.0,True,McLaren,0 days 00:24:06.212000,1,FP1,49.6,30.4,39.1
NOR,1,144.42,7.0,1.0,48.253,55.013,41.154,125.0,209.0,283.0,112.0,False,MEDIUM,7.0,True,McLaren,0 days 00:25:30.406000,1,FP1,49.6,30.4,39.1
NOR,1,83.719,8.0,1.0,27.434,28.37,27.915,299.0,320.0,285.0,322.0,True,MEDIUM,8.0,True,McLaren,0 days 00:27:54.826000,1,FP1,49.6,30.4,39.1
NOR,1,84.621,11.0,2.0,27.441,28.283,28.897,295.0,313.0,281.0,320.0,False,SOFT,2.0,True,McLaren,0 days 00:43:01.254000,1,FP1,49.6,30.4,39.1
NOR,1,134.91,12.0,2.0,44.419,54.417,36.074,132.0,149.0,282.0,166.0,False,SOFT,3.0,True,McLaren,0 days 00:44:25.875000,1,FP1,49.6,30.4,39.1
NOR,1,84.024,13.0,2.0,27.501,28.383,28.14,291.0,315.0,280.0,317.0,False,SOFT,4.0,True,McLaren,0 days 00:46:40.785000,1,FP1,49.6,30.4,39.1
NOR,1,86.744,16.0,3.0,28.625,29.315,28.804,287.0,306.0,289.0,285.0,False,MEDIUM,11.0,False,McLaren,0 days 00:59:43.808000,1,FP1,50.2,30.4,39.6
NOR,1,86.305,17.0,3.0,28.446,29.263,28.596,290.0,307.0,290.0,299.0,False,MEDIUM,12.0,False,McLaren,0 days 01:01:10.552000,1,FP1,50.2,30.4,39.6
NOR,1,86.517,18.0,3.0,28.456,29.445,28.616,289.0,308.0,291.0,301.0,False,MEDIUM,13.0,False,McLaren,0 days 01:02:36.857000,1,FP1,50.2,30.4,39.6
NOR,1,87.06,19.0,3.0,29.005,29.642,28.413,300.0,317.0,298.0,299.0,False,MEDIUM,14.0,False,McLaren,0 days 01:04:03.374000,1,FP1,50.2,30.4,39.6
NOR,1,86.21,20.0,3.0,28.203,29.476,28.531,297.0,319.0,305.0,311.0,False,MEDIUM,15.0,False,McLaren,0 days 01:05:30.434000,1,FP1,50.2,30.4,39.6
NOR,1,86.248,21.0,3.0,28.02,29.601,28.627,302.0,315.0,297.0,314.0,False,MEDIUM,16.0,False,McLaren,0 days 01:06:56.644000,1,FP1,50.2,30.4,39.6
NOR,1,86.954,22.0,3.0,28.552,29.574,28.828,288.0,306.0,293.0,301.0,False,MEDIUM,17.0,False,McLaren,0 days 01:08:22.892000,1,FP1,50.2,30.4,39.6
NOR,1,114.774,25.0,4.0,33.198,37.384,44.192,220.0,212.0,65.0,233.0,False,SOFT,7.0,False,McLaren,0 days 01:13:14.128000,1,FP1,49.5,30.4,39.1
BOR,5,86.307,4.0,2.0,28.107,29.182,29.018,291.0,307.0,276.0,313.0,True,MEDIUM,4.0,False,Audi,0 days 00:26:15.211000,1,FP1,49.5,30.4,39.1
BOR,5,132.267,5.0,2.0,42.507,48.476,41.284,131.0,145.0,287.0,205.0,False,MEDIUM,5.0,False,Audi,0 days 00:27:41.518000,12,FP1,49.5,30.4,39.1
BOR,5,84.599,8.0,3.0,27.795,28.648,28.156,295.0,312.0,282.0,318.0,True,MEDIUM,8.0,False,Audi,0 days 00:40:57.422000,1,FP1,49.5,30.4,39.1
BOR,5,141.124,9.0,3.0,43.695,59.299,38.13,111.0,161.0,290.0,186.0,False,MEDIUM,9.0,False,Audi,0 days 00:42:22.021000,1,FP1,50.4,30.4,39.4
BOR,5,85.296,10.0,3.0,27.982,28.743,28.571,289.0,305.0,276.0,312.0,False,MEDIUM,10.0,False,Audi,0 days 00:44:43.145000,1,FP1,50.4,30.4,39.4
BOR,5,84.006,13.0,4.0,27.854,28.219,27.933,293.0,311.0,283.0,314.0,True,SOFT,2.0,True,Audi,0 days 01:03:16.077000,1,FP1,50.4,30.4,39.4
BOR,5,92.309,14.0,4.0,32.674,31.04,28.595,272.0,302.0,306.0,230.0,False,SOFT,3.0,True,Audi,0 days 01:04:40.083000,1,FP1,50.4,30.4,39.4
BOR,5,86.497,15.0,4.0,28.591,29.211,28.695,284.0,304.0,312.0,296.0,False,SOFT,4.0,True,Audi,0 days 01:06:12.392000,1,FP1,50.4,30.4,39.4
BOR,5,85.963,16.0,4.0,28.689,29.052,28.222,291.0,309.0,309.0,293.0,False,SOFT,5.0,True,Audi,0 days 01:07:38.889000,1,FP1,50.4,30.4,39.4
BOR,5,86.392,17.0,4.0,28.471,29.373,28.548,293.0,312.0,308.0,309.0,False,SOFT,6.0,True,Audi,0 days 01:09:04.852000,1,FP1,50.4,30.4,39.4
BOR,5,85.27,18.0,4.0,28.065,29.034,28.171,293.0,312.0,307.0,299.0,False,SOFT,7.0,True,Audi,0 days 01:10:31.244000,1,FP1,50.4,30.4,39.4
BOR,5,85.38,19.0,4.0,27.937,29.049,28.394,290.0,308.0,306.0,298.0,False,SOFT,8.0,True,Audi,0 days 01:11:56.514000,1,FP1,50.4,30.4,39.4
BOR,5,134.829,20.0,4.0,36.968,43.721,54.14,165.0,164.0,49.0,236.0,False,SOFT,9.0,True,Audi,0 days 01:13:21.894000,1,FP1,50.4,30.4,39.4
ANT,12,110.23,2.0,1.0,31.728,43.798,34.704,274.0,138.0,294.0,328.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:41.344000,1,FP1,50.2,30.4,40.0
ANT,12,85.637,3.0,1.0,27.811,28.943,28.883,293.0,312.0,278.0,325.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:17:31.574000,1,FP1,50.2,30.4,40.0
ANT,12,131.473,4.0,1.0,49.004,48.56,33.909,97.0,208.0,296.0,151.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:18:57.211000,1,FP1,50.2,30.4,40.0
ANT,12,84.515,5.0,1.0,27.348,28.604,28.563,292.0,313.0,280.0,329.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:21:08.684000,1,FP1,50.2,30.4,40.0
