Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:16:30.036000,NOR,1,,1.0,1.0,0 days 00:14:07.545000,,,0 days 00:00:33.952000,0 days 00:00:37.795000,,0 days 00:15:52.533000,0 days 00:16:30.239000,302.0,276.0,278.0,187.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:07.545000,2026-09-04 10:31:37.527,1,,,,False,False,FP1,50.3,30.3,39.5
0 days 00:17:57.796000,NOR,1,0 days 00:01:27.760000,2.0,1.0,,,0 days 00:00:27.926000,0 days 00:00:30.546000,0 days 00:00:29.288000,0 days 00:16:57.962000,0 days 00:17:28.508000,0 days 00:17:57.796000,295.0,311.0,275.0,321.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:30.036000,2026-09-04 10:34:00.018,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:20:04.320000,NOR,1,0 days 00:02:06.524000,3.0,1.0,,,0 days 00:00:37.564000,0 days 00:00:50.339000,0 days 00:00:38.621000,0 days 00:18:35.360000,0 days 00:19:25.699000,0 days 00:20:04.320000,167.0,142.0,281.0,216.0,False,MEDIUM,3.0,True,McLaren,0 days 00:17:57.796000,2026-09-04 10:35:27.778,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:21:28.846000,NOR,1,0 days 00:01:24.526000,4.0,1.0,,,0 days 00:00:27.601000,0 days 00:00:28.723000,0 days 00:00:28.202000,0 days 00:20:31.921000,0 days 00:21:00.644000,0 days 00:21:28.846000,295.0,318.0,282.0,320.0,True,MEDIUM,4.0,True,McLaren,0 days 00:20:04.320000,2026-09-04 10:37:34.302,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:24:06.212000,NOR,1,,5.0,1.0,,,0 days 00:00:50.901000,0 days 00:01:01.442000,0 days 00:00:45.006000,0 days 00:22:19.907000,0 days 00:23:21.517000,0 days 00:24:06.301000,119.0,123.0,280.0,101.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:28.846000,2026-09-04 10:38:58.828,1,,,,False,False,FP1,49.6,30.4,39.1
0 days 00:25:30.406000,NOR,1,0 days 00:01:24.194000,6.0,1.0,,,0 days 00:00:27.529000,0 days 00:00:28.527000,0 days 00:00:28.138000,0 days 00:24:33.741000,0 days 00:25:02.268000,0 days 00:25:30.406000,297.0,316.0,286.0,320.0,True,MEDIUM,6.0,True,McLaren,0 days 00:24:06.212000,2026-09-04 10:41:36.194,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:27:54.826000,NOR,1,0 days 00:02:24.420000,7.0,1.0,,,0 days 00:00:48.253000,0 days 00:00:55.013000,0 days 00:00:41.154000,0 days 00:26:18.659000,0 days 00:27:13.672000,0 days 00:27:54.826000,125.0,209.0,283.0,112.0,False,MEDIUM,7.0,True,McLaren,0 days 00:25:30.406000,2026-09-04 10:43:00.388,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:29:18.545000,NOR,1,0 days 00:01:23.719000,8.0,1.0,,,0 days 00:00:27.434000,0 days 00:00:28.370000,0 days 00:00:27.915000,0 days 00:28:22.260000,0 days 00:28:50.630000,0 days 00:29:18.545000,299.0,320.0,285.0,322.0,True,MEDIUM,8.0,True,McLaren,0 days 00:27:54.826000,2026-09-04 10:45:24.808,1,,,,False,True,FP1,49.6,30.4,39.1
0 days 00:31:26.260000,NOR,1,0 days 00:02:07.715000,9.0,1.0,,0 days 00:31:22.451000,0 days 00:00:29.355000,0 days 00:00:44.984000,0 days 00:00:53.376000,0 days 00:29:47.900000,0 days 00:30:32.884000,0 days 00:31:26.260000,288.0,239.0,,271.0,False,MEDIUM,9.0,True,McLaren,0 days 00:29:18.545000,2026-09-04 10:46:48.527,126,,,,False,False,FP1,49.6,30.4,39.1
0 days 00:43:01.254000,NOR,1,,10.0,2.0,0 days 00:41:19.290000,,,0 days 00:00:31.692000,0 days 00:00:34.241000,,0 days 00:42:27.288000,0 days 00:43:01.405000,264.0,263.0,284.0,192.0,False,SOFT,1.0,True,McLaren,0 days 00:41:19.290000,2026-09-04 10:58:49.272,1,,,,False,False,FP1,49.6,30.4,39.1
