Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:20:47.268000,GAS,10,,1.0,1.0,0 days 00:19:01.057000,,,0 days 00:00:36.765000,0 days 00:00:31.652000,,0 days 00:20:15.616000,0 days 00:20:47.516000,197.0,265.0,300.0,175.0,False,SOFT,1.0,True,Alpine,0 days 00:19:01.057000,2026-09-05 14:05:37.661,1,,,,False,False,Q
0 days 00:22:09.880000,GAS,10,0 days 00:01:22.612000,2.0,1.0,,,0 days 00:00:27,0 days 00:00:27.992000,0 days 00:00:27.620000,0 days 00:21:14.268000,0 days 00:21:42.260000,0 days 00:22:09.880000,308.0,327.0,290.0,331.0,True,SOFT,2.0,True,Alpine,0 days 00:20:47.268000,2026-09-05 14:07:23.872,1,,,,False,True,Q
0 days 00:24:07.228000,GAS,10,0 days 00:01:57.348000,3.0,1.0,,0 days 00:24:03.398000,0 days 00:00:36.360000,0 days 00:00:39.337000,0 days 00:00:41.651000,0 days 00:22:46.240000,0 days 00:23:25.577000,0 days 00:24:07.228000,212.0,265.0,,185.0,False,SOFT,3.0,True,Alpine,0 days 00:22:09.880000,2026-09-05 14:08:46.484,1,,,,False,False,Q
0 days 00:30:04.665000,GAS,10,,4.0,2.0,0 days 00:28:12.212000,,,0 days 00:00:35.205000,0 days 00:00:39.800000,,0 days 00:29:24.953000,0 days 00:30:04.844000,279.0,210.0,294.0,189.0,False,SOFT,4.0,False,Alpine,0 days 00:24:07.228000,2026-09-05 14:10:43.832,1,,,,False,False,Q
0 days 00:31:27.280000,GAS,10,0 days 00:01:22.615000,5.0,2.0,,,0 days 00:00:27.084000,0 days 00:00:27.992000,0 days 00:00:27.539000,0 days 00:30:31.749000,0 days 00:30:59.741000,0 days 00:31:27.280000,305.0,324.0,287.0,331.0,False,SOFT,5.0,False,Alpine,0 days 00:30:04.665000,2026-09-05 14:16:41.269,1,,,,False,True,Q
0 days 00:33:23.456000,GAS,10,0 days 00:01:56.176000,6.0,2.0,,0 days 00:33:19.638000,0 days 00:00:37.045000,0 days 00:00:37.951000,0 days 00:00:41.180000,0 days 00:32:04.325000,0 days 00:32:42.276000,0 days 00:33:23.456000,222.0,255.0,,187.0,False,SOFT,6.0,False,Alpine,0 days 00:31:27.280000,2026-09-05 14:18:03.884,1,,,,False,False,Q
0 days 00:44:44.425000,GAS,10,,7.0,3.0,0 days 00:43:03.464000,,,0 days 00:00:32.384000,0 days 00:00:30.704000,,0 days 00:44:13.774000,0 days 00:44:44.436000,291.0,290.0,290.0,186.0,False,SOFT,1.0,True,Alpine,0 days 00:33:23.456000,2026-09-05 14:20:00.060,12,,,,False,False,Q
0 days 00:46:06.551000,GAS,10,0 days 00:01:22.126000,8.0,3.0,,,0 days 00:00:26.972000,0 days 00:00:27.815000,0 days 00:00:27.339000,0 days 00:45:11.397000,0 days 00:45:39.212000,0 days 00:46:06.551000,306.0,325.0,287.0,330.0,True,SOFT,2.0,True,Alpine,0 days 00:44:44.425000,2026-09-05 14:31:21.029,1,,,,False,True,Q
0 days 00:48:01.392000,GAS,10,0 days 00:01:54.841000,9.0,3.0,,0 days 00:47:57.558000,0 days 00:00:35.901000,0 days 00:00:37.490000,0 days 00:00:41.450000,0 days 00:46:42.452000,0 days 00:47:19.942000,0 days 00:48:01.392000,222.0,270.0,,193.0,False,SOFT,3.0,True,Alpine,0 days 00:46:06.551000,2026-09-05 14:32:43.155,1,,,,False,False,Q
0 days 00:52:50.964000,GAS,10,,10.0,4.0,0 days 00:51:09.838000,,,0 days 00:00:32.452000,0 days 00:00:32.555000,,0 days 00:52:18.449000,0 days 00:52:51.164000,285.0,294.0,290.0,188.0,False,SOFT,1.0,True,Alpine,0 days 00:48:01.392000,2026-09-05 14:34:37.996,1,,,,False,False,Q
