Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
GAS,10,82.612,2.0,1.0,27.0,27.992,27.62,308.0,327.0,290.0,331.0,True,SOFT,2.0,True,Alpine,0 days 00:20:47.268000,1,Q
GAS,10,82.615,5.0,2.0,27.084,27.992,27.539,305.0,324.0,287.0,331.0,False,SOFT,5.0,False,Alpine,0 days 00:30:04.665000,1,Q
GAS,10,82.126,8.0,3.0,26.972,27.815,27.339,306.0,325.0,287.0,330.0,True,SOFT,2.0,True,Alpine,0 days 00:44:44.425000,1,Q
GAS,10,82.077,11.0,4.0,26.861,27.801,27.415,310.0,332.0,292.0,333.0,True,SOFT,2.0,True,Alpine,0 days 00:52:50.964000,1,Q
GAS,10,82.001,14.0,5.0,26.828,27.812,27.361,307.0,325.0,289.0,331.0,True,SOFT,2.0,True,Alpine,0 days 01:02:20.089000,1,Q
GAS,10,81.786,17.0,6.0,26.817,27.706,27.263,308.0,327.0,287.0,334.0,True,SOFT,2.0,True,Alpine,0 days 01:13:12.043000,1,Q
RUS,63,82.779,2.0,1.0,27.304,27.938,27.537,305.0,318.0,281.0,325.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:20:32.291000,1,Q
RUS,63,82.161,7.0,3.0,27.071,27.77,27.32,304.0,320.0,284.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 00:44:38.764000,1,Q
RUS,63,82.855,10.0,4.0,27.575,27.878,27.402,306.0,322.0,285.0,330.0,False,SOFT,2.0,True,Mercedes,0 days 00:52:40.203000,1,Q
RUS,63,81.929,13.0,5.0,26.793,27.777,27.359,302.0,316.0,285.0,338.0,True,SOFT,2.0,True,Mercedes,0 days 01:02:11.249000,1,Q
RUS,63,81.846,16.0,6.0,27.006,27.596,27.244,306.0,328.0,286.0,336.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:01.450000,1,Q
PIA,81,82.924,2.0,1.0,27.26,27.998,27.666,305.0,321.0,286.0,322.0,True,SOFT,2.0,True,McLaren,0 days 00:16:54.762000,1,Q
PIA,81,107.848,5.0,2.0,33.384,37.598,36.866,231.0,247.0,295.0,318.0,False,SOFT,5.0,False,McLaren,0 days 00:29:30.284000,1,Q
PIA,81,82.987,6.0,2.0,27.182,28.063,27.742,301.0,315.0,283.0,327.0,False,SOFT,6.0,False,McLaren,0 days 00:31:18.132000,1,Q
PIA,81,82.017,9.0,3.0,26.994,27.745,27.278,306.0,324.0,287.0,326.0,True,SOFT,2.0,True,McLaren,0 days 00:45:01.527000,1,Q
PIA,81,82.257,12.0,4.0,27.012,27.769,27.476,307.0,323.0,286.0,325.0,False,SOFT,5.0,False,McLaren,0 days 00:52:46.320000,1,Q
