Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,4,76.003,2.0,1.0,26.383,17.285,32.335,290.0,322.0,307.0,324.0,True,SOFT,2.0,True,McLaren,1,Q
NOR,4,75.912,5.0,2.0,26.463,17.116,32.333,290.0,326.0,308.0,328.0,True,SOFT,5.0,False,McLaren,1,Q
NOR,4,75.556,10.0,4.0,26.104,17.122,32.33,289.0,325.0,307.0,323.0,True,,2.0,True,McLaren,1,Q
NOR,4,75.415,13.0,5.0,26.194,17.03,32.191,289.0,325.0,310.0,328.0,True,SOFT,5.0,False,McLaren,1,Q
NOR,4,75.921,16.0,6.0,26.127,17.057,32.737,289.0,325.0,313.0,326.0,True,SOFT,2.0,True,McLaren,1,Q
NOR,4,75.096,19.0,7.0,25.961,16.997,32.138,288.0,325.0,310.0,326.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,76.157,2.0,1.0,26.452,17.204,32.501,290.0,322.0,306.0,321.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,76.062,5.0,2.0,26.27,17.114,32.678,289.0,325.0,307.0,325.0,True,SOFT,5.0,False,McLaren,12,Q
PIA,81,75.468,9.0,4.0,26.171,17.111,32.186,290.0,324.0,305.0,323.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,76.147,14.0,6.0,26.19,17.066,32.891,288.0,326.0,309.0,323.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,75.18,17.0,7.0,26.082,16.952,32.146,289.0,325.0,309.0,323.0,True,SOFT,2.0,True,McLaren,1,Q
VER,1,76.018,2.0,1.0,26.366,17.171,32.481,291.0,327.0,303.0,328.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,1,75.688,7.0,3.0,26.229,17.038,32.421,290.0,329.0,309.0,325.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,1,75.565,10.0,4.0,26.09,17.003,32.472,289.0,328.0,308.0,330.0,True,SOFT,5.0,False,Red Bull Racing,21,Q
VER,1,75.671,13.0,5.0,26.055,16.935,32.681,290.0,328.0,308.0,331.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,1,75.481,16.0,6.0,26.066,16.915,32.5,290.0,330.0,310.0,331.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
RUS,63,77.21,2.0,1.0,26.777,17.431,33.002,289.0,323.0,310.0,322.0,True,MEDIUM,2.0,True,Mercedes,1,Q
RUS,63,76.295,5.0,2.0,26.416,17.163,32.716,290.0,326.0,312.0,326.0,True,MEDIUM,5.0,False,Mercedes,1,Q
RUS,63,75.971,8.0,3.0,26.366,17.086,32.519,291.0,328.0,310.0,326.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,75.798,11.0,4.0,26.373,17.128,32.297,290.0,324.0,309.0,321.0,True,SOFT,5.0,False,Mercedes,1,Q
RUS,63,82.179,14.0,5.0,26.183,17.028,38.968,290.0,335.0,273.0,328.0,False,SOFT,2.0,True,Mercedes,12,Q
RUS,63,75.695,17.0,6.0,26.104,17.03,32.561,289.0,326.0,309.0,328.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,75.546,20.0,7.0,26.163,16.951,32.432,289.0,327.0,312.0,327.0,True,SOFT,2.0,True,Mercedes,1,Q
ALB,23,76.963,2.0,1.0,26.756,17.281,32.926,289.0,327.0,309.0,323.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,104.62,3.0,1.0,41.026,22.838,40.756,220.0,251.0,285.0,242.0,False,SOFT,3.0,True,Williams,1,Q
ALB,23,104.418,4.0,1.0,39.183,22.548,42.687,196.0,269.0,308.0,221.0,False,SOFT,4.0,True,Williams,1,Q
ALB,23,76.563,5.0,1.0,26.58,17.141,32.842,290.0,329.0,311.0,325.0,True,SOFT,5.0,True,Williams,1,Q
ALB,23,76.245,8.0,2.0,26.378,17.153,32.714,292.0,327.0,309.0,325.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,76.019,11.0,3.0,26.386,17.12,32.513,290.0,327.0,304.0,326.0,True,SOFT,2.0,True,Williams,1,Q
ALB,23,76.017,14.0,4.0,26.186,17.034,32.797,289.0,328.0,309.0,327.0,True,SOFT,2.0,True,Williams,12,Q
ALB,23,76.173,17.0,5.0,26.325,17.061,32.787,288.0,328.0,307.0,329.0,True,SOFT,5.0,False,Williams,1,Q
ALB,23,75.737,20.0,6.0,26.215,16.978,32.544,289.0,329.0,309.0,331.0,True,SOFT,2.0,True,Williams,1,Q
LEC,16,76.453,2.0,1.0,26.558,17.265,32.63,290.0,323.0,307.0,324.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,76.029,5.0,2.0,26.411,17.144,32.474,290.0,322.0,308.0,325.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,75.838,9.0,4.0,26.324,17.048,32.466,290.0,324.0,304.0,322.0,True,SOFT,9.0,False,Ferrari,1,Q
LEC,16,75.827,12.0,5.0,26.184,17.155,32.488,289.0,320.0,303.0,323.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,75.755,17.0,7.0,26.194,17.025,32.536,290.0,325.0,309.0,326.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,76.744,2.0,1.0,26.49,17.391,32.863,290.0,319.0,306.0,323.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,76.402,5.0,2.0,26.451,17.243,32.708,290.0,326.0,306.0,327.0,True,SOFT,5.0,False,Ferrari,1,Q
HAM,44,76.213,8.0,3.0,26.347,17.224,32.642,290.0,323.0,305.0,330.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,76.073,11.0,4.0,26.518,17.292,32.263,289.0,320.0,307.0,320.0,True,SOFT,5.0,False,Ferrari,1,Q
HAM,44,75.919,14.0,5.0,26.15,17.223,32.546,289.0,321.0,306.0,324.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,104.638,15.0,5.0,37.652,23.02,43.966,198.0,259.0,168.0,230.0,False,SOFT,3.0,True,Ferrari,1,Q
HAM,44,106.496,16.0,5.0,38.501,24.858,43.137,198.0,236.0,308.0,183.0,False,SOFT,4.0,True,Ferrari,1,Q
HAM,44,76.327,19.0,6.0,26.29,17.084,32.953,290.0,324.0,309.0,327.0,True,SOFT,8.0,False,Ferrari,1,Q
HAM,44,75.973,22.0,7.0,26.265,17.08,32.628,290.0,324.0,306.0,328.0,True,SOFT,2.0,True,Ferrari,1,Q
GAS,10,76.839,2.0,1.0,26.64,17.369,32.83,288.0,323.0,301.0,322.0,True,SOFT,2.0,True,Alpine,1,Q
GAS,10,110.995,3.0,1.0,39.233,22.133,49.629,236.0,236.0,126.0,238.0,False,SOFT,3.0,True,Alpine,1,Q
GAS,10,106.949,4.0,1.0,43.056,20.839,43.054,236.0,252.0,309.0,143.0,False,SOFT,4.0,True,Alpine,1,Q
GAS,10,76.825,5.0,1.0,26.606,17.241,32.978,287.0,327.0,308.0,326.0,True,SOFT,5.0,True,Alpine,1,Q
GAS,10,76.328,8.0,2.0,26.54,17.148,32.64,288.0,328.0,308.0,324.0,True,SOFT,2.0,True,Alpine,1,Q
GAS,10,76.112,11.0,3.0,26.4,17.152,32.56,287.0,325.0,307.0,324.0,True,SOFT,2.0,True,Alpine,1,Q
GAS,10,76.196,14.0,4.0,26.444,17.051,32.701,286.0,326.0,306.0,329.0,False,SOFT,2.0,True,Alpine,1,Q
GAS,10,76.387,17.0,5.0,26.387,17.151,32.849,287.0,324.0,306.0,325.0,True,SOFT,5.0,False,Alpine,1,Q
GAS,10,75.98,20.0,6.0,26.293,17.087,32.6,287.0,326.0,307.0,326.0,True,SOFT,2.0,True,Alpine,1,Q
SAI,55,77.65,2.0,1.0,27.029,17.351,33.27,288.0,326.0,307.0,323.0,True,SOFT,2.0,True,Williams,1,Q
SAI,55,117.558,3.0,1.0,37.899,26.6,53.059,221.0,247.0,82.0,237.0,False,SOFT,3.0,True,Williams,1,Q
SAI,55,109.125,4.0,1.0,45.125,24.914,39.086,211.0,249.0,306.0,91.0,False,SOFT,4.0,True,Williams,1,Q
SAI,55,76.44,5.0,1.0,26.466,17.168,32.806,289.0,326.0,308.0,323.0,True,SOFT,5.0,True,Williams,1,Q
SAI,55,76.36,8.0,2.0,26.477,17.175,32.708,289.0,325.0,310.0,323.0,True,SOFT,2.0,True,Williams,1,Q
SAI,55,76.118,11.0,3.0,26.306,17.153,32.659,290.0,328.0,308.0,324.0,True,SOFT,2.0,True,Williams,1,Q
SAI,55,75.931,14.0,4.0,26.269,17.078,32.584,287.0,328.0,308.0,327.0,True,SOFT,2.0,True,Williams,12,Q
SAI,55,77.364,17.0,5.0,26.453,17.106,33.805,288.0,327.0,309.0,326.0,True,SOFT,5.0,False,Williams,1,Q
SAI,55,76.062,20.0,6.0,26.355,17.0,32.707,289.0,329.0,309.0,327.0,True,SOFT,2.0,True,Williams,1,Q
HAD,6,76.725,2.0,1.0,26.65,17.221,32.854,289.0,328.0,308.0,327.0,True,SOFT,2.0,True,Racing Bulls,1,Q
