Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,1,84.906,5.0,3.0,29.609,18.321,36.976,262.0,265.0,276.0,282.0,True,MEDIUM,5.0,False,McLaren,1,FP1
NOR,1,84.391,6.0,3.0,29.862,18.361,36.168,264.0,289.0,286.0,233.0,True,MEDIUM,6.0,False,McLaren,1,FP1
VER,3,82.92,4.0,1.0,29.225,17.878,35.817,246.0,280.0,287.0,291.0,True,MEDIUM,4.0,True,Red Bull Racing,1,FP1
VER,3,82.305,6.0,1.0,29.148,17.841,35.316,246.0,282.0,284.0,282.0,True,MEDIUM,6.0,True,Red Bull Racing,1,FP1
VER,3,129.341,7.0,1.0,41.316,27.488,60.537,189.0,128.0,276.0,215.0,False,MEDIUM,7.0,True,Red Bull Racing,1,FP1
VER,3,97.97,8.0,1.0,33.394,23.27,41.306,207.0,235.0,278.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,1,FP1
VER,3,82.307,9.0,1.0,28.936,17.887,35.484,244.0,279.0,284.0,293.0,False,MEDIUM,9.0,True,Red Bull Racing,1,FP1
VER,3,81.403,12.0,2.0,28.648,17.806,34.949,245.0,280.0,287.0,296.0,True,MEDIUM,12.0,False,Red Bull Racing,1,FP1
VER,3,80.908,15.0,3.0,28.394,17.739,34.775,252.0,286.0,290.0,295.0,True,SOFT,2.0,True,Red Bull Racing,1,FP1
VER,3,80.789,18.0,4.0,28.362,17.673,34.754,250.0,288.0,293.0,296.0,True,SOFT,5.0,False,Red Bull Racing,1,FP1
VER,3,85.753,21.0,5.0,30.613,18.583,36.557,251.0,294.0,295.0,281.0,False,MEDIUM,15.0,False,Red Bull Racing,1,FP1
VER,3,84.846,22.0,5.0,29.728,18.556,36.562,245.0,295.0,302.0,287.0,False,MEDIUM,16.0,False,Red Bull Racing,1,FP1
VER,3,84.843,23.0,5.0,29.671,18.528,36.644,243.0,293.0,291.0,299.0,False,MEDIUM,17.0,False,Red Bull Racing,1,FP1
VER,3,84.894,24.0,5.0,29.991,18.272,36.631,243.0,297.0,290.0,283.0,False,MEDIUM,18.0,False,Red Bull Racing,1,FP1
VER,3,84.621,25.0,5.0,29.757,18.362,36.502,243.0,298.0,295.0,284.0,False,MEDIUM,19.0,False,Red Bull Racing,1,FP1
BOR,5,96.091,3.0,2.0,32.727,20.39,42.974,248.0,240.0,279.0,248.0,True,MEDIUM,3.0,False,Audi,1,FP1
BOR,5,84.332,4.0,2.0,29.499,18.396,36.437,271.0,279.0,296.0,289.0,True,MEDIUM,4.0,False,Audi,1,FP1
BOR,5,108.334,5.0,2.0,40.496,23.467,44.371,215.0,271.0,278.0,242.0,False,MEDIUM,5.0,False,Audi,1,FP1
BOR,5,82.802,6.0,2.0,28.921,18.049,35.832,272.0,280.0,295.0,290.0,True,MEDIUM,6.0,False,Audi,1,FP1
BOR,5,117.702,7.0,2.0,44.017,23.561,50.124,154.0,234.0,282.0,224.0,False,MEDIUM,7.0,False,Audi,1,FP1
BOR,5,82.826,10.0,3.0,28.966,18.039,35.821,273.0,281.0,297.0,289.0,False,MEDIUM,10.0,False,Audi,1,FP1
BOR,5,82.245,13.0,4.0,28.671,18.247,35.327,271.0,278.0,291.0,294.0,True,SOFT,2.0,True,Audi,1,FP1
BOR,5,121.364,14.0,4.0,45.658,34.625,41.081,124.0,205.0,280.0,236.0,False,SOFT,3.0,True,Audi,1,FP1
BOR,5,81.696,15.0,4.0,28.432,17.955,35.309,273.0,280.0,294.0,290.0,True,SOFT,4.0,True,Audi,1,FP1
BOR,5,85.242,19.0,6.0,30.121,18.202,36.919,259.0,284.0,289.0,276.0,False,MEDIUM,14.0,False,Audi,1,FP1
BOR,5,85.384,20.0,6.0,30.065,18.221,37.098,266.0,290.0,287.0,283.0,False,MEDIUM,15.0,False,Audi,1,FP1
BOR,5,85.102,21.0,6.0,29.888,18.129,37.085,268.0,289.0,303.0,280.0,False,MEDIUM,16.0,False,Audi,1,FP1
HAD,6,84.147,4.0,1.0,29.713,18.115,36.319,241.0,285.0,284.0,290.0,True,MEDIUM,4.0,True,Red Bull Racing,1,FP1
HAD,6,140.85,5.0,1.0,50.576,35.534,54.74,132.0,103.0,275.0,237.0,False,MEDIUM,5.0,True,Red Bull Racing,1,FP1
HAD,6,82.9,6.0,1.0,29.366,17.872,35.662,241.0,285.0,290.0,294.0,True,MEDIUM,6.0,True,Red Bull Racing,1,FP1
HAD,6,81.888,8.0,1.0,28.927,17.756,35.205,245.0,286.0,287.0,301.0,True,MEDIUM,8.0,True,Red Bull Racing,1,FP1
HAD,6,81.46,11.0,2.0,28.729,17.724,35.007,247.0,284.0,290.0,300.0,True,MEDIUM,11.0,False,Red Bull Racing,1,FP1
HAD,6,81.087,14.0,3.0,28.621,17.62,34.846,249.0,286.0,282.0,297.0,True,SOFT,2.0,True,Red Bull Racing,1,FP1
HAD,6,85.276,19.0,5.0,30.126,18.312,36.838,240.0,298.0,293.0,281.0,False,MEDIUM,14.0,False,Red Bull Racing,1,FP1
HAD,6,85.702,20.0,5.0,29.787,18.32,37.595,241.0,299.0,299.0,289.0,False,MEDIUM,15.0,False,Red Bull Racing,1,FP1
HAD,6,84.879,21.0,5.0,29.92,18.096,36.863,244.0,304.0,294.0,298.0,False,MEDIUM,16.0,False,Red Bull Racing,1,FP1
HAD,6,85.112,22.0,5.0,29.838,18.077,37.197,245.0,306.0,301.0,293.0,False,MEDIUM,17.0,False,Red Bull Racing,1,FP1
GAS,10,88.397,3.0,1.0,31.852,18.425,38.12,250.0,297.0,281.0,249.0,True,MEDIUM,3.0,True,Alpine,1,FP1
GAS,10,106.631,4.0,1.0,36.49,23.071,47.07,224.0,262.0,292.0,213.0,False,MEDIUM,4.0,True,Alpine,1,FP1
GAS,10,86.13,5.0,1.0,30.342,18.762,37.026,259.0,260.0,284.0,287.0,True,MEDIUM,5.0,True,Alpine,1,FP1
GAS,10,122.577,6.0,1.0,42.684,29.71,50.183,189.0,209.0,316.0,216.0,False,MEDIUM,6.0,True,Alpine,1,FP1
GAS,10,85.477,7.0,1.0,29.657,19.182,36.638,258.0,263.0,282.0,298.0,True,MEDIUM,7.0,True,Alpine,1,FP1
GAS,10,121.103,8.0,1.0,43.045,25.192,52.866,151.0,243.0,286.0,212.0,False,MEDIUM,8.0,True,Alpine,1,FP1
GAS,10,104.567,9.0,1.0,37.816,21.448,45.303,247.0,293.0,267.0,296.0,False,MEDIUM,9.0,True,Alpine,1,FP1
GAS,10,85.499,10.0,1.0,29.721,18.81,36.968,266.0,261.0,289.0,276.0,False,MEDIUM,10.0,True,Alpine,1,FP1
GAS,10,115.639,15.0,3.0,40.546,26.105,48.988,126.0,240.0,281.0,293.0,False,SOFT,2.0,True,Alpine,1,FP1
GAS,10,85.386,16.0,3.0,29.79,18.89,36.706,260.0,260.0,286.0,299.0,True,SOFT,3.0,True,Alpine,1,FP1
GAS,10,123.201,17.0,3.0,46.002,25.377,51.822,207.0,270.0,277.0,261.0,False,SOFT,4.0,True,Alpine,1,FP1
GAS,10,105.499,18.0,3.0,39.65,23.203,42.646,190.0,248.0,315.0,290.0,False,SOFT,5.0,True,Alpine,1,FP1
GAS,10,84.794,19.0,3.0,29.331,18.946,36.517,270.0,262.0,280.0,313.0,True,SOFT,6.0,True,Alpine,1,FP1
GAS,10,120.222,20.0,3.0,46.557,25.794,47.871,186.0,222.0,289.0,217.0,False,SOFT,7.0,True,Alpine,1,FP1
GAS,10,84.271,24.0,3.0,29.577,18.452,36.242,268.0,258.0,295.0,290.0,True,SOFT,11.0,True,Alpine,1,FP1
GAS,10,118.898,25.0,3.0,44.031,27.122,47.745,128.0,218.0,286.0,241.0,False,SOFT,12.0,True,Alpine,1,FP1
GAS,10,84.035,26.0,3.0,28.982,18.597,36.456,284.0,262.0,295.0,311.0,True,SOFT,13.0,True,Alpine,1,FP1
PER,11,90.437,2.0,1.0,32.908,18.694,38.835,265.0,299.0,296.0,236.0,True,MEDIUM,2.0,True,Cadillac,1,FP1
PER,11,119.128,3.0,1.0,44.395,25.572,49.161,152.0,247.0,284.0,224.0,False,MEDIUM,3.0,True,Cadillac,1,FP1
PER,11,87.407,4.0,1.0,31.222,18.409,37.776,272.0,287.0,297.0,255.0,True,MEDIUM,4.0,True,Cadillac,1,FP1
PER,11,86.132,7.0,2.0,30.245,18.912,36.975,263.0,284.0,302.0,264.0,True,MEDIUM,7.0,False,Cadillac,1,FP1
PER,11,84.62,10.0,3.0,29.655,18.329,36.636,261.0,289.0,303.0,283.0,True,SOFT,2.0,True,Cadillac,1,FP1
PER,11,114.585,11.0,3.0,39.846,26.066,48.673,168.0,222.0,280.0,216.0,False,SOFT,3.0,True,Cadillac,12,FP1
ANT,12,84.363,3.0,2.0,29.885,18.27,36.208,261.0,270.0,285.0,278.0,True,MEDIUM,3.0,False,Mercedes,1,FP1
ANT,12,111.05,4.0,2.0,41.08,26.408,43.562,178.0,220.0,281.0,242.0,False,MEDIUM,4.0,False,Mercedes,1,FP1
ANT,12,82.812,5.0,2.0,29.042,18.425,35.345,271.0,261.0,300.0,293.0,True,MEDIUM,5.0,False,Mercedes,1,FP1
ANT,12,123.07,6.0,2.0,45.264,31.021,46.785,156.0,181.0,269.0,258.0,False,MEDIUM,6.0,False,Mercedes,1,FP1
ANT,12,82.495,7.0,2.0,28.996,18.059,35.44,274.0,268.0,280.0,281.0,True,MEDIUM,7.0,False,Mercedes,1,FP1
ANT,12,138.477,8.0,2.0,68.418,23.429,46.63,174.0,244.0,284.0,267.0,False,MEDIUM,8.0,False,Mercedes,1,FP1
ANT,12,106.772,12.0,4.0,40.598,23.113,43.061,216.0,255.0,277.0,272.0,False,SOFT,2.0,True,Mercedes,1,FP1
ANT,12,81.376,13.0,4.0,28.49,17.976,34.91,269.0,268.0,278.0,296.0,True,SOFT,3.0,True,Mercedes,1,FP1
ANT,12,84.991,18.0,5.0,29.707,18.703,36.581,262.0,257.0,278.0,270.0,False,MEDIUM,14.0,False,Mercedes,1,FP1
ANT,12,84.301,19.0,5.0,29.615,18.413,36.273,266.0,282.0,285.0,266.0,False,MEDIUM,15.0,False,Mercedes,1,FP1
ANT,12,84.181,20.0,5.0,29.284,18.647,36.25,270.0,279.0,277.0,275.0,False,MEDIUM,16.0,False,Mercedes,1,FP1
LEC,16,91.362,3.0,1.0,31.39,19.571,40.401,245.0,287.0,264.0,266.0,True,MEDIUM,3.0,True,Ferrari,1,FP1
LEC,16,84.176,4.0,1.0,29.548,18.134,36.494,275.0,288.0,316.0,261.0,True,MEDIUM,4.0,True,Ferrari,1,FP1
LEC,16,109.737,5.0,1.0,36.682,21.376,51.679,206.0,269.0,282.0,230.0,False,MEDIUM,5.0,True,Ferrari,1,FP1
LEC,16,82.322,6.0,1.0,28.993,17.919,35.41,242.0,295.0,302.0,285.0,True,MEDIUM,6.0,True,Ferrari,1,FP1
LEC,16,115.578,7.0,1.0,38.889,27.682,49.007,158.0,203.0,279.0,235.0,False,MEDIUM,7.0,True,Ferrari,1,FP1
LEC,16,82.08,8.0,1.0,28.793,17.819,35.468,242.0,295.0,300.0,285.0,True,MEDIUM,8.0,True,Ferrari,1,FP1
LEC,16,101.914,9.0,1.0,39.078,20.755,42.081,212.0,275.0,280.0,222.0,False,MEDIUM,9.0,True,Ferrari,1,FP1
LEC,16,81.635,10.0,1.0,28.346,17.985,35.304,281.0,280.0,303.0,286.0,True,MEDIUM,10.0,True,Ferrari,1,FP1
LEC,16,112.299,11.0,1.0,37.376,21.492,53.431,192.0,236.0,276.0,235.0,False,MEDIUM,11.0,True,Ferrari,1,FP1
LEC,16,99.296,12.0,1.0,30.038,19.985,49.273,246.0,280.0,278.0,287.0,False,MEDIUM,12.0,True,Ferrari,1,FP1
LEC,16,102.789,13.0,1.0,29.925,20.963,51.901,230.0,235.0,279.0,287.0,False,MEDIUM,13.0,True,Ferrari,1,FP1
LEC,16,81.227,14.0,1.0,28.512,17.632,35.083,247.0,296.0,309.0,287.0,True,MEDIUM,14.0,True,Ferrari,1,FP1
LEC,16,104.56,15.0,1.0,34.854,24.11,45.596,169.0,167.0,307.0,231.0,False,MEDIUM,15.0,True,Ferrari,1,FP1
LEC,16,80.829,18.0,2.0,28.375,17.627,34.827,248.0,295.0,298.0,286.0,True,SOFT,2.0,True,Ferrari,1,FP1
LEC,16,98.037,21.0,3.0,32.25,20.154,45.633,240.0,276.0,276.0,227.0,False,SOFT,5.0,False,Ferrari,1,FP1
LEC,16,80.96,22.0,3.0,28.278,17.749,34.933,251.0,289.0,303.0,285.0,False,SOFT,6.0,False,Ferrari,1,FP1
LEC,16,108.032,23.0,3.0,37.474,27.147,43.411,197.0,182.0,274.0,241.0,False,SOFT,7.0,False,Ferrari,1,FP1
LEC,16,93.586,26.0,4.0,28.937,19.961,44.688,245.0,277.0,281.0,290.0,False,SOFT,10.0,False,Ferrari,1,FP1
LEC,16,82.452,27.0,4.0,28.403,17.518,36.531,266.0,304.0,302.0,291.0,False,SOFT,11.0,False,Ferrari,1,FP1
LEC,16,103.175,28.0,4.0,32.869,20.504,49.802,221.0,269.0,283.0,280.0,False,SOFT,12.0,False,Ferrari,1,FP1
LEC,16,94.189,29.0,4.0,30.964,20.511,42.714,236.0,275.0,279.0,262.0,False,SOFT,13.0,False,Ferrari,1,FP1
LEC,16,80.267,30.0,4.0,28.205,17.472,34.59,247.0,302.0,309.0,289.0,True,SOFT,14.0,False,Ferrari,1,FP1
LEC,16,112.678,31.0,4.0,33.308,27.409,51.961,182.0,205.0,198.0,264.0,False,SOFT,15.0,False,Ferrari,1,FP1
