Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
RUS,63,79.84,2.0,1.0,27.99,17.599,34.251,265.0,278.0,294.0,292.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,93.246,6.0,3.0,31.116,23.1,39.03,267.0,281.0,274.0,248.0,False,SOFT,6.0,False,Mercedes,1,Q
RUS,63,79.507,7.0,3.0,27.908,17.413,34.186,266.0,282.0,301.0,296.0,True,SOFT,7.0,False,Mercedes,1,Q
RUS,63,78.934,10.0,4.0,27.816,17.287,33.831,273.0,285.0,301.0,294.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,78.987,13.0,5.0,27.662,17.426,33.899,268.0,280.0,297.0,294.0,False,SOFT,5.0,False,Mercedes,1,Q
RUS,63,79.084,18.0,7.0,27.674,17.488,33.922,269.0,274.0,298.0,293.0,True,SOFT,3.0,False,Mercedes,1,Q
RUS,63,78.518,21.0,8.0,27.498,17.284,33.736,267.0,284.0,296.0,296.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,80.12,2.0,1.0,28.214,17.61,34.296,264.0,273.0,292.0,279.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,108.494,3.0,1.0,35.026,24.129,49.339,207.0,234.0,263.0,259.0,False,SOFT,3.0,True,Mercedes,1,Q
ANT,12,80.289,4.0,1.0,28.414,17.745,34.13,261.0,273.0,292.0,282.0,False,SOFT,4.0,True,Mercedes,1,Q
ANT,12,79.604,7.0,2.0,27.908,17.495,34.201,273.0,278.0,299.0,294.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,79.435,10.0,3.0,28.002,17.497,33.936,279.0,285.0,292.0,286.0,True,SOFT,5.0,False,Mercedes,1,Q
ANT,12,78.811,17.0,6.0,27.556,17.44,33.815,272.0,274.0,298.0,289.0,True,SOFT,2.0,True,Mercedes,1,Q
