Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,1,84.906,5.0,3.0,29.609,18.321,36.976,262.0,265.0,276.0,282.0,True,MEDIUM,5.0,False,McLaren,1,FP1
NOR,1,84.391,6.0,3.0,29.862,18.361,36.168,264.0,289.0,286.0,233.0,True,MEDIUM,6.0,False,McLaren,1,FP1
VER,3,82.92,4.0,1.0,29.225,17.878,35.817,246.0,280.0,287.0,291.0,True,MEDIUM,4.0,True,Red Bull Racing,1,FP1
VER,3,82.305,6.0,1.0,29.148,17.841,35.316,246.0,282.0,284.0,282.0,True,MEDIUM,6.0,True,Red Bull Racing,1,FP1
VER,3,129.341,7.0,1.0,41.316,27.488,60.537,189.0,128.0,276.0,215.0,False,MEDIUM,7.0,True,Red Bull Racing,1,FP1
VER,3,97.97,8.0,1.0,33.394,23.27,41.306,207.0,235.0,278.0,294.0,False,MEDIUM,8.0,True,Red Bull Racing,1,FP1
VER,3,82.307,9.0,1.0,28.936,17.887,35.484,244.0,279.0,284.0,293.0,False,MEDIUM,9.0,True,Red Bull Racing,1,FP1
VER,3,81.403,12.0,2.0,28.648,17.806,34.949,245.0,280.0,287.0,296.0,True,MEDIUM,12.0,False,Red Bull Racing,1,FP1
VER,3,80.908,15.0,3.0,28.394,17.739,34.775,252.0,286.0,290.0,295.0,True,SOFT,2.0,True,Red Bull Racing,1,FP1
VER,3,80.789,18.0,4.0,28.362,17.673,34.754,250.0,288.0,293.0,296.0,True,SOFT,5.0,False,Red Bull Racing,1,FP1
VER,3,85.753,21.0,5.0,30.613,18.583,36.557,251.0,294.0,295.0,281.0,False,MEDIUM,15.0,False,Red Bull Racing,1,FP1
VER,3,84.846,22.0,5.0,29.728,18.556,36.562,245.0,295.0,302.0,287.0,False,MEDIUM,16.0,False,Red Bull Racing,1,FP1
VER,3,84.843,23.0,5.0,29.671,18.528,36.644,243.0,293.0,291.0,299.0,False,MEDIUM,17.0,False,Red Bull Racing,1,FP1
VER,3,84.894,24.0,5.0,29.991,18.272,36.631,243.0,297.0,290.0,283.0,False,MEDIUM,18.0,False,Red Bull Racing,1,FP1
VER,3,84.621,25.0,5.0,29.757,18.362,36.502,243.0,298.0,295.0,284.0,False,MEDIUM,19.0,False,Red Bull Racing,1,FP1
HAD,6,84.147,4.0,1.0,29.713,18.115,36.319,241.0,285.0,284.0,290.0,True,MEDIUM,4.0,True,Red Bull Racing,1,FP1
HAD,6,140.85,5.0,1.0,50.576,35.534,54.74,132.0,103.0,275.0,237.0,False,MEDIUM,5.0,True,Red Bull Racing,1,FP1
HAD,6,82.9,6.0,1.0,29.366,17.872,35.662,241.0,285.0,290.0,294.0,True,MEDIUM,6.0,True,Red Bull Racing,1,FP1
HAD,6,81.888,8.0,1.0,28.927,17.756,35.205,245.0,286.0,287.0,301.0,True,MEDIUM,8.0,True,Red Bull Racing,1,FP1
HAD,6,81.46,11.0,2.0,28.729,17.724,35.007,247.0,284.0,290.0,300.0,True,MEDIUM,11.0,False,Red Bull Racing,1,FP1
HAD,6,81.087,14.0,3.0,28.621,17.62,34.846,249.0,286.0,282.0,297.0,True,SOFT,2.0,True,Red Bull Racing,1,FP1
HAD,6,85.276,19.0,5.0,30.126,18.312,36.838,240.0,298.0,293.0,281.0,False,MEDIUM,14.0,False,Red Bull Racing,1,FP1
HAD,6,85.702,20.0,5.0,29.787,18.32,37.595,241.0,299.0,299.0,289.0,False,MEDIUM,15.0,False,Red Bull Racing,1,FP1
HAD,6,84.879,21.0,5.0,29.92,18.096,36.863,244.0,304.0,294.0,298.0,False,MEDIUM,16.0,False,Red Bull Racing,1,FP1
HAD,6,85.112,22.0,5.0,29.838,18.077,37.197,245.0,306.0,301.0,293.0,False,MEDIUM,17.0,False,Red Bull Racing,1,FP1
ANT,12,84.363,3.0,2.0,29.885,18.27,36.208,261.0,270.0,285.0,278.0,True,MEDIUM,3.0,False,Mercedes,1,FP1
ANT,12,111.05,4.0,2.0,41.08,26.408,43.562,178.0,220.0,281.0,242.0,False,MEDIUM,4.0,False,Mercedes,1,FP1
ANT,12,82.812,5.0,2.0,29.042,18.425,35.345,271.0,261.0,300.0,293.0,True,MEDIUM,5.0,False,Mercedes,1,FP1
ANT,12,123.07,6.0,2.0,45.264,31.021,46.785,156.0,181.0,269.0,258.0,False,MEDIUM,6.0,False,Mercedes,1,FP1
ANT,12,82.495,7.0,2.0,28.996,18.059,35.44,274.0,268.0,280.0,281.0,True,MEDIUM,7.0,False,Mercedes,1,FP1
ANT,12,138.477,8.0,2.0,68.418,23.429,46.63,174.0,244.0,284.0,267.0,False,MEDIUM,8.0,False,Mercedes,1,FP1
ANT,12,106.772,12.0,4.0,40.598,23.113,43.061,216.0,255.0,277.0,272.0,False,SOFT,2.0,True,Mercedes,1,FP1
ANT,12,81.376,13.0,4.0,28.49,17.976,34.91,269.0,268.0,278.0,296.0,True,SOFT,3.0,True,Mercedes,1,FP1
ANT,12,84.991,18.0,5.0,29.707,18.703,36.581,262.0,257.0,278.0,270.0,False,MEDIUM,14.0,False,Mercedes,1,FP1
ANT,12,84.301,19.0,5.0,29.615,18.413,36.273,266.0,282.0,285.0,266.0,False,MEDIUM,15.0,False,Mercedes,1,FP1
ANT,12,84.181,20.0,5.0,29.284,18.647,36.25,270.0,279.0,277.0,275.0,False,MEDIUM,16.0,False,Mercedes,1,FP1
LEC,16,91.362,3.0,1.0,31.39,19.571,40.401,245.0,287.0,264.0,266.0,True,MEDIUM,3.0,True,Ferrari,1,FP1
LEC,16,84.176,4.0,1.0,29.548,18.134,36.494,275.0,288.0,316.0,261.0,True,MEDIUM,4.0,True,Ferrari,1,FP1
LEC,16,109.737,5.0,1.0,36.682,21.376,51.679,206.0,269.0,282.0,230.0,False,MEDIUM,5.0,True,Ferrari,1,FP1
LEC,16,82.322,6.0,1.0,28.993,17.919,35.41,242.0,295.0,302.0,285.0,True,MEDIUM,6.0,True,Ferrari,1,FP1
LEC,16,115.578,7.0,1.0,38.889,27.682,49.007,158.0,203.0,279.0,235.0,False,MEDIUM,7.0,True,Ferrari,1,FP1
LEC,16,82.08,8.0,1.0,28.793,17.819,35.468,242.0,295.0,300.0,285.0,True,MEDIUM,8.0,True,Ferrari,1,FP1
LEC,16,101.914,9.0,1.0,39.078,20.755,42.081,212.0,275.0,280.0,222.0,False,MEDIUM,9.0,True,Ferrari,1,FP1
LEC,16,81.635,10.0,1.0,28.346,17.985,35.304,281.0,280.0,303.0,286.0,True,MEDIUM,10.0,True,Ferrari,1,FP1
LEC,16,112.299,11.0,1.0,37.376,21.492,53.431,192.0,236.0,276.0,235.0,False,MEDIUM,11.0,True,Ferrari,1,FP1
LEC,16,99.296,12.0,1.0,30.038,19.985,49.273,246.0,280.0,278.0,287.0,False,MEDIUM,12.0,True,Ferrari,1,FP1
LEC,16,102.789,13.0,1.0,29.925,20.963,51.901,230.0,235.0,279.0,287.0,False,MEDIUM,13.0,True,Ferrari,1,FP1
LEC,16,81.227,14.0,1.0,28.512,17.632,35.083,247.0,296.0,309.0,287.0,True,MEDIUM,14.0,True,Ferrari,1,FP1
LEC,16,104.56,15.0,1.0,34.854,24.11,45.596,169.0,167.0,307.0,231.0,False,MEDIUM,15.0,True,Ferrari,1,FP1
LEC,16,80.829,18.0,2.0,28.375,17.627,34.827,248.0,295.0,298.0,286.0,True,SOFT,2.0,True,Ferrari,1,FP1
LEC,16,98.037,21.0,3.0,32.25,20.154,45.633,240.0,276.0,276.0,227.0,False,SOFT,5.0,False,Ferrari,1,FP1
LEC,16,80.96,22.0,3.0,28.278,17.749,34.933,251.0,289.0,303.0,285.0,False,SOFT,6.0,False,Ferrari,1,FP1
LEC,16,108.032,23.0,3.0,37.474,27.147,43.411,197.0,182.0,274.0,241.0,False,SOFT,7.0,False,Ferrari,1,FP1
LEC,16,93.586,26.0,4.0,28.937,19.961,44.688,245.0,277.0,281.0,290.0,False,SOFT,10.0,False,Ferrari,1,FP1
LEC,16,82.452,27.0,4.0,28.403,17.518,36.531,266.0,304.0,302.0,291.0,False,SOFT,11.0,False,Ferrari,1,FP1
LEC,16,103.175,28.0,4.0,32.869,20.504,49.802,221.0,269.0,283.0,280.0,False,SOFT,12.0,False,Ferrari,1,FP1
LEC,16,94.189,29.0,4.0,30.964,20.511,42.714,236.0,275.0,279.0,262.0,False,SOFT,13.0,False,Ferrari,1,FP1
LEC,16,80.267,30.0,4.0,28.205,17.472,34.59,247.0,302.0,309.0,289.0,True,SOFT,14.0,False,Ferrari,1,FP1
LEC,16,112.678,31.0,4.0,33.308,27.409,51.961,182.0,205.0,198.0,264.0,False,SOFT,15.0,False,Ferrari,1,FP1
HAM,44,102.28,4.0,1.0,31.552,20.546,50.182,239.0,278.0,285.0,304.0,True,MEDIUM,4.0,True,Ferrari,1,FP1
HAM,44,83.813,5.0,1.0,29.243,18.135,36.435,237.0,288.0,283.0,309.0,True,MEDIUM,5.0,True,Ferrari,1,FP1
HAM,44,115.184,6.0,1.0,46.741,24.59,43.853,193.0,256.0,268.0,224.0,False,MEDIUM,6.0,True,Ferrari,1,FP1
HAM,44,83.032,7.0,1.0,29.27,17.997,35.765,241.0,291.0,298.0,277.0,True,MEDIUM,7.0,True,Ferrari,1,FP1
HAM,44,117.384,8.0,1.0,48.774,25.461,43.149,146.0,257.0,271.0,216.0,False,MEDIUM,8.0,True,Ferrari,1,FP1
HAM,44,82.692,9.0,1.0,28.936,17.957,35.799,241.0,292.0,301.0,279.0,True,MEDIUM,9.0,True,Ferrari,1,FP1
HAM,44,126.428,10.0,1.0,48.558,35.985,41.885,121.0,234.0,275.0,219.0,False,MEDIUM,10.0,True,Ferrari,1,FP1
HAM,44,81.966,11.0,1.0,28.825,17.834,35.307,244.0,292.0,299.0,280.0,True,MEDIUM,11.0,True,Ferrari,1,FP1
HAM,44,115.106,12.0,1.0,45.002,29.349,40.755,130.0,250.0,276.0,233.0,False,MEDIUM,12.0,True,Ferrari,1,FP1
HAM,44,81.698,13.0,1.0,28.646,17.642,35.41,250.0,302.0,312.0,281.0,True,MEDIUM,13.0,True,Ferrari,1,FP1
HAM,44,108.438,14.0,1.0,38.32,25.463,44.655,163.0,251.0,269.0,265.0,False,MEDIUM,14.0,True,Ferrari,1,FP1
HAM,44,105.147,15.0,1.0,29.73,22.826,52.591,233.0,223.0,280.0,278.0,False,MEDIUM,15.0,True,Ferrari,1,FP1
HAM,44,81.295,18.0,2.0,28.699,17.743,34.853,242.0,293.0,300.0,281.0,True,SOFT,2.0,True,Ferrari,1,FP1
HAM,44,128.01,19.0,2.0,50.376,34.987,42.647,107.0,203.0,276.0,229.0,False,SOFT,3.0,True,Ferrari,1,FP1
HAM,44,81.162,20.0,2.0,28.573,17.694,34.895,245.0,294.0,298.0,281.0,True,SOFT,4.0,True,Ferrari,1,FP1
HAM,44,148.892,21.0,2.0,56.899,41.814,50.179,92.0,120.0,280.0,206.0,False,SOFT,5.0,True,Ferrari,1,FP1
HAM,44,103.234,22.0,2.0,34.854,19.93,48.45,178.0,289.0,280.0,287.0,False,SOFT,6.0,True,Ferrari,1,FP1
HAM,44,80.736,23.0,2.0,28.448,17.607,34.681,246.0,299.0,307.0,288.0,True,SOFT,7.0,True,Ferrari,1,FP1
HAM,44,90.97,26.0,3.0,33.283,19.005,38.682,207.0,276.0,296.0,253.0,False,MEDIUM,18.0,False,Ferrari,1,FP1
HAM,44,83.446,27.0,3.0,29.203,17.861,36.382,270.0,295.0,293.0,289.0,False,MEDIUM,19.0,False,Ferrari,1,FP1
HAM,44,84.79,28.0,3.0,29.996,18.213,36.581,271.0,292.0,292.0,283.0,False,MEDIUM,20.0,False,Ferrari,1,FP1
RUS,63,86.483,3.0,1.0,30.317,18.527,37.639,245.0,287.0,279.0,280.0,True,MEDIUM,3.0,True,Mercedes,1,FP1
RUS,63,118.425,4.0,1.0,41.816,27.834,48.775,177.0,150.0,272.0,216.0,False,MEDIUM,4.0,True,Mercedes,1,FP1
RUS,63,85.178,5.0,1.0,30.154,18.325,36.699,248.0,283.0,290.0,281.0,True,MEDIUM,5.0,True,Mercedes,1,FP1
RUS,63,113.619,6.0,1.0,41.873,26.536,45.21,202.0,156.0,273.0,186.0,False,MEDIUM,6.0,True,Mercedes,1,FP1
RUS,63,83.878,7.0,1.0,29.405,18.28,36.193,259.0,267.0,287.0,290.0,True,MEDIUM,7.0,True,Mercedes,1,FP1
RUS,63,114.26,8.0,1.0,38.528,25.888,49.844,191.0,228.0,272.0,220.0,False,MEDIUM,8.0,True,Mercedes,1,FP1
RUS,63,82.706,9.0,1.0,28.924,18.142,35.64,277.0,264.0,293.0,295.0,True,MEDIUM,9.0,True,Mercedes,1,FP1
RUS,63,82.117,13.0,3.0,28.591,18.063,35.463,269.0,265.0,292.0,295.0,True,SOFT,2.0,True,Mercedes,1,FP1
RUS,63,81.371,16.0,4.0,28.517,17.87,34.984,271.0,271.0,297.0,299.0,True,SOFT,5.0,False,Mercedes,1,FP1
RUS,63,85.205,20.0,5.0,29.828,18.486,36.891,251.0,268.0,275.0,266.0,False,MEDIUM,14.0,False,Mercedes,1,FP1
RUS,63,84.43,21.0,5.0,29.53,18.506,36.394,275.0,268.0,287.0,262.0,False,MEDIUM,15.0,False,Mercedes,1,FP1
RUS,63,84.293,22.0,5.0,29.631,18.371,36.291,267.0,282.0,289.0,275.0,False,MEDIUM,16.0,False,Mercedes,1,FP1
PIA,81,94.777,2.0,1.0,33.636,20.497,40.644,249.0,284.0,271.0,207.0,True,MEDIUM,2.0,True,McLaren,1,FP1
