Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
NOR,4,92.248,2.0,1.0,24.618,27.789,39.841,281.0,275.0,271.0,330.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:57.349000,1,SQ
NOR,4,123.141,3.0,1.0,34.193,38.202,50.746,170.0,212.0,168.0,276.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:29.597000,1,SQ
NOR,4,125.901,4.0,1.0,38.528,35.518,51.855,200.0,239.0,271.0,308.0,False,MEDIUM,4.0,True,McLaren,0 days 00:20:32.738000,1,SQ
NOR,4,91.396,5.0,1.0,24.207,27.555,39.634,281.0,276.0,273.0,333.0,True,MEDIUM,5.0,True,McLaren,0 days 00:22:38.639000,1,SQ
NOR,4,91.174,8.0,2.0,24.278,27.499,39.397,279.0,275.0,271.0,330.0,True,MEDIUM,2.0,True,McLaren,0 days 00:33:56.277000,1,SQ
NOR,4,91.393,11.0,3.0,24.293,27.44,39.66,280.0,277.0,271.0,332.0,True,SOFT,2.0,True,McLaren,0 days 00:50:44.735000,1,SQ
NOR,4,128.283,12.0,3.0,37.923,39.061,51.299,155.0,188.0,274.0,265.0,False,SOFT,3.0,True,McLaren,0 days 00:52:16.128000,1,SQ
LEC,16,92.239,2.0,1.0,24.771,27.739,39.729,282.0,277.0,268.0,333.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:22.995000,1,SQ
LEC,16,91.518,5.0,2.0,24.511,27.601,39.406,282.0,277.0,270.0,335.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:23:30.315000,1,SQ
LEC,16,118.526,8.0,3.0,24.561,34.641,59.324,281.0,139.0,268.0,260.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:24.347000,1,SQ
LEC,16,92.102,9.0,3.0,24.542,27.672,39.888,282.0,278.0,270.0,334.0,True,MEDIUM,3.0,True,Ferrari,0 days 00:36:22.873000,1,SQ
