Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:17:06.163000,NOR,1,,1.0,1.0,0 days 00:14:58.051000,,,0 days 00:00:36.604000,0 days 00:00:50.656000,,0 days 00:16:15.687000,0 days 00:17:06.327000,252.0,243.0,227.0,282.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:58.051000,2026-03-13 03:30:53.244,1,,,,False,False,FP1
0 days 00:18:52.893000,NOR,1,0 days 00:01:46.730000,2.0,1.0,,,0 days 00:00:28.276000,0 days 00:00:32.957000,0 days 00:00:45.497000,0 days 00:17:34.439000,0 days 00:18:07.396000,0 days 00:18:52.893000,255.0,259.0,257.0,284.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:06.163000,2026-03-13 03:33:01.356,12,,,,False,True,FP1
0 days 00:20:30.435000,NOR,1,0 days 00:01:37.542000,3.0,1.0,,,0 days 00:00:25.762000,0 days 00:00:29.433000,0 days 00:00:42.347000,0 days 00:19:18.655000,0 days 00:19:48.088000,0 days 00:20:30.435000,275.0,267.0,244.0,312.0,True,MEDIUM,3.0,True,McLaren,0 days 00:18:52.893000,2026-03-13 03:34:48.086,1,,,,False,True,FP1
0 days 00:22:33.561000,NOR,1,0 days 00:02:03.126000,4.0,1.0,,0 days 00:22:31.721000,0 days 00:00:31.004000,0 days 00:00:36.784000,0 days 00:00:55.338000,0 days 00:21:01.439000,0 days 00:21:38.223000,0 days 00:22:33.561000,207.0,218.0,,293.0,False,MEDIUM,4.0,True,McLaren,0 days 00:20:30.435000,2026-03-13 03:36:25.628,1,,,,False,False,FP1
0 days 00:25:19.581000,NOR,1,,5.0,2.0,0 days 00:23:00.175000,,0 days 00:00:55.215000,0 days 00:00:46.507000,0 days 00:01:04.313000,0 days 00:23:29.021000,0 days 00:24:15.461000,0 days 00:25:19.709000,205.0,203.0,249.0,255.0,False,MEDIUM,5.0,False,McLaren,0 days 00:22:33.561000,2026-03-13 03:38:28.754,167,,,,False,False,FP1
0 days 00:27:07.675000,NOR,1,0 days 00:01:48.094000,6.0,2.0,,,0 days 00:00:27.416000,0 days 00:00:31.201000,0 days 00:00:49.477000,0 days 00:25:46.997000,0 days 00:26:18.198000,0 days 00:27:07.675000,254.0,148.0,257.0,292.0,False,MEDIUM,6.0,False,McLaren,0 days 00:25:19.581000,2026-03-13 03:41:14.774,1,,,,False,True,FP1
0 days 00:29:24.969000,NOR,1,0 days 00:02:17.294000,7.0,2.0,,,0 days 00:00:24.861000,0 days 00:00:30.153000,0 days 00:01:22.280000,0 days 00:27:32.536000,0 days 00:28:02.689000,0 days 00:29:24.969000,279.0,114.0,213.0,109.0,False,MEDIUM,7.0,False,McLaren,0 days 00:27:07.675000,2026-03-13 03:43:02.868,126,,,,False,False,FP1
0 days 00:31:26.851000,NOR,1,0 days 00:02:01.882000,8.0,2.0,,,0 days 00:00:30.039000,0 days 00:00:33.544000,0 days 00:00:58.299000,0 days 00:29:55.008000,0 days 00:30:28.552000,0 days 00:31:26.851000,239.0,233.0,243.0,207.0,False,MEDIUM,8.0,False,McLaren,0 days 00:29:24.969000,2026-03-13 03:45:20.162,6,,,,False,False,FP1
0 days 00:33:15.872000,NOR,1,0 days 00:01:49.021000,9.0,2.0,,,0 days 00:00:28.921000,0 days 00:00:30.812000,0 days 00:00:49.288000,0 days 00:31:55.772000,0 days 00:32:26.584000,0 days 00:33:15.872000,261.0,267.0,274.0,274.0,False,MEDIUM,9.0,False,McLaren,0 days 00:31:26.851000,2026-03-13 03:47:22.044,671,,,,False,False,FP1
0 days 00:34:51.444000,NOR,1,0 days 00:01:35.572000,10.0,2.0,,,0 days 00:00:24.857000,0 days 00:00:28.836000,0 days 00:00:41.879000,0 days 00:33:40.729000,0 days 00:34:09.565000,0 days 00:34:51.444000,279.0,274.0,245.0,306.0,True,MEDIUM,10.0,False,McLaren,0 days 00:33:15.872000,2026-03-13 03:49:11.065,1,,,,False,True,FP1
0 days 00:36:47.997000,NOR,1,0 days 00:01:56.553000,11.0,2.0,,,0 days 00:00:33.376000,0 days 00:00:33.525000,0 days 00:00:49.652000,0 days 00:35:24.820000,0 days 00:35:58.345000,0 days 00:36:47.997000,248.0,261.0,272.0,294.0,False,MEDIUM,11.0,False,McLaren,0 days 00:34:51.444000,2026-03-13 03:50:46.637,1,,,,False,True,FP1
0 days 00:38:42.398000,NOR,1,0 days 00:01:54.401000,12.0,2.0,,,0 days 00:00:32.952000,0 days 00:00:33.881000,0 days 00:00:47.568000,0 days 00:37:20.949000,0 days 00:37:54.830000,0 days 00:38:42.398000,266.0,255.0,271.0,293.0,False,MEDIUM,12.0,False,McLaren,0 days 00:36:47.997000,2026-03-13 03:52:43.190,1,,,,False,True,FP1
0 days 00:40:25.224000,NOR,1,0 days 00:01:42.826000,13.0,2.0,,0 days 00:40:23.382000,0 days 00:00:24.907000,0 days 00:00:28.862000,0 days 00:00:49.057000,0 days 00:39:07.305000,0 days 00:39:36.167000,0 days 00:40:25.224000,278.0,272.0,,305.0,False,MEDIUM,13.0,False,McLaren,0 days 00:38:42.398000,2026-03-13 03:54:37.591,1,,,,False,False,FP1
0 days 00:49:34.249000,NOR,1,,14.0,3.0,0 days 00:47:51.583000,,,0 days 00:00:31.036000,0 days 00:00:44.362000,,0 days 00:48:49.986000,0 days 00:49:34.377000,239.0,259.0,273.0,293.0,False,MEDIUM,14.0,False,McLaren,0 days 00:40:25.224000,2026-03-13 03:56:20.417,1,,,,False,False,FP1
0 days 00:51:13.131000,NOR,1,0 days 00:01:38.882000,15.0,3.0,,,0 days 00:00:25.427000,0 days 00:00:29.527000,0 days 00:00:43.928000,0 days 00:49:59.676000,0 days 00:50:29.203000,0 days 00:51:13.131000,275.0,260.0,269.0,300.0,False,MEDIUM,15.0,False,McLaren,0 days 00:49:34.249000,2026-03-13 04:05:29.442,1,,,,False,True,FP1
0 days 00:52:53.337000,NOR,1,0 days 00:01:40.206000,16.0,3.0,,,0 days 00:00:25.936000,0 days 00:00:29.962000,0 days 00:00:44.308000,0 days 00:51:39.067000,0 days 00:52:09.029000,0 days 00:52:53.337000,283.0,273.0,273.0,322.0,False,MEDIUM,16.0,False,McLaren,0 days 00:51:13.131000,2026-03-13 04:07:08.324,1,,,,False,True,FP1
0 days 00:54:31.084000,NOR,1,0 days 00:01:37.747000,17.0,3.0,,,0 days 00:00:25.665000,0 days 00:00:29.597000,0 days 00:00:42.485000,0 days 00:53:19.002000,0 days 00:53:48.599000,0 days 00:54:31.084000,277.0,263.0,273.0,311.0,False,MEDIUM,17.0,False,McLaren,0 days 00:52:53.337000,2026-03-13 04:08:48.530,1,,,,False,True,FP1
