Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
ANT,12,93.305,2.0,1.0,24.288,28.048,40.969,283.0,276.0,260.0,311.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,92.95,5.0,2.0,24.156,27.861,40.933,285.0,272.0,251.0,311.0,True,SOFT,5.0,False,Mercedes,1,Q
ANT,12,92.443,8.0,3.0,24.141,27.726,40.576,286.0,279.0,256.0,314.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,92.322,11.0,4.0,24.003,27.714,40.605,285.0,273.0,251.0,310.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,92.064,14.0,5.0,24.013,27.664,40.387,286.0,276.0,253.0,308.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,93.262,2.0,1.0,24.208,28.109,40.945,289.0,278.0,256.0,311.0,True,SOFT,2.0,True,Mercedes,1,Q
RUS,63,92.523,5.0,2.0,24.085,27.868,40.57,285.0,270.0,258.0,317.0,True,SOFT,5.0,False,Mercedes,1,Q
RUS,63,117.937,8.0,3.0,26.726,41.01,50.201,202.0,203.0,256.0,281.0,False,SOFT,2.0,True,Mercedes,12,Q
RUS,63,92.286,12.0,5.0,24.012,27.783,40.491,282.0,272.0,256.0,309.0,True,SOFT,2.0,True,Mercedes,1,Q
HAM,44,95.892,2.0,1.0,24.728,29.555,41.609,276.0,259.0,258.0,307.0,True,MEDIUM,7.0,False,Ferrari,1,Q
HAM,44,93.522,5.0,2.0,24.336,28.133,41.053,271.0,275.0,252.0,308.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,92.834,8.0,3.0,24.21,27.771,40.853,270.0,272.0,255.0,307.0,True,SOFT,5.0,False,Ferrari,1,Q
HAM,44,92.567,11.0,4.0,24.156,27.807,40.604,270.0,273.0,255.0,306.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,126.863,12.0,4.0,30.666,36.637,59.56,228.0,205.0,276.0,253.0,False,SOFT,3.0,True,Ferrari,1,Q
HAM,44,93.02,15.0,5.0,24.08,28.236,40.704,269.0,264.0,255.0,312.0,True,SOFT,2.0,True,Ferrari,1,Q
HAM,44,92.415,18.0,6.0,24.184,27.696,40.535,269.0,274.0,257.0,303.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,94.507,2.0,1.0,24.723,28.384,41.4,274.0,266.0,262.0,304.0,True,SOFT,11.0,False,Ferrari,1,Q
LEC,16,114.827,3.0,1.0,28.027,33.764,53.036,204.0,190.0,275.0,178.0,False,SOFT,12.0,False,Ferrari,1,Q
LEC,16,93.175,6.0,2.0,24.376,28.073,40.726,273.0,267.0,259.0,310.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,92.902,9.0,3.0,24.208,27.849,40.845,273.0,261.0,259.0,304.0,True,SOFT,5.0,False,Ferrari,1,Q
LEC,16,92.486,12.0,4.0,24.022,27.729,40.735,273.0,266.0,260.0,304.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,122.599,13.0,4.0,30.177,40.409,52.013,198.0,153.0,282.0,206.0,False,SOFT,3.0,True,Ferrari,1,Q
LEC,16,92.623,16.0,5.0,24.063,27.894,40.666,274.0,262.0,261.0,304.0,True,SOFT,2.0,True,Ferrari,1,Q
LEC,16,92.428,19.0,6.0,24.118,27.66,40.65,271.0,267.0,256.0,304.0,True,SOFT,2.0,True,Ferrari,1,Q
PIA,81,93.99,2.0,1.0,24.536,28.205,41.249,286.0,275.0,257.0,306.0,True,SOFT,10.0,False,McLaren,1,Q
PIA,81,93.59,5.0,2.0,24.378,28.224,40.988,284.0,275.0,259.0,310.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,93.364,8.0,3.0,24.429,27.978,40.957,280.0,275.0,258.0,309.0,True,SOFT,5.0,False,McLaren,1,Q
PIA,81,93.13,11.0,4.0,24.23,27.873,41.027,284.0,276.0,258.0,304.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,126.391,12.0,4.0,32.552,37.638,56.201,197.0,195.0,273.0,290.0,False,SOFT,3.0,True,McLaren,1,Q
PIA,81,93.254,13.0,4.0,24.222,28.024,41.008,282.0,275.0,257.0,307.0,False,SOFT,4.0,True,McLaren,12,Q
PIA,81,92.55,16.0,5.0,24.12,27.729,40.701,284.0,278.0,257.0,308.0,True,SOFT,2.0,True,McLaren,1,Q
PIA,81,92.568,19.0,6.0,24.274,27.801,40.493,282.0,276.0,258.0,307.0,False,SOFT,2.0,True,McLaren,1,Q
NOR,1,94.401,2.0,1.0,24.644,28.436,41.321,280.0,276.0,257.0,310.0,True,SOFT,11.0,False,McLaren,1,Q
NOR,1,93.535,5.0,2.0,24.314,28.156,41.065,282.0,274.0,255.0,309.0,True,SOFT,2.0,True,McLaren,1,Q
NOR,1,93.271,8.0,3.0,24.327,28.005,40.939,280.0,275.0,257.0,307.0,True,SOFT,5.0,False,McLaren,1,Q
NOR,1,93.024,11.0,4.0,24.308,27.9,40.816,282.0,275.0,257.0,305.0,True,SOFT,2.0,True,McLaren,1,Q
NOR,1,124.799,12.0,4.0,32.499,34.906,57.394,198.0,196.0,278.0,298.0,False,SOFT,3.0,True,McLaren,1,Q
NOR,1,92.91,13.0,4.0,24.209,27.912,40.789,282.0,276.0,257.0,308.0,True,SOFT,4.0,True,McLaren,12,Q
NOR,1,92.608,16.0,5.0,24.078,27.782,40.748,282.0,277.0,258.0,305.0,True,SOFT,2.0,True,McLaren,1,Q
NOR,1,92.631,19.0,6.0,23.995,27.747,40.889,280.0,277.0,256.0,302.0,False,SOFT,2.0,True,McLaren,1,Q
VER,3,94.49,2.0,1.0,24.826,28.407,41.257,283.0,278.0,265.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,1,Q
VER,3,134.212,3.0,1.0,37.785,38.381,58.046,134.0,241.0,276.0,156.0,False,MEDIUM,3.0,True,Red Bull Racing,1,Q
VER,3,94.454,4.0,1.0,24.785,28.445,41.224,283.0,275.0,263.0,309.0,True,MEDIUM,4.0,True,Red Bull Racing,1,Q
VER,3,93.417,7.0,2.0,24.413,28.391,40.613,285.0,277.0,261.0,313.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,3,93.179,10.0,3.0,24.325,28.095,40.759,281.0,274.0,263.0,312.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,3,93.098,13.0,4.0,24.28,28.065,40.753,283.0,279.0,262.0,312.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,3,93.334,16.0,5.0,24.497,28.137,40.7,285.0,272.0,262.0,317.0,True,SOFT,5.0,False,Red Bull Racing,1,Q
VER,3,93.002,19.0,6.0,24.359,27.975,40.668,283.0,278.0,262.0,310.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,94.519,2.0,1.0,24.816,28.593,41.11,287.0,283.0,268.0,315.0,True,MEDIUM,2.0,True,Red Bull Racing,1,Q
HAD,6,125.814,3.0,1.0,35.827,37.439,52.548,181.0,218.0,274.0,177.0,False,MEDIUM,3.0,True,Red Bull Racing,1,Q
HAD,6,94.396,4.0,1.0,24.83,28.45,41.116,285.0,284.0,264.0,314.0,True,MEDIUM,4.0,True,Red Bull Racing,1,Q
HAD,6,93.632,7.0,2.0,24.465,28.324,40.843,283.0,276.0,263.0,316.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.352,10.0,3.0,24.487,28.136,40.729,282.0,275.0,265.0,315.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.497,13.0,4.0,24.474,28.023,41.0,284.0,282.0,275.0,309.0,False,SOFT,2.0,True,Red Bull Racing,1,Q
HAD,6,93.354,16.0,5.0,24.488,28.196,40.67,284.0,276.0,260.0,316.0,True,SOFT,5.0,False,Red Bull Racing,1,Q
HAD,6,93.121,19.0,6.0,24.529,27.933,40.659,284.0,275.0,260.0,311.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
