Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
NOR,1,94.595,3.0,2.0,33.696,42.133,18.766,267.0,312.0,254.0,273.0,True,MEDIUM,3.0,False,McLaren,1,FP1
NOR,1,124.621,4.0,2.0,43.813,56.858,23.95,173.0,270.0,269.0,174.0,True,MEDIUM,4.0,False,McLaren,1,FP1
NOR,1,93.151,5.0,2.0,33.658,41.167,18.326,264.0,312.0,253.0,273.0,True,MEDIUM,5.0,False,McLaren,1,FP1
NOR,1,142.135,6.0,2.0,47.169,60.13,34.836,204.0,234.0,270.0,155.0,False,MEDIUM,6.0,False,McLaren,1,FP1
NOR,1,104.45,7.0,2.0,33.783,50.633,20.034,270.0,272.0,277.0,259.0,False,MEDIUM,7.0,False,McLaren,1,FP1
NOR,1,92.517,8.0,2.0,33.186,41.156,18.175,266.0,311.0,255.0,272.0,True,MEDIUM,8.0,False,McLaren,1,FP1
NOR,1,123.332,9.0,2.0,43.66,59.129,20.543,206.0,266.0,267.0,256.0,False,MEDIUM,9.0,False,McLaren,1,FP1
NOR,1,92.276,10.0,2.0,33.237,40.939,18.1,270.0,316.0,257.0,273.0,True,MEDIUM,10.0,False,McLaren,1,FP1
NOR,1,109.156,13.0,3.0,35.012,52.158,21.986,238.0,282.0,250.0,229.0,False,SOFT,2.0,True,McLaren,1,FP1
NOR,1,91.798,14.0,3.0,33.176,40.719,17.903,269.0,318.0,261.0,277.0,True,SOFT,3.0,True,McLaren,1,FP1
NOR,1,114.276,15.0,3.0,43.014,50.422,20.84,249.0,263.0,260.0,229.0,False,SOFT,4.0,True,McLaren,1,FP1
NOR,1,94.355,16.0,3.0,34.361,41.811,18.183,268.0,315.0,280.0,276.0,False,SOFT,5.0,True,McLaren,1,FP1
NOR,1,94.506,17.0,3.0,34.452,41.776,18.278,258.0,317.0,284.0,281.0,False,SOFT,6.0,True,McLaren,1,FP1
NOR,1,93.726,18.0,3.0,33.962,41.641,18.123,260.0,318.0,280.0,279.0,False,SOFT,7.0,True,McLaren,1,FP1
NOR,1,93.965,19.0,3.0,34.101,41.789,18.075,259.0,314.0,279.0,276.0,False,SOFT,8.0,True,McLaren,1,FP1
VER,3,94.089,2.0,1.0,34.236,41.805,18.048,269.0,337.0,270.0,290.0,True,MEDIUM,2.0,True,Red Bull Racing,1,FP1
VER,3,117.236,3.0,1.0,45.614,50.459,21.163,233.0,274.0,270.0,236.0,False,MEDIUM,3.0,True,Red Bull Racing,1,FP1
VER,3,93.362,4.0,1.0,33.611,41.768,17.983,270.0,331.0,261.0,287.0,True,MEDIUM,4.0,True,Red Bull Racing,1,FP1
VER,3,93.292,7.0,2.0,33.869,41.38,18.043,270.0,330.0,269.0,285.0,True,MEDIUM,7.0,False,Red Bull Racing,1,FP1
VER,3,92.457,10.0,3.0,33.292,41.096,18.069,272.0,322.0,268.0,279.0,True,SOFT,2.0,True,Red Bull Racing,1,FP1
VER,3,92.74,13.0,4.0,33.433,41.223,18.084,275.0,322.0,261.0,278.0,False,SOFT,5.0,False,Red Bull Racing,1,FP1
VER,3,96.602,16.0,5.0,35.186,43.048,18.368,260.0,311.0,277.0,274.0,False,MEDIUM,10.0,False,Red Bull Racing,1,FP1
VER,3,97.031,17.0,5.0,35.222,43.134,18.675,260.0,307.0,275.0,272.0,False,MEDIUM,11.0,False,Red Bull Racing,1,FP1
VER,3,96.614,18.0,5.0,35.232,42.89,18.492,259.0,310.0,276.0,273.0,False,MEDIUM,12.0,False,Red Bull Racing,1,FP1
VER,3,96.941,19.0,5.0,35.209,43.379,18.353,262.0,308.0,275.0,273.0,False,MEDIUM,13.0,False,Red Bull Racing,1,FP1
VER,3,96.447,20.0,5.0,35.362,42.812,18.273,262.0,313.0,275.0,277.0,False,MEDIUM,14.0,False,Red Bull Racing,1,FP1
VER,3,96.316,21.0,5.0,35.359,42.683,18.274,266.0,313.0,276.0,275.0,False,MEDIUM,15.0,False,Red Bull Racing,1,FP1
VER,3,97.698,22.0,5.0,35.339,43.774,18.585,262.0,317.0,273.0,277.0,False,MEDIUM,16.0,False,Red Bull Racing,1,FP1
VER,3,96.76,23.0,5.0,35.584,42.779,18.397,260.0,300.0,259.0,278.0,False,MEDIUM,17.0,False,Red Bull Racing,1,FP1
VER,3,96.839,24.0,5.0,35.758,42.697,18.384,262.0,313.0,278.0,276.0,False,MEDIUM,18.0,False,Red Bull Racing,1,FP1
VER,3,96.408,25.0,5.0,35.277,42.879,18.252,266.0,311.0,276.0,273.0,False,MEDIUM,19.0,False,Red Bull Racing,1,FP1
VER,3,119.414,26.0,5.0,43.939,47.226,28.249,198.0,254.0,86.0,219.0,False,MEDIUM,20.0,False,Red Bull Racing,1,FP1
