Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,91.941,2.0,1.0,31.583,34.614,25.744,214.0,191.0,259.0,311.0,True,HARD,2.0,True,McLaren,0 days 00:03:15.927000,1,FP1,52.8,29.9,49.1
NOR,1,90.688,4.0,1.0,31.012,34.167,25.509,213.0,190.0,260.0,309.0,True,HARD,4.0,True,McLaren,0 days 00:07:28.870000,1,FP1,52.8,29.9,49.1
NOR,1,90.849,6.0,1.0,31.215,34.219,25.415,217.0,190.0,258.0,307.0,False,HARD,6.0,True,McLaren,0 days 00:11:35.846000,12,FP1,52.8,29.9,49.1
NOR,1,90.335,8.0,1.0,30.899,34.075,25.361,213.0,191.0,260.0,308.0,True,HARD,8.0,True,McLaren,0 days 00:15:40.899000,1,FP1,53.9,29.9,49.6
NOR,1,118.827,11.0,2.0,35.871,49.791,33.165,133.0,101.0,263.0,272.0,False,HARD,11.0,False,McLaren,0 days 00:31:55.948000,1,FP1,53.9,29.9,49.6
NOR,1,125.5,12.0,2.0,37.505,46.289,41.706,165.0,100.0,264.0,228.0,False,HARD,12.0,False,McLaren,0 days 00:33:54.775000,1,FP1,53.9,29.9,49.6
NOR,1,90.208,13.0,2.0,30.905,33.873,25.43,215.0,191.0,258.0,315.0,True,HARD,13.0,False,McLaren,0 days 00:36:00.275000,1,FP1,53.9,29.9,49.6
NOR,1,135.248,14.0,2.0,50.586,53.554,31.108,128.0,122.0,267.0,271.0,False,HARD,14.0,False,McLaren,0 days 00:37:30.483000,1,FP1,54.3,30.0,49.2
NOR,1,92.427,15.0,2.0,30.684,34.007,27.736,216.0,190.0,240.0,312.0,False,HARD,15.0,False,McLaren,0 days 00:39:45.731000,1,FP1,54.3,30.0,49.2
NOR,1,93.245,18.0,3.0,31.98,35.104,26.161,210.0,185.0,268.0,303.0,False,HARD,18.0,False,McLaren,0 days 00:55:45.924000,1,FP1,54.3,30.0,49.2
NOR,1,94.26,19.0,3.0,32.401,35.132,26.727,210.0,183.0,268.0,299.0,False,HARD,19.0,False,McLaren,0 days 00:57:19.169000,1,FP1,54.3,30.0,49.2
NOR,1,94.628,20.0,3.0,32.915,35.545,26.168,206.0,184.0,263.0,311.0,False,HARD,20.0,False,McLaren,0 days 00:58:53.429000,1,FP1,54.3,30.0,49.2
NOR,1,94.9,21.0,3.0,32.763,35.712,26.425,210.0,183.0,276.0,303.0,False,HARD,21.0,False,McLaren,0 days 01:00:28.057000,1,FP1,53.2,30.2,49.8
NOR,1,94.117,22.0,3.0,32.698,35.278,26.141,210.0,183.0,270.0,308.0,False,HARD,22.0,False,McLaren,0 days 01:02:02.957000,1,FP1,53.2,30.2,49.8
NOR,1,94.125,23.0,3.0,32.729,35.302,26.094,209.0,182.0,273.0,308.0,False,HARD,23.0,False,McLaren,0 days 01:03:37.074000,1,FP1,53.2,30.2,49.8
NOR,1,94.397,24.0,3.0,32.751,35.476,26.17,209.0,183.0,268.0,307.0,False,HARD,24.0,False,McLaren,0 days 01:05:11.199000,1,FP1,53.2,30.2,49.8
NOR,1,94.691,25.0,3.0,32.931,35.528,26.232,207.0,183.0,273.0,309.0,False,HARD,25.0,False,McLaren,0 days 01:06:45.596000,1,FP1,53.2,30.2,49.8
NOR,1,94.439,28.0,4.0,30.478,33.896,30.065,216.0,191.0,155.0,323.0,False,SOFT,2.0,True,McLaren,0 days 01:21:47.729000,1,FP1,53.2,30.2,49.8
NOR,1,132.72,29.0,4.0,46.753,50.725,35.242,117.0,126.0,163.0,222.0,False,SOFT,3.0,True,McLaren,0 days 01:23:22.168000,1,FP1,53.2,30.2,49.8
NOR,1,125.686,30.0,4.0,45.295,49.368,31.023,141.0,128.0,266.0,259.0,False,SOFT,4.0,True,McLaren,0 days 01:25:34.888000,1,FP1,53.2,30.2,49.8
NOR,1,131.048,31.0,4.0,38.142,46.488,46.418,187.0,140.0,256.0,101.0,False,SOFT,5.0,True,McLaren,0 days 01:27:40.574000,1,FP1,53.0,30.3,49.3
NOR,1,90.309,32.0,4.0,31.419,33.738,25.152,218.0,192.0,257.0,314.0,False,SOFT,6.0,True,McLaren,0 days 01:29:51.622000,1,FP1,53.0,30.3,49.3
NOR,1,138.942,33.0,4.0,39.673,47.612,51.657,161.0,135.0,46.0,133.0,False,SOFT,7.0,True,McLaren,0 days 01:31:21.931000,12,FP1,53.0,30.3,49.3
VER,3,92.022,2.0,1.0,32.29,34.39,25.342,216.0,190.0,260.0,319.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:03:26.542000,1,FP1,53.0,30.3,49.3
VER,3,141.467,3.0,1.0,46.691,56.281,38.495,134.0,63.0,255.0,208.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:04:58.564000,1,FP1,53.0,30.3,49.3
VER,3,91.709,4.0,1.0,31.652,34.594,25.463,217.0,189.0,266.0,316.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:07:20.031000,1,FP1,53.0,30.3,49.3
VER,3,143.408,5.0,1.0,51.212,47.27,44.926,136.0,146.0,254.0,216.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:08:51.740000,1,FP1,51.3,30.3,48.2
VER,3,91.047,6.0,1.0,31.495,34.221,25.331,220.0,190.0,264.0,316.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:11:15.148000,1,FP1,51.3,30.3,48.2
VER,3,90.465,9.0,2.0,31.227,34.082,25.156,217.0,191.0,268.0,314.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:23:50.637000,1,FP1,51.3,30.3,48.2
