Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:03:15.927000,NOR,1,,1.0,1.0,0 days 00:01:18.191000,,,0 days 00:00:46.513000,0 days 00:00:34.939000,,0 days 00:02:42.303000,0 days 00:03:15.959000,188.0,96.0,262.0,140.0,False,HARD,1.0,True,McLaren,0 days 00:01:18.191000,2026-05-01 16:01:18.281,1,,,,False,False,FP1
0 days 00:04:47.868000,NOR,1,0 days 00:01:31.941000,2.0,1.0,,,0 days 00:00:31.583000,0 days 00:00:34.614000,0 days 00:00:25.744000,0 days 00:03:47.510000,0 days 00:04:22.124000,0 days 00:04:47.868000,214.0,191.0,259.0,311.0,True,HARD,2.0,True,McLaren,0 days 00:03:15.927000,2026-05-01 16:03:16.017,1,,,,False,True,FP1
0 days 00:07:28.870000,NOR,1,,3.0,1.0,,,0 days 00:00:50.099000,0 days 00:01:08.670000,0 days 00:00:42.351000,0 days 00:05:38.130000,0 days 00:06:46.840000,0 days 00:07:29.021000,136.0,60.0,261.0,86.0,False,HARD,3.0,True,McLaren,0 days 00:04:47.868000,2026-05-01 16:04:47.958,1,,,,False,False,FP1
0 days 00:08:59.558000,NOR,1,0 days 00:01:30.688000,4.0,1.0,,,0 days 00:00:31.012000,0 days 00:00:34.167000,0 days 00:00:25.509000,0 days 00:07:59.882000,0 days 00:08:34.049000,0 days 00:08:59.558000,213.0,190.0,260.0,309.0,True,HARD,4.0,True,McLaren,0 days 00:07:28.870000,2026-05-01 16:07:28.960,1,,,,False,True,FP1
0 days 00:11:35.846000,NOR,1,,5.0,1.0,,,0 days 00:00:53.365000,0 days 00:00:57.942000,0 days 00:00:44.859000,0 days 00:09:53.218000,0 days 00:10:51.102000,0 days 00:11:35.871000,127.0,87.0,246.0,230.0,False,HARD,5.0,True,McLaren,0 days 00:08:59.558000,2026-05-01 16:08:59.648,1,,,,False,False,FP1
0 days 00:13:06.695000,NOR,1,0 days 00:01:30.849000,6.0,1.0,,,0 days 00:00:31.215000,0 days 00:00:34.219000,0 days 00:00:25.415000,0 days 00:12:07.061000,0 days 00:12:41.280000,0 days 00:13:06.695000,217.0,190.0,258.0,307.0,False,HARD,6.0,True,McLaren,0 days 00:11:35.846000,2026-05-01 16:11:35.936,12,,,,False,True,FP1
0 days 00:15:40.899000,NOR,1,,7.0,1.0,,,0 days 00:00:49.367000,0 days 00:01:05.986000,0 days 00:00:38.889000,0 days 00:13:56.234000,0 days 00:15:02.221000,0 days 00:15:40.899000,124.0,83.0,262.0,257.0,False,HARD,7.0,True,McLaren,0 days 00:13:06.695000,2026-05-01 16:13:06.785,1,,,,False,False,FP1
0 days 00:17:11.234000,NOR,1,0 days 00:01:30.335000,8.0,1.0,,,0 days 00:00:30.899000,0 days 00:00:34.075000,0 days 00:00:25.361000,0 days 00:16:11.798000,0 days 00:16:45.873000,0 days 00:17:11.234000,213.0,191.0,260.0,308.0,True,HARD,8.0,True,McLaren,0 days 00:15:40.899000,2026-05-01 16:15:40.989,1,,,,False,True,FP1
0 days 00:19:06.498000,NOR,1,0 days 00:01:55.264000,9.0,1.0,,0 days 00:19:00.686000,0 days 00:00:36.736000,0 days 00:00:41.712000,0 days 00:00:36.816000,0 days 00:17:47.970000,0 days 00:18:29.682000,0 days 00:19:06.498000,186.0,154.0,,250.0,False,HARD,9.0,True,McLaren,0 days 00:17:11.234000,2026-05-01 16:17:11.324,1,,,,False,False,FP1
0 days 00:31:55.948000,NOR,1,,10.0,2.0,0 days 00:29:31.461000,,,0 days 00:00:42.904000,0 days 00:00:32.698000,,0 days 00:31:23.461000,0 days 00:31:56.069000,169.0,140.0,263.0,235.0,False,HARD,10.0,False,McLaren,0 days 00:19:06.498000,2026-05-01 16:19:06.588,1,,,,False,False,FP1
0 days 00:33:54.775000,NOR,1,0 days 00:01:58.827000,11.0,2.0,,,0 days 00:00:35.871000,0 days 00:00:49.791000,0 days 00:00:33.165000,0 days 00:32:31.819000,0 days 00:33:21.610000,0 days 00:33:54.775000,133.0,101.0,263.0,272.0,False,HARD,11.0,False,McLaren,0 days 00:31:55.948000,2026-05-01 16:31:56.038,1,,,,False,True,FP1
0 days 00:36:00.275000,NOR,1,0 days 00:02:05.500000,12.0,2.0,,,0 days 00:00:37.505000,0 days 00:00:46.289000,0 days 00:00:41.706000,0 days 00:34:32.280000,0 days 00:35:18.569000,0 days 00:36:00.275000,165.0,100.0,264.0,228.0,False,HARD,12.0,False,McLaren,0 days 00:33:54.775000,2026-05-01 16:33:54.865,1,,,,False,True,FP1
0 days 00:37:30.483000,NOR,1,0 days 00:01:30.208000,13.0,2.0,,,0 days 00:00:30.905000,0 days 00:00:33.873000,0 days 00:00:25.430000,0 days 00:36:31.180000,0 days 00:37:05.053000,0 days 00:37:30.483000,215.0,191.0,258.0,315.0,True,HARD,13.0,False,McLaren,0 days 00:36:00.275000,2026-05-01 16:36:00.365,1,,,,False,True,FP1
