Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
LEC,16,89.29,2.0,1.0,30.401,33.839,25.05,220.0,192.0,253.0,326.0,True,MEDIUM,2.0,True,Ferrari,12,SQ
LEC,16,120.735,3.0,1.0,42.075,44.329,34.331,165.0,136.0,167.0,172.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
LEC,16,123.388,4.0,1.0,45.733,47.413,30.242,164.0,129.0,249.0,259.0,False,MEDIUM,4.0,True,Ferrari,12,SQ
LEC,16,88.733,5.0,1.0,30.318,33.566,24.849,219.0,192.0,258.0,325.0,True,MEDIUM,5.0,True,Ferrari,1,SQ
LEC,16,88.47,8.0,2.0,29.935,33.771,24.764,222.0,194.0,259.0,323.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
LEC,16,123.164,9.0,2.0,42.229,44.501,36.434,173.0,141.0,128.0,170.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
LEC,16,125.751,10.0,2.0,49.524,45.934,30.293,167.0,136.0,248.0,262.0,False,MEDIUM,4.0,True,Ferrari,1,SQ
LEC,16,88.333,11.0,2.0,29.967,33.556,24.81,223.0,194.0,258.0,328.0,True,MEDIUM,5.0,True,Ferrari,1,SQ
LEC,16,88.239,14.0,3.0,29.674,33.761,24.804,223.0,193.0,260.0,325.0,True,SOFT,2.0,True,Ferrari,1,SQ
VER,3,89.801,2.0,1.0,30.88,33.922,24.999,224.0,193.0,259.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,21,SQ
VER,3,89.093,5.0,2.0,30.477,33.715,24.901,224.0,193.0,259.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
VER,3,121.497,6.0,2.0,44.315,46.319,30.863,153.0,99.0,259.0,280.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
VER,3,125.807,7.0,2.0,48.37,42.74,34.697,163.0,143.0,253.0,218.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
VER,3,89.192,8.0,2.0,30.593,33.637,24.962,224.0,193.0,257.0,327.0,False,MEDIUM,5.0,True,Red Bull Racing,1,SQ
VER,3,88.461,11.0,3.0,30.206,33.605,24.65,225.0,194.0,263.0,327.0,True,SOFT,2.0,True,Red Bull Racing,1,SQ
PIA,81,96.377,2.0,1.0,30.926,33.939,31.512,219.0,191.0,141.0,304.0,True,MEDIUM,2.0,True,McLaren,12,SQ
PIA,81,126.613,3.0,1.0,45.371,46.233,35.009,152.0,109.0,249.0,183.0,False,MEDIUM,3.0,True,McLaren,12,SQ
PIA,81,89.169,4.0,1.0,30.481,33.799,24.889,222.0,192.0,260.0,324.0,True,MEDIUM,4.0,True,McLaren,1,SQ
PIA,81,88.506,7.0,2.0,30.004,33.59,24.912,223.0,191.0,260.0,323.0,True,MEDIUM,2.0,True,McLaren,1,SQ
PIA,81,88.108,10.0,3.0,29.751,33.609,24.748,224.0,194.0,261.0,322.0,True,SOFT,2.0,True,McLaren,1,SQ
HAM,44,89.642,2.0,1.0,30.692,33.989,24.961,220.0,193.0,254.0,326.0,True,MEDIUM,2.0,True,Ferrari,12,SQ
HAM,44,122.77,3.0,1.0,42.39,43.969,36.411,171.0,131.0,142.0,209.0,False,MEDIUM,3.0,True,Ferrari,12,SQ
HAM,44,123.918,4.0,1.0,49.014,41.637,33.267,169.0,144.0,250.0,126.0,False,MEDIUM,4.0,True,Ferrari,1,SQ
HAM,44,89.255,5.0,1.0,30.512,33.833,24.91,220.0,192.0,266.0,325.0,True,MEDIUM,5.0,True,Ferrari,1,SQ
HAM,44,88.841,8.0,2.0,30.011,34.001,24.829,219.0,191.0,259.0,324.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
HAM,44,123.134,9.0,2.0,42.991,43.513,36.63,161.0,137.0,116.0,248.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
HAM,44,126.647,10.0,2.0,51.727,42.083,32.837,158.0,82.0,250.0,199.0,False,MEDIUM,4.0,True,Ferrari,1,SQ
HAM,44,89.101,11.0,2.0,30.284,33.978,24.839,219.0,191.0,258.0,327.0,False,MEDIUM,5.0,True,Ferrari,1,SQ
HAM,44,88.618,14.0,3.0,29.736,33.923,24.959,221.0,193.0,261.0,321.0,True,SOFT,2.0,True,Ferrari,1,SQ
ANT,12,89.312,2.0,1.0,30.537,33.702,25.073,221.0,189.0,265.0,324.0,True,MEDIUM,2.0,True,Mercedes,21,SQ
ANT,12,89.242,7.0,3.0,30.242,33.884,25.116,221.0,190.0,270.0,314.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
ANT,12,89.209,10.0,4.0,30.576,33.805,24.828,221.0,190.0,258.0,333.0,True,MEDIUM,5.0,False,Mercedes,1,SQ
ANT,12,88.091,13.0,5.0,29.959,33.409,24.723,224.0,191.0,268.0,310.0,True,SOFT,2.0,True,Mercedes,1,SQ
RUS,63,90.465,2.0,1.0,30.92,34.663,24.882,222.0,192.0,267.0,329.0,True,MEDIUM,2.0,True,Mercedes,12,SQ
RUS,63,89.659,5.0,2.0,30.694,34.145,24.82,222.0,190.0,270.0,325.0,True,MEDIUM,5.0,False,Mercedes,1,SQ
RUS,63,88.903,8.0,3.0,30.356,33.909,24.638,222.0,193.0,274.0,327.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,89.41,11.0,4.0,30.673,33.914,24.823,223.0,192.0,264.0,330.0,False,MEDIUM,5.0,False,Mercedes,1,SQ
RUS,63,88.493,14.0,5.0,30.234,33.541,24.718,222.0,193.0,268.0,333.0,True,SOFT,2.0,True,Mercedes,1,SQ
NOR,1,99.706,2.0,1.0,30.647,33.764,35.295,220.0,192.0,186.0,128.0,True,MEDIUM,2.0,True,McLaren,12,SQ
NOR,1,121.158,3.0,1.0,45.383,43.551,32.224,157.0,141.0,256.0,261.0,False,MEDIUM,3.0,True,McLaren,1,SQ
NOR,1,88.723,4.0,1.0,30.179,33.615,24.929,222.0,190.0,262.0,320.0,True,MEDIUM,4.0,True,McLaren,12,SQ
NOR,1,132.839,5.0,1.0,43.06,47.713,42.066,152.0,86.0,258.0,153.0,False,MEDIUM,5.0,True,McLaren,1,SQ
NOR,1,88.806,6.0,1.0,30.315,33.709,24.782,219.0,192.0,262.0,322.0,False,MEDIUM,6.0,True,McLaren,1,SQ
NOR,1,89.366,9.0,2.0,29.96,34.152,25.254,222.0,189.0,262.0,321.0,True,MEDIUM,2.0,True,McLaren,1,SQ
NOR,1,121.662,10.0,2.0,42.5,44.603,34.559,163.0,143.0,176.0,193.0,False,MEDIUM,3.0,True,McLaren,1,SQ
NOR,1,131.217,11.0,2.0,43.838,46.194,41.185,155.0,98.0,242.0,63.0,False,MEDIUM,4.0,True,McLaren,1,SQ
NOR,1,87.869,14.0,3.0,29.682,33.433,24.754,221.0,192.0,263.0,322.0,True,SOFT,2.0,True,McLaren,1,SQ
GAS,10,90.183,2.0,1.0,30.919,34.05,25.214,218.0,189.0,256.0,327.0,True,MEDIUM,2.0,True,Alpine,12,SQ
GAS,10,123.746,3.0,1.0,45.135,41.841,36.77,187.0,164.0,116.0,217.0,False,MEDIUM,3.0,True,Alpine,21,SQ
GAS,10,131.522,4.0,1.0,56.211,43.401,31.91,172.0,127.0,273.0,261.0,False,MEDIUM,4.0,True,Alpine,12,SQ
GAS,10,89.984,5.0,1.0,30.781,34.076,25.127,219.0,188.0,259.0,323.0,True,MEDIUM,5.0,True,Alpine,1,SQ
GAS,10,89.973,8.0,2.0,30.91,34.013,25.05,217.0,189.0,258.0,326.0,True,MEDIUM,2.0,True,Alpine,1,SQ
GAS,10,125.562,9.0,2.0,44.883,44.356,36.323,172.0,125.0,154.0,232.0,False,MEDIUM,3.0,True,Alpine,1,SQ
GAS,10,124.462,10.0,2.0,50.065,42.69,31.707,172.0,158.0,269.0,230.0,False,MEDIUM,4.0,True,Alpine,1,SQ
GAS,10,90.232,11.0,2.0,31.144,34.023,25.065,221.0,190.0,256.0,328.0,False,MEDIUM,5.0,True,Alpine,1,SQ
GAS,10,89.474,14.0,3.0,30.597,33.849,25.028,220.0,192.0,258.0,324.0,True,SOFT,8.0,False,Alpine,1,SQ
HAD,6,91.055,2.0,1.0,31.095,34.681,25.279,225.0,186.0,260.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,21,SQ
HAD,6,124.682,3.0,1.0,51.083,44.199,29.4,137.0,169.0,187.0,296.0,False,MEDIUM,3.0,True,Red Bull Racing,12,SQ
HAD,6,117.768,4.0,1.0,39.505,43.351,34.912,168.0,133.0,259.0,142.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
HAD,6,90.352,5.0,1.0,30.831,34.324,25.197,224.0,188.0,261.0,320.0,True,MEDIUM,5.0,True,Red Bull Racing,1,SQ
HAD,6,89.75,8.0,2.0,30.657,34.057,25.036,222.0,188.0,261.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
HAD,6,124.081,9.0,2.0,44.07,46.843,33.168,152.0,125.0,219.0,229.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
HAD,6,115.532,10.0,2.0,39.398,43.796,32.338,164.0,140.0,257.0,232.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
HAD,6,90.013,11.0,2.0,30.744,34.038,25.231,222.0,189.0,257.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,1,SQ
HAD,6,89.422,14.0,3.0,30.428,33.865,25.129,224.0,189.0,260.0,319.0,True,SOFT,2.0,True,Red Bull Racing,1,SQ
SAI,55,90.987,2.0,1.0,31.737,34.286,24.964,221.0,191.0,255.0,336.0,True,MEDIUM,2.0,True,Williams,21,SQ
SAI,55,124.529,3.0,1.0,47.191,45.95,31.388,163.0,154.0,237.0,253.0,False,MEDIUM,3.0,True,Williams,12,SQ
SAI,55,132.149,4.0,1.0,45.066,48.0,39.083,199.0,132.0,247.0,251.0,False,MEDIUM,4.0,True,Williams,1,SQ
SAI,55,91.094,5.0,1.0,31.809,34.291,24.994,221.0,187.0,255.0,329.0,False,MEDIUM,5.0,True,Williams,1,SQ
SAI,55,90.224,8.0,2.0,30.876,34.237,25.111,220.0,191.0,254.0,328.0,True,MEDIUM,2.0,True,Williams,1,SQ
SAI,55,125.016,9.0,2.0,44.356,47.282,33.378,151.0,128.0,213.0,238.0,False,MEDIUM,3.0,True,Williams,1,SQ
SAI,55,126.603,10.0,2.0,48.674,46.781,31.148,133.0,99.0,265.0,204.0,False,MEDIUM,4.0,True,Williams,1,SQ
SAI,55,90.262,11.0,2.0,31.023,34.171,25.068,222.0,188.0,255.0,328.0,False,MEDIUM,5.0,True,Williams,1,SQ
COL,43,96.665,2.0,1.0,31.027,34.324,31.314,217.0,189.0,178.0,303.0,True,MEDIUM,2.0,True,Alpine,12,SQ
COL,43,129.457,3.0,1.0,51.697,41.219,36.541,193.0,149.0,132.0,162.0,False,MEDIUM,3.0,True,Alpine,21,SQ
COL,43,124.407,4.0,1.0,50.187,43.118,31.102,175.0,159.0,270.0,256.0,False,MEDIUM,4.0,True,Alpine,12,SQ
COL,43,90.386,5.0,1.0,30.814,34.613,24.959,220.0,191.0,262.0,327.0,True,MEDIUM,5.0,True,Alpine,1,SQ
COL,43,89.527,8.0,2.0,30.609,34.057,24.861,221.0,191.0,258.0,328.0,True,MEDIUM,2.0,True,Alpine,1,SQ
COL,43,127.707,9.0,2.0,45.051,45.91,36.746,165.0,127.0,133.0,278.0,False,MEDIUM,3.0,True,Alpine,1,SQ
COL,43,126.662,10.0,2.0,51.718,43.32,31.624,183.0,153.0,266.0,229.0,False,MEDIUM,4.0,True,Alpine,1,SQ
COL,43,90.16,11.0,2.0,30.865,34.133,25.162,222.0,188.0,255.0,326.0,False,MEDIUM,5.0,True,Alpine,1,SQ
COL,43,89.32,14.0,3.0,30.408,34.008,24.904,220.0,191.0,263.0,326.0,True,SOFT,7.0,False,Alpine,1,SQ
ALB,23,91.322,2.0,1.0,31.961,34.12,25.241,217.0,190.0,254.0,331.0,True,MEDIUM,2.0,True,Williams,1,SQ
ALB,23,133.006,3.0,1.0,52.789,47.015,33.202,151.0,142.0,223.0,186.0,False,MEDIUM,3.0,True,Williams,12,SQ
ALB,23,128.427,4.0,1.0,43.98,46.681,37.766,144.0,137.0,255.0,102.0,False,MEDIUM,4.0,True,Williams,1,SQ
ALB,23,90.988,5.0,1.0,31.707,34.299,24.982,219.0,191.0,259.0,330.0,True,MEDIUM,5.0,True,Williams,1,SQ
ALB,23,90.216,8.0,2.0,30.974,34.078,25.164,221.0,190.0,256.0,326.0,True,MEDIUM,2.0,True,Williams,1,SQ
ALB,23,126.197,9.0,2.0,47.993,45.616,32.588,171.0,137.0,172.0,250.0,False,MEDIUM,3.0,True,Williams,1,SQ
ALB,23,129.425,10.0,2.0,54.346,45.928,29.151,134.0,106.0,249.0,261.0,False,MEDIUM,4.0,True,Williams,1,SQ
ALB,23,91.003,11.0,2.0,31.588,34.13,25.285,214.0,190.0,252.0,326.0,False,MEDIUM,5.0,True,Williams,1,SQ
BEA,87,90.843,2.0,1.0,31.393,34.423,25.027,222.0,191.0,261.0,324.0,True,MEDIUM,2.0,True,Haas F1 Team,12,SQ
BEA,87,90.614,5.0,2.0,31.317,34.062,25.235,221.0,191.0,259.0,322.0,True,MEDIUM,4.0,False,Haas F1 Team,1,SQ
BEA,87,90.116,8.0,3.0,30.899,34.194,25.023,220.0,191.0,258.0,325.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
BOR,5,90.725,2.0,1.0,31.213,33.986,25.526,222.0,190.0,253.0,322.0,True,MEDIUM,2.0,True,Audi,1,SQ
BOR,5,124.418,3.0,1.0,47.352,43.68,33.386,142.0,157.0,219.0,180.0,False,MEDIUM,3.0,True,Audi,12,SQ
BOR,5,139.939,4.0,1.0,41.432,50.591,47.916,198.0,84.0,266.0,144.0,False,MEDIUM,4.0,True,Audi,1,SQ
BOR,5,90.561,5.0,1.0,31.254,33.971,25.336,220.0,189.0,256.0,319.0,True,MEDIUM,5.0,True,Audi,1,SQ
BOR,5,89.994,8.0,2.0,30.848,33.871,25.275,223.0,191.0,260.0,319.0,True,MEDIUM,2.0,True,Audi,1,SQ
BOR,5,90.46,11.0,3.0,30.976,33.946,25.538,217.0,189.0,252.0,321.0,False,MEDIUM,5.0,False,Audi,1,SQ
HUL,27,91.204,2.0,1.0,31.311,34.61,25.283,222.0,190.0,255.0,319.0,True,MEDIUM,2.0,True,Audi,21,SQ
HUL,27,119.596,3.0,1.0,45.793,42.604,31.199,155.0,174.0,228.0,257.0,False,MEDIUM,3.0,True,Audi,12,SQ
HUL,27,122.599,4.0,1.0,41.232,44.633,36.734,176.0,107.0,264.0,261.0,False,MEDIUM,4.0,True,Audi,1,SQ
HUL,27,90.27,5.0,1.0,30.915,34.062,25.293,222.0,189.0,258.0,318.0,True,MEDIUM,5.0,True,Audi,1,SQ
HUL,27,90.019,8.0,2.0,30.688,34.06,25.271,224.0,191.0,257.0,318.0,True,MEDIUM,2.0,True,Audi,1,SQ
HUL,27,90.613,11.0,3.0,30.939,34.337,25.337,223.0,186.0,254.0,319.0,False,MEDIUM,5.0,False,Audi,1,SQ
OCO,31,91.258,2.0,1.0,31.509,34.397,25.352,220.0,190.0,253.0,320.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
OCO,31,91.245,5.0,2.0,31.684,34.279,25.282,220.0,189.0,256.0,320.0,True,MEDIUM,5.0,False,Haas F1 Team,1,SQ
LAW,30,91.043,4.0,2.0,31.339,34.444,25.26,223.0,190.0,263.0,318.0,True,MEDIUM,3.0,False,Racing Bulls,1,SQ
PER,11,91.255,2.0,1.0,31.535,34.589,25.131,220.0,191.0,266.0,318.0,True,MEDIUM,2.0,True,Cadillac,12,SQ
ALO,14,101.311,2.0,1.0,31.856,34.856,34.599,211.0,186.0,229.0,280.0,True,MEDIUM,2.0,True,Aston Martin,12,SQ
ALO,14,123.159,3.0,1.0,42.276,42.586,38.297,105.0,159.0,243.0,140.0,False,MEDIUM,3.0,True,Aston Martin,21,SQ
ALO,14,92.49,4.0,1.0,31.762,35.157,25.571,210.0,186.0,251.0,308.0,False,MEDIUM,4.0,True,Aston Martin,12,SQ
ALO,14,131.963,5.0,1.0,48.147,44.447,39.369,179.0,111.0,246.0,159.0,False,MEDIUM,5.0,True,Aston Martin,1,SQ
BOT,77,92.317,2.0,1.0,31.979,34.846,25.492,218.0,189.0,265.0,311.0,True,MEDIUM,2.0,True,Cadillac,1,SQ
BOT,77,91.826,5.0,2.0,31.541,34.801,25.484,218.0,187.0,251.0,319.0,True,MEDIUM,5.0,False,Cadillac,1,SQ
LIN,41,97.819,2.0,1.0,31.534,34.578,31.707,219.0,190.0,251.0,229.0,True,MEDIUM,2.0,True,Racing Bulls,12,SQ
LIN,41,90.872,5.0,2.0,31.238,34.3,25.334,222.0,191.0,266.0,317.0,True,MEDIUM,5.0,False,Racing Bulls,1,SQ
LIN,41,90.573,8.0,3.0,31.118,34.308,25.147,221.0,190.0,256.0,320.0,True,MEDIUM,2.0,True,Racing Bulls,1,SQ
STR,18,129.082,2.0,1.0,32.282,34.87,61.93,215.0,186.0,212.0,307.0,True,MEDIUM,2.0,True,Aston Martin,12,SQ
