Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
RUS,63,72.574,2.0,1.0,20.341,22.887,29.346,259.0,282.0,296.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 00:16:48.957000,1,Q
RUS,63,72.366,5.0,2.0,20.492,22.782,29.092,261.0,283.0,297.0,329.0,True,SOFT,5.0,False,Mercedes,0 days 00:22:15.476000,1,Q
RUS,63,72.075,8.0,3.0,20.236,22.665,29.174,264.0,284.0,295.0,329.0,True,SOFT,2.0,True,Mercedes,0 days 00:37:19.202000,1,Q
RUS,63,71.96,11.0,4.0,20.153,22.77,29.037,263.0,282.0,294.0,327.0,True,SOFT,5.0,False,Mercedes,0 days 00:52:49.412000,1,Q
RUS,63,71.57,14.0,5.0,20.078,22.484,29.008,263.0,284.0,294.0,328.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:59:28.535000,1,Q
RUS,63,71.516,17.0,6.0,20.079,22.542,28.895,263.0,282.0,295.0,327.0,True,SOFT,2.0,True,Mercedes,0 days 01:13:48.552000,1,Q
RUS,63,70.899,20.0,7.0,19.781,22.281,28.837,264.0,283.0,296.0,329.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:20:32.057000,1,Q
VER,1,72.273,2.0,1.0,20.299,22.825,29.149,259.0,283.0,298.0,331.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:22:10.394000,1,Q
VER,1,72.054,5.0,2.0,20.189,22.798,29.067,259.0,286.0,297.0,336.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:38:52.556000,1,Q
VER,1,71.638,8.0,3.0,19.835,22.743,29.06,262.0,281.0,297.0,330.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:48:09.920000,1,Q
VER,1,94.404,9.0,3.0,29.568,29.831,35.005,157.0,229.0,297.0,252.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:49:21.558000,1,Q
VER,1,71.644,10.0,3.0,20.011,22.713,28.92,262.0,283.0,296.0,331.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:50:55.962000,1,Q
VER,1,75.945,13.0,4.0,19.936,22.588,33.421,262.0,283.0,167.0,331.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:58:29.011000,1,Q
VER,1,71.248,16.0,5.0,19.768,22.531,28.949,263.0,281.0,298.0,330.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:12:16.509000,1,Q
VER,1,71.059,19.0,6.0,19.718,22.4,28.941,263.0,285.0,297.0,332.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:20:23.455000,1,Q
PIA,81,72.332,2.0,1.0,20.353,22.706,29.273,263.0,282.0,296.0,331.0,True,SOFT,2.0,True,McLaren,0 days 00:19:22.375000,1,Q
PIA,81,115.936,3.0,1.0,28.534,34.456,52.946,137.0,239.0,297.0,97.0,False,SOFT,3.0,True,McLaren,0 days 00:20:34.707000,1,Q
PIA,81,71.939,6.0,2.0,20.171,22.762,29.006,262.0,284.0,299.0,331.0,True,SOFT,6.0,False,McLaren,0 days 00:35:15.139000,1,Q
PIA,81,97.878,7.0,2.0,30.068,33.214,34.596,183.0,175.0,298.0,294.0,False,SOFT,7.0,False,McLaren,0 days 00:36:27.078000,1,Q
PIA,81,75.946,8.0,2.0,20.212,22.876,32.858,262.0,285.0,243.0,257.0,False,SOFT,8.0,False,McLaren,0 days 00:38:04.956000,1,Q
PIA,81,71.715,11.0,3.0,19.981,22.685,29.049,263.0,281.0,295.0,329.0,True,SOFT,2.0,True,McLaren,0 days 00:48:31.374000,1,Q
PIA,81,71.796,14.0,4.0,20.202,22.67,28.924,263.0,281.0,295.0,329.0,False,SOFT,5.0,False,McLaren,0 days 01:00:17.848000,1,Q
PIA,81,71.273,17.0,5.0,19.995,22.48,28.798,264.0,282.0,298.0,330.0,True,SOFT,2.0,True,McLaren,0 days 01:11:42.100000,1,Q
PIA,81,99.273,18.0,5.0,29.427,30.164,39.682,193.0,211.0,298.0,226.0,False,SOFT,3.0,True,McLaren,0 days 01:12:53.373000,1,Q
PIA,81,71.617,19.0,5.0,20.103,22.631,28.883,263.0,282.0,299.0,329.0,False,SOFT,4.0,True,McLaren,0 days 01:14:32.646000,1,Q
PIA,81,71.12,22.0,6.0,19.888,22.517,28.715,263.0,283.0,295.0,329.0,True,SOFT,2.0,True,McLaren,0 days 01:20:04.154000,1,Q
ANT,12,72.634,2.0,1.0,20.554,22.908,29.172,259.0,282.0,294.0,327.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:17:02.392000,1,Q
ANT,12,72.587,5.0,2.0,20.483,22.871,29.233,261.0,283.0,294.0,329.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:21:47.085000,1,Q
