Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,82.647,2.0,1.0,23.288,24.633,34.726,244.0,281.0,217.0,308.0,True,HARD,2.0,True,McLaren,0 days 00:18:15.052000,1,FP1,37.6,15.8,28.4
NOR,1,95.018,3.0,1.0,26.239,26.675,42.104,228.0,251.0,262.0,243.0,True,HARD,3.0,True,McLaren,0 days 00:19:37.699000,1,FP1,37.6,15.8,28.4
NOR,1,90.603,8.0,3.0,23.596,25.129,41.878,239.0,287.0,241.0,208.0,False,HARD,8.0,False,McLaren,0 days 00:35:21.436000,1,FP1,37.6,15.8,28.4
NOR,1,77.459,9.0,3.0,22.148,24.413,30.898,234.0,280.0,261.0,304.0,True,HARD,9.0,False,McLaren,0 days 00:36:52.039000,1,FP1,37.6,15.8,28.4
NOR,1,89.974,10.0,3.0,24.3,26.446,39.228,234.0,260.0,250.0,177.0,False,HARD,10.0,False,McLaren,0 days 00:38:09.498000,1,FP1,37.6,15.8,28.4
NOR,1,76.453,11.0,3.0,21.725,24.503,30.225,241.0,276.0,264.0,304.0,True,HARD,11.0,False,McLaren,0 days 00:39:39.472000,1,FP1,37.6,15.8,28.4
NOR,1,84.792,14.0,4.0,23.424,25.996,35.372,229.0,259.0,267.0,240.0,False,HARD,14.0,False,McLaren,0 days 00:58:44.715000,1,FP1,37.7,15.8,29.9
NOR,1,82.073,15.0,4.0,22.885,24.384,34.804,229.0,280.0,249.0,235.0,False,HARD,15.0,False,McLaren,0 days 01:00:09.507000,1,FP1,37.7,15.8,29.9
NOR,1,75.784,16.0,4.0,21.845,23.997,29.942,240.0,280.0,272.0,311.0,True,HARD,16.0,False,McLaren,0 days 01:01:31.580000,1,FP1,37.7,15.8,29.9
NOR,1,91.527,17.0,4.0,24.514,29.347,37.666,181.0,228.0,269.0,256.0,False,HARD,17.0,False,McLaren,0 days 01:02:47.364000,1,FP1,37.7,15.8,29.9
