Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
ANT,12,87.534,2.0,1.0,23.552,28.981,35.001,229.0,242.0,273.0,250.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
ANT,12,74.01,3.0,1.0,21.241,23.499,29.27,248.0,289.0,275.0,319.0,True,MEDIUM,3.0,True,Mercedes,1,SQ
ANT,12,90.859,4.0,1.0,27.477,26.118,37.264,222.0,252.0,274.0,237.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
ANT,12,92.65,5.0,1.0,23.204,26.961,42.485,190.0,239.0,270.0,141.0,False,MEDIUM,5.0,True,Mercedes,1,SQ
ANT,12,88.373,8.0,2.0,22.811,25.855,39.707,238.0,240.0,279.0,248.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
ANT,12,73.551,9.0,2.0,20.895,23.303,29.353,248.0,291.0,277.0,319.0,True,MEDIUM,3.0,True,Mercedes,1,SQ
ANT,12,100.117,10.0,2.0,27.495,31.822,40.8,155.0,229.0,275.0,222.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
ANT,12,73.5,13.0,3.0,21.08,23.207,29.213,247.0,287.0,276.0,319.0,True,SOFT,2.0,True,Mercedes,1,SQ
ANT,12,102.718,14.0,3.0,24.305,37.549,40.864,222.0,102.0,272.0,244.0,False,SOFT,3.0,True,Mercedes,1,SQ
ANT,12,73.033,15.0,3.0,20.899,23.194,28.94,248.0,288.0,276.0,320.0,True,SOFT,4.0,True,Mercedes,1,SQ
RUS,63,74.772,2.0,1.0,21.507,23.567,29.698,245.0,289.0,277.0,321.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,91.66,3.0,1.0,24.776,28.736,38.148,220.0,248.0,271.0,251.0,False,MEDIUM,3.0,True,Mercedes,1,SQ
RUS,63,78.246,4.0,1.0,21.279,23.446,33.521,246.0,288.0,192.0,320.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
RUS,63,100.999,5.0,1.0,32.141,28.843,40.015,186.0,242.0,270.0,166.0,False,MEDIUM,5.0,True,Mercedes,1,SQ
RUS,63,87.058,8.0,2.0,22.723,26.206,38.129,236.0,232.0,272.0,249.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,73.466,9.0,2.0,20.909,23.374,29.183,247.0,288.0,276.0,320.0,True,MEDIUM,3.0,True,Mercedes,1,SQ
RUS,63,96.189,10.0,2.0,25.594,31.107,39.488,219.0,156.0,271.0,250.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
RUS,63,91.88,11.0,2.0,23.577,29.46,38.843,193.0,242.0,272.0,247.0,False,MEDIUM,5.0,True,Mercedes,1,SQ
RUS,63,73.026,12.0,2.0,20.768,23.195,29.063,249.0,288.0,275.0,321.0,True,MEDIUM,6.0,True,Mercedes,1,SQ
RUS,63,92.741,15.0,3.0,22.519,26.418,43.804,234.0,241.0,274.0,126.0,True,SOFT,2.0,True,Mercedes,1,SQ
RUS,63,73.194,16.0,3.0,20.753,23.097,29.344,250.0,288.0,276.0,321.0,True,SOFT,3.0,True,Mercedes,1,SQ
RUS,63,102.092,17.0,3.0,27.157,32.042,42.893,215.0,225.0,272.0,245.0,False,SOFT,4.0,True,Mercedes,1,SQ
