Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,80.851,2.0,1.0,22.281,37.562,21.008,180.0,188.0,259.0,276.0,True,HARD,2.0,True,McLaren,0 days 00:17:03.884000,1,FP1,29.6,23.1,63.3
NOR,1,80.322,3.0,1.0,20.782,37.194,22.346,182.0,179.0,257.0,276.0,True,HARD,3.0,True,McLaren,0 days 00:18:24.735000,1,FP1,29.6,23.1,63.3
NOR,1,77.18,4.0,1.0,20.228,36.423,20.529,195.0,194.0,261.0,277.0,True,HARD,4.0,True,McLaren,0 days 00:19:45.057000,1,FP1,29.6,23.1,63.3
NOR,1,97.787,5.0,1.0,23.701,46.003,28.083,182.0,156.0,253.0,238.0,False,HARD,5.0,True,McLaren,0 days 00:21:02.237000,1,FP1,29.6,23.1,63.3
NOR,1,78.984,6.0,1.0,20.464,36.387,22.133,189.0,177.0,256.0,278.0,False,HARD,6.0,True,McLaren,0 days 00:22:40.024000,1,FP1,29.6,23.1,63.3
NOR,1,79.513,7.0,1.0,20.201,37.075,22.237,199.0,195.0,259.0,277.0,False,HARD,7.0,True,McLaren,0 days 00:23:59.008000,1,FP1,29.6,23.1,63.3
NOR,1,76.487,8.0,1.0,20.022,35.828,20.637,202.0,195.0,259.0,278.0,True,HARD,8.0,True,McLaren,0 days 00:25:18.521000,1,FP1,29.6,23.1,63.3
NOR,1,84.034,9.0,1.0,20.999,39.832,23.203,168.0,160.0,260.0,265.0,False,HARD,9.0,True,McLaren,0 days 00:26:35.008000,1,FP1,29.6,23.1,63.3
NOR,1,76.016,10.0,1.0,20.052,35.722,20.242,200.0,197.0,260.0,278.0,True,HARD,10.0,True,McLaren,0 days 00:27:59.042000,1,FP1,29.6,23.1,63.3
NOR,1,79.153,13.0,2.0,20.03,35.872,23.251,194.0,178.0,260.0,276.0,False,MEDIUM,2.0,True,McLaren,0 days 00:45:20.409000,1,FP1,29.6,23.1,63.3
NOR,1,77.476,14.0,2.0,19.777,35.477,22.222,206.0,198.0,258.0,275.0,False,MEDIUM,3.0,True,McLaren,0 days 00:46:39.562000,1,FP1,29.6,23.1,63.3
NOR,1,81.391,17.0,3.0,21.561,36.884,22.946,182.0,192.0,258.0,278.0,False,MEDIUM,6.0,False,McLaren,0 days 01:00:25.772000,1,FP1,29.6,23.1,63.3
NOR,1,81.316,18.0,3.0,20.176,36.231,24.909,184.0,181.0,253.0,278.0,False,MEDIUM,7.0,False,McLaren,0 days 01:01:47.163000,1,FP1,29.3,23.6,63.5
NOR,1,81.718,19.0,3.0,20.597,36.165,24.956,195.0,171.0,255.0,278.0,False,MEDIUM,8.0,False,McLaren,0 days 01:03:08.479000,1,FP1,29.3,23.6,63.5
NOR,1,75.291,20.0,3.0,19.804,35.327,20.16,206.0,197.0,255.0,278.0,True,MEDIUM,9.0,False,McLaren,0 days 01:04:30.197000,1,FP1,29.3,23.6,63.5
NOR,1,85.873,21.0,3.0,21.869,41.888,22.116,180.0,172.0,258.0,232.0,False,MEDIUM,10.0,False,McLaren,0 days 01:05:45.488000,12,FP1,29.3,23.6,63.5
NOR,1,75.392,22.0,3.0,19.702,35.518,20.172,206.0,197.0,260.0,279.0,False,MEDIUM,11.0,False,McLaren,0 days 01:07:11.361000,1,FP1,29.3,23.6,63.5
NOR,1,90.914,23.0,3.0,25.646,41.747,23.521,117.0,156.0,261.0,246.0,False,MEDIUM,12.0,False,McLaren,0 days 01:08:26.753000,12,FP1,29.3,23.6,63.5
NOR,1,129.629,26.0,4.0,25.338,40.071,64.22,151.0,157.0,104.0,261.0,False,HARD,13.0,False,McLaren,0 days 01:15:10.464000,1,FP1,29.3,23.6,63.5
GAS,10,83.153,2.0,1.0,22.509,38.63,22.014,162.0,177.0,245.0,266.0,True,HARD,2.0,True,Alpine,0 days 00:17:36.851000,1,FP1,29.3,23.6,63.5
GAS,10,80.387,3.0,1.0,21.174,37.667,21.546,174.0,183.0,253.0,267.0,True,HARD,3.0,True,Alpine,0 days 00:19:00.004000,1,FP1,29.3,23.6,63.5
GAS,10,79.489,4.0,1.0,20.73,37.153,21.606,181.0,182.0,246.0,271.0,True,HARD,4.0,True,Alpine,0 days 00:20:20.391000,1,FP1,29.3,23.6,63.5
GAS,10,78.683,5.0,1.0,20.563,36.836,21.284,187.0,178.0,247.0,269.0,True,HARD,5.0,True,Alpine,0 days 00:21:39.880000,1,FP1,29.5,23.1,64.3
GAS,10,99.572,6.0,1.0,25.091,42.96,31.521,143.0,109.0,240.0,259.0,False,HARD,6.0,True,Alpine,0 days 00:22:58.563000,1,FP1,29.5,23.1,64.3
GAS,10,78.1,7.0,1.0,20.848,36.452,20.8,184.0,186.0,257.0,280.0,True,HARD,7.0,True,Alpine,0 days 00:24:38.135000,1,FP1,29.5,23.1,64.3
GAS,10,77.336,8.0,1.0,20.218,36.402,20.716,190.0,187.0,258.0,279.0,True,HARD,8.0,True,Alpine,0 days 00:25:56.235000,1,FP1,29.5,23.1,64.3
GAS,10,100.844,9.0,1.0,26.989,47.718,26.137,158.0,117.0,245.0,240.0,False,HARD,9.0,True,Alpine,0 days 00:27:13.571000,1,FP1,29.5,23.1,64.3
