Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:17:03.884000,NOR,1,0 days 00:01:49.930000,1.0,1.0,0 days 00:15:15.282000,,0 days 00:00:31.507000,0 days 00:00:41.713000,0 days 00:00:36.710000,0 days 00:15:45.635000,0 days 00:16:27.450000,0 days 00:17:03.955000,142.0,171.0,234.0,235.0,False,HARD,1.0,True,McLaren,0 days 00:15:15.282000,2026-06-05 11:31:15.408,12,,,,False,False,FP1
0 days 00:18:24.735000,NOR,1,0 days 00:01:20.851000,2.0,1.0,,,0 days 00:00:22.281000,0 days 00:00:37.562000,0 days 00:00:21.008000,0 days 00:17:26.165000,0 days 00:18:03.727000,0 days 00:18:24.735000,180.0,188.0,259.0,276.0,True,HARD,2.0,True,McLaren,0 days 00:17:03.884000,2026-06-05 11:33:04.010,1,,,,False,True,FP1
0 days 00:19:45.057000,NOR,1,0 days 00:01:20.322000,3.0,1.0,,,0 days 00:00:20.782000,0 days 00:00:37.194000,0 days 00:00:22.346000,0 days 00:18:45.517000,0 days 00:19:22.711000,0 days 00:19:45.057000,182.0,179.0,257.0,276.0,True,HARD,3.0,True,McLaren,0 days 00:18:24.735000,2026-06-05 11:34:24.861,1,,,,False,True,FP1
0 days 00:21:02.237000,NOR,1,0 days 00:01:17.180000,4.0,1.0,,,0 days 00:00:20.228000,0 days 00:00:36.423000,0 days 00:00:20.529000,0 days 00:20:05.285000,0 days 00:20:41.708000,0 days 00:21:02.237000,195.0,194.0,261.0,277.0,True,HARD,4.0,True,McLaren,0 days 00:19:45.057000,2026-06-05 11:35:45.183,1,,,,False,True,FP1
0 days 00:22:40.024000,NOR,1,0 days 00:01:37.787000,5.0,1.0,,,0 days 00:00:23.701000,0 days 00:00:46.003000,0 days 00:00:28.083000,0 days 00:21:25.938000,0 days 00:22:11.941000,0 days 00:22:40.024000,182.0,156.0,253.0,238.0,False,HARD,5.0,True,McLaren,0 days 00:21:02.237000,2026-06-05 11:37:02.363,1,,,,False,True,FP1
0 days 00:23:59.008000,NOR,1,0 days 00:01:18.984000,6.0,1.0,,,0 days 00:00:20.464000,0 days 00:00:36.387000,0 days 00:00:22.133000,0 days 00:23:00.488000,0 days 00:23:36.875000,0 days 00:23:59.008000,189.0,177.0,256.0,278.0,False,HARD,6.0,True,McLaren,0 days 00:22:40.024000,2026-06-05 11:38:40.150,1,,,,False,True,FP1
0 days 00:25:18.521000,NOR,1,0 days 00:01:19.513000,7.0,1.0,,,0 days 00:00:20.201000,0 days 00:00:37.075000,0 days 00:00:22.237000,0 days 00:24:19.209000,0 days 00:24:56.284000,0 days 00:25:18.521000,199.0,195.0,259.0,277.0,False,HARD,7.0,True,McLaren,0 days 00:23:59.008000,2026-06-05 11:39:59.134,1,,,,False,True,FP1
0 days 00:26:35.008000,NOR,1,0 days 00:01:16.487000,8.0,1.0,,,0 days 00:00:20.022000,0 days 00:00:35.828000,0 days 00:00:20.637000,0 days 00:25:38.543000,0 days 00:26:14.371000,0 days 00:26:35.008000,202.0,195.0,259.0,278.0,True,HARD,8.0,True,McLaren,0 days 00:25:18.521000,2026-06-05 11:41:18.647,1,,,,False,True,FP1
0 days 00:27:59.042000,NOR,1,0 days 00:01:24.034000,9.0,1.0,,,0 days 00:00:20.999000,0 days 00:00:39.832000,0 days 00:00:23.203000,0 days 00:26:56.007000,0 days 00:27:35.839000,0 days 00:27:59.042000,168.0,160.0,260.0,265.0,False,HARD,9.0,True,McLaren,0 days 00:26:35.008000,2026-06-05 11:42:35.134,1,,,,False,True,FP1
0 days 00:29:15.058000,NOR,1,0 days 00:01:16.016000,10.0,1.0,,,0 days 00:00:20.052000,0 days 00:00:35.722000,0 days 00:00:20.242000,0 days 00:28:19.094000,0 days 00:28:54.816000,0 days 00:29:15.058000,200.0,197.0,260.0,278.0,True,HARD,10.0,True,McLaren,0 days 00:27:59.042000,2026-06-05 11:43:59.168,1,,,,False,True,FP1
0 days 00:43:51.144000,NOR,1,,11.0,1.0,,0 days 00:30:35.434000,0 days 00:00:22.765000,0 days 00:00:41.858000,,0 days 00:29:38.129000,0 days 00:30:19.942000,,138.0,168.0,,237.0,False,HARD,11.0,True,McLaren,0 days 00:29:15.058000,2026-06-05 11:45:15.184,1267,,,,False,False,FP1
0 days 00:45:20.409000,NOR,1,0 days 00:01:29.265000,12.0,2.0,0 days 00:43:51.694000,,0 days 00:00:26.441000,0 days 00:00:39.579000,0 days 00:00:23.245000,0 days 00:44:17.585000,0 days 00:44:57.164000,0 days 00:45:20.409000,161.0,181.0,259.0,232.0,False,MEDIUM,1.0,True,McLaren,0 days 00:43:51.144000,2026-06-05 11:59:51.270,71,,,,False,False,FP1
0 days 00:46:39.562000,NOR,1,0 days 00:01:19.153000,13.0,2.0,,,0 days 00:00:20.030000,0 days 00:00:35.872000,0 days 00:00:23.251000,0 days 00:45:40.439000,0 days 00:46:16.311000,0 days 00:46:39.562000,194.0,178.0,260.0,276.0,False,MEDIUM,2.0,True,McLaren,0 days 00:45:20.409000,2026-06-05 12:01:20.535,1,,,,False,True,FP1
0 days 00:47:57.038000,NOR,1,0 days 00:01:17.476000,14.0,2.0,,,0 days 00:00:19.777000,0 days 00:00:35.477000,0 days 00:00:22.222000,0 days 00:46:59.339000,0 days 00:47:34.816000,0 days 00:47:57.038000,206.0,198.0,258.0,275.0,False,MEDIUM,3.0,True,McLaren,0 days 00:46:39.562000,2026-06-05 12:02:39.688,1,,,,False,True,FP1
0 days 00:58:42.881000,NOR,1,,15.0,2.0,,0 days 00:51:09.373000,0 days 00:00:19.856000,0 days 00:00:45.389000,,0 days 00:48:16.938000,0 days 00:49:02.455000,,209.0,140.0,,234.0,False,MEDIUM,4.0,True,McLaren,0 days 00:47:57.038000,2026-06-05 12:03:57.164,125,,,,False,False,FP1
0 days 01:00:25.772000,NOR,1,0 days 00:01:42.891000,16.0,3.0,0 days 00:58:43.823000,,0 days 00:00:28.527000,0 days 00:00:43.180000,0 days 00:00:31.184000,0 days 00:59:11.408000,0 days 00:59:54.588000,0 days 01:00:25.772000,122.0,179.0,247.0,227.0,False,MEDIUM,5.0,False,McLaren,0 days 00:58:43.823000,2026-06-05 12:14:43.949,1,,,,False,False,FP1
0 days 01:01:47.163000,NOR,1,0 days 00:01:21.391000,17.0,3.0,,,0 days 00:00:21.561000,0 days 00:00:36.884000,0 days 00:00:22.946000,0 days 01:00:47.333000,0 days 01:01:24.217000,0 days 01:01:47.163000,182.0,192.0,258.0,278.0,False,MEDIUM,6.0,False,McLaren,0 days 01:00:25.772000,2026-06-05 12:16:25.898,1,,,,False,True,FP1
0 days 01:03:08.479000,NOR,1,0 days 00:01:21.316000,18.0,3.0,,,0 days 00:00:20.176000,0 days 00:00:36.231000,0 days 00:00:24.909000,0 days 01:02:07.339000,0 days 01:02:43.570000,0 days 01:03:08.479000,184.0,181.0,253.0,278.0,False,MEDIUM,7.0,False,McLaren,0 days 01:01:47.163000,2026-06-05 12:17:47.289,1,,,,False,True,FP1
0 days 01:04:30.197000,NOR,1,0 days 00:01:21.718000,19.0,3.0,,,0 days 00:00:20.597000,0 days 00:00:36.165000,0 days 00:00:24.956000,0 days 01:03:29.076000,0 days 01:04:05.241000,0 days 01:04:30.197000,195.0,171.0,255.0,278.0,False,MEDIUM,8.0,False,McLaren,0 days 01:03:08.479000,2026-06-05 12:19:08.605,1,,,,False,True,FP1
0 days 01:05:45.488000,NOR,1,0 days 00:01:15.291000,20.0,3.0,,,0 days 00:00:19.804000,0 days 00:00:35.327000,0 days 00:00:20.160000,0 days 01:04:50.001000,0 days 01:05:25.328000,0 days 01:05:45.488000,206.0,197.0,255.0,278.0,True,MEDIUM,9.0,False,McLaren,0 days 01:04:30.197000,2026-06-05 12:20:30.323,1,,,,False,True,FP1
0 days 01:07:11.361000,NOR,1,0 days 00:01:25.873000,21.0,3.0,,,0 days 00:00:21.869000,0 days 00:00:41.888000,0 days 00:00:22.116000,0 days 01:06:07.357000,0 days 01:06:49.245000,0 days 01:07:11.361000,180.0,172.0,258.0,232.0,False,MEDIUM,10.0,False,McLaren,0 days 01:05:45.488000,2026-06-05 12:21:45.614,12,,,,False,True,FP1
0 days 01:08:26.753000,NOR,1,0 days 00:01:15.392000,22.0,3.0,,,0 days 00:00:19.702000,0 days 00:00:35.518000,0 days 00:00:20.172000,0 days 01:07:31.063000,0 days 01:08:06.581000,0 days 01:08:26.753000,206.0,197.0,260.0,279.0,False,MEDIUM,11.0,False,McLaren,0 days 01:07:11.361000,2026-06-05 12:23:11.487,1,,,,False,True,FP1
0 days 01:09:57.667000,NOR,1,0 days 00:01:30.914000,23.0,3.0,,,0 days 00:00:25.646000,0 days 00:00:41.747000,0 days 00:00:23.521000,0 days 01:08:52.399000,0 days 01:09:34.146000,0 days 01:09:57.667000,117.0,156.0,261.0,246.0,False,MEDIUM,12.0,False,McLaren,0 days 01:08:26.753000,2026-06-05 12:24:26.879,12,,,,False,True,FP1
0 days 01:13:27.770000,NOR,1,,24.0,3.0,,0 days 01:11:31.996000,0 days 00:00:19.789000,,,0 days 01:10:17.663000,,,204.0,,,,False,MEDIUM,13.0,False,McLaren,0 days 01:09:57.667000,2026-06-05 12:25:57.793,215,,,,False,False,FP1
0 days 01:15:10.464000,NOR,1,0 days 00:01:42.694000,25.0,4.0,0 days 01:13:29.075000,,0 days 00:00:34.940000,0 days 00:00:42.851000,0 days 00:00:24.903000,0 days 01:14:02.710000,0 days 01:14:45.561000,0 days 01:15:10.464000,146.0,152.0,194.0,224.0,False,HARD,12.0,False,McLaren,0 days 01:13:29.075000,2026-06-05 12:29:29.201,1,,,,False,False,FP1
0 days 01:17:20.093000,NOR,1,0 days 00:02:09.629000,26.0,4.0,,,0 days 00:00:25.338000,0 days 00:00:40.071000,0 days 00:01:04.220000,0 days 01:15:35.802000,0 days 01:16:15.873000,0 days 01:17:20.093000,151.0,157.0,104.0,261.0,False,HARD,13.0,False,McLaren,0 days 01:15:10.464000,2026-06-05 12:31:10.590,1,,,,False,True,FP1
0 days 01:18:44.709000,NOR,1,,27.0,4.0,,0 days 01:18:44.709000,0 days 00:00:25.617000,0 days 00:00:42.054000,,0 days 01:17:45.819000,0 days 01:18:27.993000,,132.0,158.0,,239.0,False,HARD,14.0,False,McLaren,0 days 01:17:20.093000,2026-06-05 12:33:20.219,12,,,,False,False,FP1
0 days 00:17:36.851000,GAS,10,0 days 00:01:38.098000,1.0,1.0,0 days 00:15:59.645000,,0 days 00:00:29.806000,0 days 00:00:43.869000,0 days 00:00:24.423000,0 days 00:16:28.845000,0 days 00:17:12.679000,0 days 00:17:37.045000,134.0,154.0,242.0,254.0,False,HARD,1.0,True,Alpine,0 days 00:15:59.645000,2026-06-05 11:31:59.771,1,,,,False,False,FP1
0 days 00:19:00.004000,GAS,10,0 days 00:01:23.153000,2.0,1.0,,,0 days 00:00:22.509000,0 days 00:00:38.630000,0 days 00:00:22.014000,0 days 00:17:59.360000,0 days 00:18:37.990000,0 days 00:19:00.004000,162.0,177.0,245.0,266.0,True,HARD,2.0,True,Alpine,0 days 00:17:36.851000,2026-06-05 11:33:36.977,1,,,,False,True,FP1
0 days 00:20:20.391000,GAS,10,0 days 00:01:20.387000,3.0,1.0,,,0 days 00:00:21.174000,0 days 00:00:37.667000,0 days 00:00:21.546000,0 days 00:19:21.178000,0 days 00:19:58.845000,0 days 00:20:20.391000,174.0,183.0,253.0,267.0,True,HARD,3.0,True,Alpine,0 days 00:19:00.004000,2026-06-05 11:35:00.130,1,,,,False,True,FP1
0 days 00:21:39.880000,GAS,10,0 days 00:01:19.489000,4.0,1.0,,,0 days 00:00:20.730000,0 days 00:00:37.153000,0 days 00:00:21.606000,0 days 00:20:41.121000,0 days 00:21:18.274000,0 days 00:21:39.880000,181.0,182.0,246.0,271.0,True,HARD,4.0,True,Alpine,0 days 00:20:20.391000,2026-06-05 11:36:20.517,1,,,,False,True,FP1
0 days 00:22:58.563000,GAS,10,0 days 00:01:18.683000,5.0,1.0,,,0 days 00:00:20.563000,0 days 00:00:36.836000,0 days 00:00:21.284000,0 days 00:22:00.443000,0 days 00:22:37.279000,0 days 00:22:58.563000,187.0,178.0,247.0,269.0,True,HARD,5.0,True,Alpine,0 days 00:21:39.880000,2026-06-05 11:37:40.006,1,,,,False,True,FP1
0 days 00:24:38.135000,GAS,10,0 days 00:01:39.572000,6.0,1.0,,,0 days 00:00:25.091000,0 days 00:00:42.960000,0 days 00:00:31.521000,0 days 00:23:23.654000,0 days 00:24:06.614000,0 days 00:24:38.135000,143.0,109.0,240.0,259.0,False,HARD,6.0,True,Alpine,0 days 00:22:58.563000,2026-06-05 11:38:58.689,1,,,,False,True,FP1
0 days 00:25:56.235000,GAS,10,0 days 00:01:18.100000,7.0,1.0,,,0 days 00:00:20.848000,0 days 00:00:36.452000,0 days 00:00:20.800000,0 days 00:24:58.983000,0 days 00:25:35.435000,0 days 00:25:56.235000,184.0,186.0,257.0,280.0,True,HARD,7.0,True,Alpine,0 days 00:24:38.135000,2026-06-05 11:40:38.261,1,,,,False,True,FP1
0 days 00:27:13.571000,GAS,10,0 days 00:01:17.336000,8.0,1.0,,,0 days 00:00:20.218000,0 days 00:00:36.402000,0 days 00:00:20.716000,0 days 00:26:16.453000,0 days 00:26:52.855000,0 days 00:27:13.571000,190.0,187.0,258.0,279.0,True,HARD,8.0,True,Alpine,0 days 00:25:56.235000,2026-06-05 11:41:56.361,1,,,,False,True,FP1
0 days 00:28:54.415000,GAS,10,0 days 00:01:40.844000,9.0,1.0,,,0 days 00:00:26.989000,0 days 00:00:47.718000,0 days 00:00:26.137000,0 days 00:27:40.560000,0 days 00:28:28.278000,0 days 00:28:54.415000,158.0,117.0,245.0,240.0,False,HARD,9.0,True,Alpine,0 days 00:27:13.571000,2026-06-05 11:43:13.697,1,,,,False,True,FP1
0 days 00:30:17.038000,GAS,10,0 days 00:01:22.623000,10.0,1.0,,,0 days 00:00:20.736000,0 days 00:00:37.654000,0 days 00:00:24.233000,0 days 00:29:15.151000,0 days 00:29:52.805000,0 days 00:30:17.038000,184.0,146.0,252.0,279.0,False,HARD,10.0,True,Alpine,0 days 00:28:54.415000,2026-06-05 11:44:54.541,1,,,,False,True,FP1
0 days 00:31:34.399000,GAS,10,0 days 00:01:17.361000,11.0,1.0,,,0 days 00:00:20.384000,0 days 00:00:36.318000,0 days 00:00:20.659000,0 days 00:30:37.422000,0 days 00:31:13.740000,0 days 00:31:34.399000,196.0,188.0,258.0,281.0,False,HARD,11.0,True,Alpine,0 days 00:30:17.038000,2026-06-05 11:46:17.164,1,,,,False,True,FP1
0 days 00:32:51.426000,GAS,10,0 days 00:01:17.027000,12.0,1.0,,,0 days 00:00:20.213000,0 days 00:00:36.289000,0 days 00:00:20.525000,0 days 00:31:54.612000,0 days 00:32:30.901000,0 days 00:32:51.426000,188.0,190.0,258.0,281.0,True,HARD,12.0,True,Alpine,0 days 00:31:34.399000,2026-06-05 11:47:34.525,1,,,,False,True,FP1
0 days 00:34:28.434000,GAS,10,0 days 00:01:37.008000,13.0,1.0,,,0 days 00:00:28.742000,0 days 00:00:45.997000,0 days 00:00:22.269000,0 days 00:33:20.168000,0 days 00:34:06.165000,0 days 00:34:28.434000,72.0,161.0,259.0,241.0,False,HARD,13.0,True,Alpine,0 days 00:32:51.426000,2026-06-05 11:48:51.552,1,,,,False,True,FP1
