Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
ANT,12,94.535,2.0,1.0,26.929,46.0,21.606,100.0,168.0,262.0,224.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,74.313,3.0,1.0,19.606,35.059,19.648,205.0,199.0,264.0,282.0,True,SOFT,3.0,True,Mercedes,1,Q
ANT,12,94.733,4.0,1.0,22.894,47.143,24.696,154.0,155.0,263.0,237.0,False,SOFT,4.0,True,Mercedes,1,Q
ANT,12,85.128,5.0,1.0,19.487,41.629,24.012,204.0,175.0,263.0,270.0,False,SOFT,5.0,True,Mercedes,1,Q
ANT,12,73.946,6.0,1.0,19.393,34.755,19.798,209.0,178.0,263.0,281.0,True,SOFT,6.0,True,Mercedes,1,Q
ANT,12,94.829,7.0,1.0,26.715,45.9,22.214,140.0,154.0,262.0,180.0,False,SOFT,7.0,True,Mercedes,1,Q
ANT,12,73.599,8.0,1.0,19.238,34.852,19.509,212.0,200.0,264.0,282.0,True,SOFT,8.0,True,Mercedes,1,Q
ANT,12,99.218,9.0,1.0,24.379,50.449,24.39,124.0,145.0,168.0,195.0,False,SOFT,9.0,True,Mercedes,1,Q
ANT,12,78.775,12.0,2.0,20.838,37.383,20.554,182.0,184.0,264.0,278.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,72.778,13.0,2.0,19.121,34.368,19.289,215.0,201.0,264.0,282.0,True,SOFT,3.0,True,Mercedes,1,Q
ANT,12,99.37,14.0,2.0,25.761,52.768,20.841,75.0,173.0,265.0,232.0,False,SOFT,4.0,True,Mercedes,1,Q
ANT,12,72.704,15.0,2.0,19.248,34.29,19.166,213.0,201.0,264.0,282.0,True,SOFT,5.0,True,Mercedes,1,Q
ANT,12,79.003,18.0,3.0,20.413,37.484,21.106,183.0,183.0,265.0,273.0,False,SOFT,2.0,True,Mercedes,1,Q
ANT,12,72.753,19.0,3.0,19.119,34.145,19.489,214.0,203.0,265.0,283.0,False,SOFT,3.0,True,Mercedes,1,Q
ANT,12,82.602,22.0,4.0,20.565,41.365,20.672,178.0,181.0,264.0,275.0,True,SOFT,2.0,True,Mercedes,1,Q
ANT,12,72.375,23.0,4.0,18.941,34.183,19.251,215.0,204.0,263.0,282.0,True,SOFT,3.0,True,Mercedes,1,Q
ANT,12,77.171,26.0,5.0,20.402,36.53,20.239,200.0,188.0,264.0,279.0,False,SOFT,2.0,True,Mercedes,1,Q
ANT,12,72.051,27.0,5.0,18.934,33.989,19.128,215.0,203.0,264.0,282.0,True,SOFT,3.0,True,Mercedes,12,Q
VER,3,81.878,2.0,1.0,20.193,36.15,25.535,205.0,193.0,260.0,277.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
VER,3,74.504,3.0,1.0,19.438,35.267,19.799,216.0,195.0,266.0,282.0,True,SOFT,3.0,True,Red Bull Racing,1,Q
VER,3,83.759,4.0,1.0,20.874,39.978,22.907,195.0,178.0,264.0,274.0,False,SOFT,4.0,True,Red Bull Racing,1,Q
VER,3,74.007,5.0,1.0,19.5,34.93,19.577,210.0,204.0,265.0,282.0,True,SOFT,5.0,True,Red Bull Racing,1,Q
VER,3,94.959,6.0,1.0,26.088,45.636,23.235,129.0,147.0,262.0,252.0,False,SOFT,6.0,True,Red Bull Racing,1,Q
VER,3,73.49,7.0,1.0,19.239,34.711,19.54,216.0,199.0,264.0,282.0,True,SOFT,7.0,True,Red Bull Racing,1,Q
VER,3,84.53,10.0,2.0,20.295,39.106,25.129,205.0,185.0,264.0,273.0,True,SOFT,2.0,True,Red Bull Racing,1,Q
