Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
VER,3,78.511,2.0,1.0,22.919,31.597,23.995,276.0,269.0,273.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:56.178000,1,FP1,48.3,29.1,32.5
VER,3,123.009,3.0,1.0,43.925,51.039,28.045,109.0,211.0,274.0,150.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:19:14.689000,1,FP1,48.3,29.1,32.5
VER,3,78.93,4.0,1.0,22.809,31.418,24.703,282.0,285.0,279.0,322.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:17.698000,1,FP1,48.3,29.1,32.5
VER,3,78.879,7.0,2.0,22.872,31.986,24.021,286.0,281.0,271.0,322.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:27:35.748000,1,FP1,48.8,29.0,32.2
VER,3,132.628,8.0,2.0,40.301,63.137,29.19,128.0,138.0,276.0,172.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:28:54.627000,1,FP1,48.8,29.0,32.2
VER,3,78.614,9.0,2.0,22.779,31.862,23.973,279.0,275.0,276.0,324.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:31:07.255000,1,FP1,48.8,29.0,32.2
VER,3,77.047,12.0,3.0,22.406,31.126,23.515,284.0,284.0,278.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:47.334000,12,FP1,48.8,29.0,32.2
VER,3,77.675,15.0,4.0,22.651,31.389,23.635,288.0,287.0,268.0,318.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:50:40.414000,1,FP1,48.8,29.0,32.2
VER,3,81.988,18.0,5.0,23.68,33.161,25.147,250.0,266.0,293.0,328.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:02:01.659000,1,FP1,49.7,29.0,31.9
VER,3,81.907,19.0,5.0,23.76,33.178,24.969,257.0,264.0,293.0,320.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:03:23.647000,1,FP1,49.7,29.0,31.9
VER,3,81.86,20.0,5.0,23.696,33.248,24.916,254.0,267.0,295.0,322.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:04:45.554000,1,FP1,49.7,29.0,31.9
VER,3,81.969,21.0,5.0,23.632,33.383,24.954,253.0,271.0,295.0,325.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:06:07.414000,1,FP1,49.7,29.0,31.9
VER,3,81.774,24.0,6.0,23.724,33.232,24.818,260.0,268.0,295.0,315.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:10:40.540000,1,FP1,49.7,29.0,31.9
VER,3,81.553,25.0,6.0,23.44,33.312,24.801,257.0,271.0,295.0,330.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:12:02.314000,1,FP1,49.7,29.0,31.9
VER,3,81.756,26.0,6.0,23.598,33.269,24.889,265.0,271.0,294.0,322.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:13:23.867000,1,FP1,49.7,29.0,31.9
VER,3,82.097,27.0,6.0,23.481,33.347,25.269,258.0,275.0,295.0,332.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:14:45.623000,1,FP1,49.7,29.0,31.9
BOR,5,80.554,4.0,2.0,23.313,32.499,24.742,265.0,267.0,283.0,332.0,True,MEDIUM,4.0,False,Audi,0 days 00:28:01.081000,1,FP1,48.5,29.1,30.5
BOR,5,79.745,7.0,3.0,23.247,32.275,24.223,277.0,278.0,277.0,332.0,True,MEDIUM,7.0,False,Audi,0 days 00:33:36.571000,1,FP1,48.5,29.1,30.5
BOR,5,79.652,10.0,4.0,23.012,32.272,24.368,278.0,278.0,274.0,330.0,True,MEDIUM,10.0,False,Audi,0 days 00:38:47.603000,1,FP1,48.5,29.1,30.5
BOR,5,78.209,15.0,6.0,22.69,31.614,23.905,275.0,284.0,280.0,333.0,True,SOFT,2.0,True,Audi,0 days 00:57:00.954000,1,FP1,47.0,29.1,30.7
BOR,5,78.783,18.0,7.0,22.863,31.994,23.926,282.0,281.0,273.0,331.0,False,SOFT,5.0,False,Audi,0 days 01:02:38.300000,1,FP1,47.0,29.1,30.7
BOR,5,82.84,21.0,8.0,24.424,33.568,24.848,257.0,263.0,299.0,295.0,False,SOFT,8.0,False,Audi,0 days 01:07:50,1,FP1,47.0,29.1,30.7
BOR,5,82.802,22.0,8.0,24.585,33.305,24.912,256.0,266.0,297.0,335.0,False,SOFT,9.0,False,Audi,0 days 01:09:12.840000,1,FP1,47.0,29.1,30.7
BOR,5,81.574,23.0,8.0,23.598,33.126,24.85,257.0,269.0,298.0,325.0,False,SOFT,10.0,False,Audi,0 days 01:10:35.642000,1,FP1,47.0,29.1,30.7
BOR,5,81.4,24.0,8.0,23.596,33.102,24.702,259.0,272.0,297.0,327.0,False,SOFT,11.0,False,Audi,0 days 01:11:57.216000,1,FP1,47.0,29.1,30.7
BOR,5,83.781,25.0,8.0,24.58,33.852,25.349,252.0,260.0,293.0,329.0,False,SOFT,12.0,False,Audi,0 days 01:13:18.616000,1,FP1,47.0,29.1,30.7
BOR,5,83.37,26.0,8.0,23.944,33.552,25.874,265.0,267.0,286.0,323.0,False,SOFT,13.0,False,Audi,0 days 01:14:42.397000,1,FP1,47.5,29.0,30.9
