Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
RUS,63,75.717,2.0,1.0,22.063,30.563,23.091,275.0,277.0,289.0,334.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:52.822000,1,Q
RUS,63,75.228,5.0,2.0,21.965,30.343,22.92,275.0,288.0,289.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 00:44:00.956000,1,Q
RUS,63,75.145,9.0,4.0,21.943,30.316,22.886,274.0,278.0,286.0,329.0,True,SOFT,3.0,False,Mercedes,0 days 01:18:01.042000,1,Q
RUS,63,74.679,12.0,5.0,21.849,30.115,22.715,273.0,281.0,287.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 01:23:01.572000,1,Q
HAM,44,75.625,2.0,1.0,22.018,30.596,23.011,266.0,297.0,279.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:05.596000,1,Q
HAM,44,75.418,5.0,2.0,21.973,30.503,22.942,269.0,288.0,273.0,331.0,True,SOFT,2.0,True,Ferrari,0 days 00:44:08.234000,1,Q
HAM,44,75.71,10.0,4.0,22.157,30.504,23.049,267.0,294.0,274.0,329.0,True,SOFT,5.0,False,Ferrari,0 days 01:18:13.145000,1,Q
HAM,44,74.743,13.0,5.0,21.886,30.008,22.849,268.0,288.0,276.0,333.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:56.568000,1,Q
ANT,12,75.977,2.0,1.0,22.179,30.624,23.174,270.0,282.0,286.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:40.959000,1,Q
ANT,12,75.295,5.0,2.0,22.076,30.339,22.88,271.0,287.0,284.0,333.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:40.899000,1,Q
ANT,12,75.414,10.0,4.0,22.082,30.388,22.944,273.0,289.0,287.0,328.0,True,SOFT,4.0,False,Mercedes,0 days 01:17:37.812000,1,Q
ANT,12,74.998,13.0,5.0,21.879,30.204,22.915,273.0,288.0,284.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 01:22:49.413000,1,Q
