Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,69.255,2.0,1.0,17.173,30.864,21.218,311.0,219.0,268.0,315.0,True,MEDIUM,2.0,True,McLaren,0 days 01:00:03.498000,1,FP1,50.0,29.9,30.3
NOR,1,115.421,3.0,1.0,31.703,57.272,26.446,164.0,157.0,274.0,138.0,False,MEDIUM,3.0,True,McLaren,0 days 01:01:12.753000,1,FP1,50.0,29.9,30.3
NOR,1,68.873,4.0,1.0,17.146,30.714,21.013,310.0,221.0,269.0,311.0,True,MEDIUM,4.0,True,McLaren,0 days 01:03:08.174000,1,FP1,50.0,29.9,30.3
NOR,1,80.681,7.0,2.0,16.946,31.04,32.695,311.0,158.0,164.0,311.0,False,SOFT,2.0,True,McLaren,0 days 01:07:44.330000,1,FP1,50.0,29.9,30.3
NOR,1,116.798,8.0,2.0,30.004,53.787,33.007,174.0,113.0,276.0,126.0,False,SOFT,3.0,True,McLaren,0 days 01:09:05.011000,1,FP1,50.0,29.9,30.3
VER,3,69.043,2.0,1.0,16.962,30.806,21.275,313.0,224.0,254.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:32:35.972000,1,FP1,50.0,29.9,30.3
VER,3,68.9,5.0,2.0,17.094,30.847,20.959,307.0,223.0,270.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:37:24.794000,1,FP1,50.0,29.9,30.3
VER,3,126.982,6.0,2.0,29.21,58.553,39.219,130.0,132.0,134.0,120.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:38:33.694000,1,FP1,50.0,29.9,30.3
VER,3,124.555,7.0,2.0,33.648,58.903,32.004,140.0,57.0,239.0,145.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:40:40.676000,1,FP1,50.0,29.9,30.3
VER,3,89.988,8.0,2.0,26.208,38.973,24.807,196.0,188.0,260.0,213.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:42:45.231000,1,FP1,50.0,29.9,30.3
VER,3,68.892,9.0,2.0,17.058,30.933,20.901,307.0,223.0,274.0,299.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:44:15.219000,1,FP1,50.0,29.9,30.3
VER,3,68.077,12.0,3.0,16.896,30.35,20.831,305.0,231.0,272.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:00:10.430000,1,FP1,50.0,29.9,30.3
VER,3,71.867,15.0,4.0,17.558,32.105,22.204,291.0,209.0,276.0,285.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:08:30.734000,1,FP1,50.0,30.3,30.0
VER,3,71.445,16.0,4.0,17.469,32.017,21.959,296.0,212.0,285.0,288.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:09:42.601000,1,FP1,50.0,30.3,30.0
HAD,6,70.403,2.0,1.0,17.239,31.558,21.606,310.0,224.0,253.0,298.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:48:27.942000,1,FP1,50.0,30.3,30.0
HAD,6,69.481,7.0,3.0,17.158,30.954,21.369,308.0,225.0,259.0,305.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:37.641000,1,FP1,50.0,30.3,30.0
HAD,6,135.773,8.0,3.0,32.579,59.433,43.761,141.0,116.0,177.0,124.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:04:47.122000,1,FP1,50.0,30.3,30.0
HAD,6,109.687,9.0,3.0,31.632,45.454,32.601,190.0,98.0,232.0,195.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:07:02.895000,1,FP1,50.0,30.3,30.0
HAD,6,105.161,10.0,3.0,23.412,45.497,36.252,191.0,144.0,209.0,204.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:08:52.582000,1,FP1,50.0,30.3,30.0
GAS,10,72.059,2.0,1.0,17.486,32.21,22.363,308.0,214.0,271.0,316.0,True,HARD,2.0,True,Alpine,0 days 00:15:48.186000,1,FP1,50.0,30.3,30.0
GAS,10,70.866,5.0,2.0,17.349,31.68,21.837,312.0,217.0,259.0,311.0,True,HARD,5.0,False,Alpine,0 days 00:28:05.024000,1,FP1,50.0,30.3,30.0
GAS,10,115.306,6.0,2.0,32.506,54.722,28.078,112.0,143.0,271.0,177.0,False,HARD,6.0,False,Alpine,0 days 00:29:15.890000,1,FP1,50.0,30.3,30.0
GAS,10,70.333,7.0,2.0,17.221,31.395,21.717,312.0,217.0,260.0,312.0,True,HARD,7.0,False,Alpine,0 days 00:31:11.196000,1,FP1,50.0,30.3,30.0
GAS,10,119.767,8.0,2.0,32.611,59.683,27.473,103.0,180.0,272.0,105.0,False,HARD,8.0,False,Alpine,0 days 00:32:21.529000,1,FP1,50.0,30.3,30.0
GAS,10,70.369,9.0,2.0,17.336,31.393,21.64,311.0,220.0,260.0,316.0,False,HARD,9.0,False,Alpine,0 days 00:34:21.296000,1,FP1,50.0,30.3,30.0
GAS,10,70.699,12.0,3.0,17.365,31.589,21.745,311.0,217.0,264.0,315.0,False,HARD,12.0,False,Alpine,0 days 00:39:22.742000,1,FP1,48.7,30.5,28.4
GAS,10,91.697,15.0,4.0,16.993,36.883,37.821,310.0,131.0,158.0,316.0,False,SOFT,2.0,True,Alpine,0 days 00:48:53.309000,1,FP1,48.7,30.5,28.4
GAS,10,107.959,16.0,4.0,31.047,47.895,29.017,170.0,156.0,270.0,255.0,False,SOFT,3.0,True,Alpine,0 days 00:50:25.006000,1,FP1,48.7,30.5,28.4
GAS,10,69.546,17.0,4.0,17.125,31.163,21.258,310.0,220.0,268.0,316.0,True,SOFT,4.0,True,Alpine,0 days 00:52:12.965000,1,FP1,48.7,30.5,28.4
GAS,10,72.538,20.0,5.0,17.466,32.597,22.475,295.0,211.0,285.0,299.0,False,HARD,15.0,False,Alpine,0 days 01:00:46.846000,1,FP1,48.7,30.5,28.4
GAS,10,72.623,21.0,5.0,17.469,32.608,22.546,305.0,205.0,285.0,304.0,False,HARD,16.0,False,Alpine,0 days 01:01:59.384000,1,FP1,48.7,30.5,28.4
GAS,10,72.54,22.0,5.0,17.441,32.508,22.591,308.0,207.0,283.0,304.0,False,HARD,17.0,False,Alpine,0 days 01:03:12.007000,1,FP1,48.7,30.5,28.4
