Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 01:00:03.498000,NOR,1,,1.0,1.0,0 days 00:58:35.686000,,,0 days 00:00:35.526000,0 days 00:00:28.068000,,0 days 00:59:35.647000,0 days 01:00:03.566000,240.0,186.0,242.0,248.0,False,MEDIUM,1.0,True,McLaren,0 days 00:58:35.686000,2026-06-26 12:15:35.608,1,,,,False,False,FP1
0 days 01:01:12.753000,NOR,1,0 days 00:01:09.255000,2.0,1.0,,,0 days 00:00:17.173000,0 days 00:00:30.864000,0 days 00:00:21.218000,0 days 01:00:20.671000,0 days 01:00:51.535000,0 days 01:01:12.753000,311.0,219.0,268.0,315.0,True,MEDIUM,2.0,True,McLaren,0 days 01:00:03.498000,2026-06-26 12:17:03.420,1,,,,False,True,FP1
0 days 01:03:08.174000,NOR,1,0 days 00:01:55.421000,3.0,1.0,,,0 days 00:00:31.703000,0 days 00:00:57.272000,0 days 00:00:26.446000,0 days 01:01:44.456000,0 days 01:02:41.728000,0 days 01:03:08.174000,164.0,157.0,274.0,138.0,False,MEDIUM,3.0,True,McLaren,0 days 01:01:12.753000,2026-06-26 12:18:12.675,1,,,,False,True,FP1
0 days 01:04:17.047000,NOR,1,0 days 00:01:08.873000,4.0,1.0,,,0 days 00:00:17.146000,0 days 00:00:30.714000,0 days 00:00:21.013000,0 days 01:03:25.320000,0 days 01:03:56.034000,0 days 01:04:17.047000,310.0,221.0,269.0,311.0,True,MEDIUM,4.0,True,McLaren,0 days 01:03:08.174000,2026-06-26 12:20:08.096,1,,,,False,True,FP1
0 days 01:05:46.263000,NOR,1,0 days 00:01:29.216000,5.0,1.0,,0 days 01:05:41.560000,0 days 00:00:20.790000,0 days 00:00:39.622000,0 days 00:00:28.804000,0 days 01:04:37.837000,0 days 01:05:17.459000,0 days 01:05:46.263000,136.0,203.0,,189.0,False,MEDIUM,5.0,True,McLaren,0 days 01:04:17.047000,2026-06-26 12:21:16.969,1,,,,False,False,FP1
0 days 01:07:44.330000,NOR,1,0 days 00:01:58.067000,6.0,2.0,0 days 01:06:10.588000,,0 days 00:00:47.506000,0 days 00:00:40.976000,0 days 00:00:29.585000,0 days 01:06:33.769000,0 days 01:07:14.745000,0 days 01:07:44.330000,254.0,203.0,277.0,253.0,False,SOFT,1.0,True,McLaren,0 days 01:05:46.263000,2026-06-26 12:22:46.185,1,,,,False,False,FP1
0 days 01:09:05.011000,NOR,1,0 days 00:01:20.681000,7.0,2.0,,,0 days 00:00:16.946000,0 days 00:00:31.040000,0 days 00:00:32.695000,0 days 01:08:01.276000,0 days 01:08:32.316000,0 days 01:09:05.011000,311.0,158.0,164.0,311.0,False,SOFT,2.0,True,McLaren,0 days 01:07:44.330000,2026-06-26 12:24:44.252,1,,,,False,True,FP1
0 days 01:11:01.809000,NOR,1,0 days 00:01:56.798000,8.0,2.0,,,0 days 00:00:30.004000,0 days 00:00:53.787000,0 days 00:00:33.007000,0 days 01:09:35.015000,0 days 01:10:28.802000,0 days 01:11:01.809000,174.0,113.0,276.0,126.0,False,SOFT,3.0,True,McLaren,0 days 01:09:05.011000,2026-06-26 12:26:04.933,1,,,,False,True,FP1
0 days 01:12:52.255000,NOR,1,,9.0,2.0,,0 days 01:12:52.255000,0 days 00:00:16.994000,,,0 days 01:11:19.012000,,,312.0,,,190.0,False,SOFT,4.0,True,McLaren,0 days 01:11:01.809000,2026-06-26 12:28:01.731,125,,,,False,False,FP1
0 days 00:32:35.972000,VER,3,,1.0,1.0,0 days 00:31:13.774000,,,0 days 00:00:35.532000,0 days 00:00:25.451000,,0 days 00:32:10.798000,0 days 00:32:36.154000,243.0,204.0,262.0,271.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:13.774000,2026-06-26 11:48:13.696,1,,,,False,False,FP1
0 days 00:33:45.015000,VER,3,0 days 00:01:09.043000,2.0,1.0,,,0 days 00:00:16.962000,0 days 00:00:30.806000,0 days 00:00:21.275000,0 days 00:32:52.934000,0 days 00:33:23.740000,0 days 00:33:45.015000,313.0,224.0,254.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:32:35.972000,2026-06-26 11:49:35.894,1,,,,False,True,FP1
0 days 00:35:30.535000,VER,3,0 days 00:01:45.520000,3.0,1.0,,0 days 00:35:26.386000,0 days 00:00:27.374000,0 days 00:00:47.975000,0 days 00:00:30.171000,0 days 00:34:12.389000,0 days 00:35:00.364000,0 days 00:35:30.535000,148.0,181.0,,184.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:33:45.015000,2026-06-26 11:50:44.937,1,,,,False,False,FP1
0 days 00:37:24.794000,VER,3,0 days 00:01:54.259000,4.0,2.0,0 days 00:35:53.455000,,0 days 00:00:44.353000,0 days 00:00:45.036000,0 days 00:00:24.870000,0 days 00:36:14.888000,0 days 00:36:59.924000,0 days 00:37:24.794000,175.0,164.0,259.0,117.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:35:30.535000,2026-06-26 11:52:30.457,1,,,,False,False,FP1
0 days 00:38:33.694000,VER,3,0 days 00:01:08.900000,5.0,2.0,,,0 days 00:00:17.094000,0 days 00:00:30.847000,0 days 00:00:20.959000,0 days 00:37:41.888000,0 days 00:38:12.735000,0 days 00:38:33.694000,307.0,223.0,270.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:37:24.794000,2026-06-26 11:54:24.716,1,,,,False,True,FP1
0 days 00:40:40.676000,VER,3,0 days 00:02:06.982000,6.0,2.0,,,0 days 00:00:29.210000,0 days 00:00:58.553000,0 days 00:00:39.219000,0 days 00:39:02.904000,0 days 00:40:01.457000,0 days 00:40:40.676000,130.0,132.0,134.0,120.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:38:33.694000,2026-06-26 11:55:33.616,1,,,,False,True,FP1
0 days 00:42:45.231000,VER,3,0 days 00:02:04.555000,7.0,2.0,,,0 days 00:00:33.648000,0 days 00:00:58.903000,0 days 00:00:32.004000,0 days 00:41:14.324000,0 days 00:42:13.227000,0 days 00:42:45.231000,140.0,57.0,239.0,145.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:40:40.676000,2026-06-26 11:57:40.598,1,,,,False,True,FP1
0 days 00:44:15.219000,VER,3,0 days 00:01:29.988000,8.0,2.0,,,0 days 00:00:26.208000,0 days 00:00:38.973000,0 days 00:00:24.807000,0 days 00:43:11.439000,0 days 00:43:50.412000,0 days 00:44:15.219000,196.0,188.0,260.0,213.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:42:45.231000,2026-06-26 11:59:45.153,1,,,,False,True,FP1
0 days 00:45:24.111000,VER,3,0 days 00:01:08.892000,9.0,2.0,,,0 days 00:00:17.058000,0 days 00:00:30.933000,0 days 00:00:20.901000,0 days 00:44:32.277000,0 days 00:45:03.210000,0 days 00:45:24.111000,307.0,223.0,274.0,299.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:44:15.219000,2026-06-26 12:01:15.141,1,,,,False,True,FP1
0 days 00:46:46.347000,VER,3,0 days 00:01:22.236000,10.0,2.0,,0 days 00:46:42.223000,0 days 00:00:21.011000,0 days 00:00:34.447000,0 days 00:00:26.778000,0 days 00:45:45.122000,0 days 00:46:19.569000,0 days 00:46:46.347000,258.0,210.0,,247.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:45:24.111000,2026-06-26 12:02:24.033,1,,,,False,False,FP1
0 days 01:00:10.430000,VER,3,,11.0,3.0,0 days 00:58:43.147000,,,0 days 00:00:41.669000,0 days 00:00:25.054000,,0 days 00:59:45.610000,0 days 01:00:10.547000,252.0,184.0,261.0,244.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:46.347000,2026-06-26 12:03:46.269,12,,,,False,False,FP1
0 days 01:01:18.507000,VER,3,0 days 00:01:08.077000,12.0,3.0,,,0 days 00:00:16.896000,0 days 00:00:30.350000,0 days 00:00:20.831000,0 days 01:00:27.326000,0 days 01:00:57.676000,0 days 01:01:18.507000,305.0,231.0,272.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:00:10.430000,2026-06-26 12:17:10.352,1,,,,False,True,FP1
0 days 01:02:41.305000,VER,3,0 days 00:01:22.798000,13.0,3.0,,0 days 01:02:37.226000,0 days 00:00:20.058000,0 days 00:00:35.663000,0 days 00:00:27.077000,0 days 01:01:38.565000,0 days 01:02:14.228000,0 days 01:02:41.305000,262.0,191.0,,283.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:01:18.507000,2026-06-26 12:18:18.429,1,,,,False,False,FP1
0 days 01:08:30.734000,VER,3,,14.0,4.0,0 days 01:07:14.148000,,,0 days 00:00:33.877000,0 days 00:00:24.544000,,0 days 01:08:06.371000,0 days 01:08:30.796000,311.0,192.0,278.0,286.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:41.305000,2026-06-26 12:19:41.227,1,,,,False,False,FP1
0 days 01:09:42.601000,VER,3,0 days 00:01:11.867000,15.0,4.0,,,0 days 00:00:17.558000,0 days 00:00:32.105000,0 days 00:00:22.204000,0 days 01:08:48.292000,0 days 01:09:20.397000,0 days 01:09:42.601000,291.0,209.0,276.0,285.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:08:30.734000,2026-06-26 12:25:30.656,1,,,,False,True,FP1
0 days 01:10:54.046000,VER,3,0 days 00:01:11.445000,16.0,4.0,,,0 days 00:00:17.469000,0 days 00:00:32.017000,0 days 00:00:21.959000,0 days 01:10:00.070000,0 days 01:10:32.087000,0 days 01:10:54.046000,296.0,212.0,285.0,288.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:09:42.601000,2026-06-26 12:26:42.523,1,,,,False,True,FP1
0 days 01:12:17.338000,VER,3,,17.0,4.0,,0 days 01:12:17.338000,0 days 00:00:17.262000,0 days 00:00:32.135000,,0 days 01:11:11.450000,0 days 01:11:43.492000,,299.0,210.0,,289.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:10:54.046000,2026-06-26 12:27:53.968,125,,,,False,False,FP1
0 days 00:48:27.942000,HAD,6,,1.0,1.0,0 days 00:46:50.937000,,,0 days 00:00:43.397000,0 days 00:00:26.572000,,0 days 00:48:01.445000,0 days 00:48:28.021000,184.0,193.0,255.0,270.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:50.937000,2026-06-26 12:03:50.859,1,,,,False,False,FP1
0 days 00:49:38.345000,HAD,6,0 days 00:01:10.403000,2.0,1.0,,,0 days 00:00:17.239000,0 days 00:00:31.558000,0 days 00:00:21.606000,0 days 00:48:45.181000,0 days 00:49:16.739000,0 days 00:49:38.345000,310.0,224.0,253.0,298.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:48:27.942000,2026-06-26 12:05:27.864,1,,,,False,True,FP1
0 days 00:51:40.786000,HAD,6,0 days 00:02:02.441000,3.0,1.0,,0 days 00:51:36.066000,0 days 00:00:32.515000,0 days 00:00:50.988000,0 days 00:00:38.938000,0 days 00:50:10.860000,0 days 00:51:01.848000,0 days 00:51:40.786000,124.0,142.0,,162.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:49:38.345000,2026-06-26 12:06:38.267,1,,,,False,False,FP1
0 days 00:53:56.338000,HAD,6,0 days 00:02:15.552000,4.0,2.0,0 days 00:52:02.759000,,0 days 00:00:48.809000,0 days 00:00:54.914000,0 days 00:00:31.829000,0 days 00:52:29.595000,0 days 00:53:24.509000,0 days 00:53:56.338000,117.0,120.0,258.0,146.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:51:40.786000,2026-06-26 12:08:40.708,1,,,,False,False,FP1
0 days 00:55:42.418000,HAD,6,0 days 00:01:46.080000,5.0,2.0,,0 days 00:55:38.151000,0 days 00:00:25.977000,0 days 00:00:41.228000,0 days 00:00:38.875000,0 days 00:54:22.315000,0 days 00:55:03.543000,0 days 00:55:42.418000,164.0,157.0,,203.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:53:56.338000,2026-06-26 12:10:56.260,1,,,,False,False,FP1
0 days 01:03:37.641000,HAD,6,,6.0,3.0,0 days 01:02:04.227000,,,0 days 00:00:40.235000,0 days 00:00:30.818000,,0 days 01:03:06.959000,0 days 01:03:37.736000,236.0,183.0,258.0,231.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:55:42.418000,2026-06-26 12:12:42.340,12,,,,False,False,FP1
0 days 01:04:47.122000,HAD,6,0 days 00:01:09.481000,7.0,3.0,,,0 days 00:00:17.158000,0 days 00:00:30.954000,0 days 00:00:21.369000,0 days 01:03:54.799000,0 days 01:04:25.753000,0 days 01:04:47.122000,308.0,225.0,259.0,305.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:37.641000,2026-06-26 12:20:37.563,1,,,,False,True,FP1
0 days 01:07:02.895000,HAD,6,0 days 00:02:15.773000,8.0,3.0,,,0 days 00:00:32.579000,0 days 00:00:59.433000,0 days 00:00:43.761000,0 days 01:05:19.701000,0 days 01:06:19.134000,0 days 01:07:02.895000,141.0,116.0,177.0,124.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:04:47.122000,2026-06-26 12:21:47.044,1,,,,False,True,FP1
0 days 01:08:52.582000,HAD,6,0 days 00:01:49.687000,9.0,3.0,,,0 days 00:00:31.632000,0 days 00:00:45.454000,0 days 00:00:32.601000,0 days 01:07:34.527000,0 days 01:08:19.981000,0 days 01:08:52.582000,190.0,98.0,232.0,195.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:07:02.895000,2026-06-26 12:24:02.817,1,,,,False,True,FP1
0 days 01:10:37.743000,HAD,6,0 days 00:01:45.161000,10.0,3.0,,,0 days 00:00:23.412000,0 days 00:00:45.497000,0 days 00:00:36.252000,0 days 01:09:15.994000,0 days 01:10:01.491000,0 days 01:10:37.743000,191.0,144.0,209.0,204.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:08:52.582000,2026-06-26 12:25:52.504,1,,,,False,True,FP1
0 days 01:12:25.851000,HAD,6,,11.0,3.0,,0 days 01:12:25.851000,0 days 00:00:24.149000,0 days 00:00:42.233000,,0 days 01:11:02.069000,0 days 01:11:44.266000,,200.0,115.0,,264.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:10:37.743000,2026-06-26 12:27:37.665,125,,,,False,False,FP1
0 days 00:15:48.186000,GAS,10,,1.0,1.0,0 days 00:14:19.751000,,,0 days 00:00:39.002000,0 days 00:00:25.905000,,0 days 00:15:22.548000,0 days 00:15:48.331000,228.0,201.0,271.0,224.0,False,HARD,1.0,True,Alpine,0 days 00:14:19.751000,2026-06-26 11:31:19.673,1,,,,False,False,FP1
0 days 00:17:00.245000,GAS,10,0 days 00:01:12.059000,2.0,1.0,,,0 days 00:00:17.486000,0 days 00:00:32.210000,0 days 00:00:22.363000,0 days 00:16:05.672000,0 days 00:16:37.882000,0 days 00:17:00.245000,308.0,214.0,271.0,316.0,True,HARD,2.0,True,Alpine,0 days 00:15:48.186000,2026-06-26 11:32:48.108,1,,,,False,True,FP1
0 days 00:18:44.833000,GAS,10,0 days 00:01:44.588000,3.0,1.0,,0 days 00:18:40.657000,0 days 00:00:26.448000,0 days 00:00:45.114000,0 days 00:00:33.026000,0 days 00:17:26.693000,0 days 00:18:11.807000,0 days 00:18:44.833000,157.0,166.0,,165.0,False,HARD,3.0,True,Alpine,0 days 00:17:00.245000,2026-06-26 11:34:00.167,1,,,,False,False,FP1
0 days 00:28:05.024000,GAS,10,,4.0,2.0,0 days 00:26:36.379000,,,0 days 00:00:37.442000,0 days 00:00:27.626000,,0 days 00:27:37.584000,0 days 00:28:05.033000,254.0,180.0,273.0,265.0,False,HARD,4.0,False,Alpine,0 days 00:18:44.833000,2026-06-26 11:35:44.755,1,,,,False,False,FP1
