Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
RUS,63,67.811,2.0,1.0,16.813,30.451,20.547,313.0,224.0,272.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 00:16:07.130000,1,Q
RUS,63,67.591,5.0,2.0,16.82,30.388,20.383,313.0,225.0,278.0,315.0,True,SOFT,5.0,False,Mercedes,0 days 00:21:35.420000,1,Q
RUS,63,67.398,8.0,3.0,16.795,30.28,20.323,312.0,225.0,280.0,316.0,True,SOFT,8.0,False,Mercedes,0 days 00:30:30.493000,1,Q
RUS,63,66.979,13.0,5.0,16.77,30.047,20.162,314.0,225.0,281.0,318.0,True,SOFT,4.0,False,Mercedes,0 days 00:49:19.087000,1,Q
RUS,63,66.457,16.0,6.0,16.563,29.852,20.042,315.0,227.0,283.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:49.664000,1,Q
RUS,63,66.113,19.0,7.0,16.424,29.62,20.069,316.0,227.0,279.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 01:12:41.043000,12,Q
LEC,16,67.543,2.0,1.0,16.761,30.266,20.516,308.0,222.0,266.0,305.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:22.786000,1,Q
LEC,16,67.03,5.0,2.0,16.607,30.092,20.331,310.0,220.0,265.0,306.0,True,SOFT,2.0,True,Ferrari,0 days 00:42:52.740000,1,Q
LEC,16,67.303,8.0,3.0,16.658,30.088,20.557,309.0,223.0,266.0,308.0,False,SOFT,5.0,False,Ferrari,0 days 00:50:41.143000,1,Q
LEC,16,66.756,11.0,4.0,16.61,29.832,20.314,311.0,224.0,271.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 01:05:19.477000,1,Q
LEC,16,66.349,14.0,5.0,16.485,29.632,20.232,310.0,223.0,270.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:55.845000,1,Q
HAM,44,67.29,2.0,1.0,16.643,30.221,20.426,312.0,222.0,265.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:27.980000,1,Q
HAM,44,67.039,5.0,2.0,16.603,30.214,20.222,311.0,218.0,272.0,308.0,True,SOFT,2.0,True,Ferrari,0 days 00:43:09.516000,1,Q
HAM,44,66.994,8.0,3.0,16.622,30.017,20.355,310.0,221.0,271.0,314.0,True,SOFT,5.0,False,Ferrari,0 days 00:50:51.939000,1,Q
HAM,44,66.408,13.0,5.0,16.521,29.69,20.197,310.0,221.0,272.0,307.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:38.728000,1,Q
ANT,12,67.083,2.0,1.0,16.719,30.033,20.331,316.0,228.0,275.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 00:19:48.883000,1,Q
ANT,12,66.763,7.0,3.0,16.612,29.989,20.162,317.0,226.0,279.0,318.0,True,SOFT,2.0,True,Mercedes,0 days 00:44:23.339000,1,Q
ANT,12,66.965,10.0,4.0,16.643,30.03,20.292,316.0,225.0,279.0,321.0,False,SOFT,5.0,False,Mercedes,0 days 00:52:27.411000,1,Q
ANT,12,66.414,13.0,5.0,16.564,29.852,19.998,319.0,229.0,281.0,321.0,True,SOFT,2.0,True,Mercedes,0 days 01:05:39.326000,1,Q
ANT,12,68.215,16.0,6.0,16.477,29.666,22.072,316.0,228.0,219.0,320.0,False,SOFT,2.0,True,Mercedes,0 days 01:12:29.207000,12,Q
VER,3,67.407,2.0,1.0,16.767,30.114,20.526,315.0,217.0,272.0,315.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:42.692000,1,Q
VER,3,67.183,5.0,2.0,16.695,30.024,20.464,313.0,220.0,273.0,315.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:42:30.807000,1,Q
VER,3,66.475,8.0,3.0,16.501,29.719,20.255,317.0,224.0,272.0,316.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:52.495000,1,Q
NOR,1,67.259,2.0,1.0,16.712,30.06,20.487,310.0,227.0,271.0,315.0,True,SOFT,2.0,True,McLaren,0 days 00:18:02.330000,1,Q
NOR,1,67.321,5.0,2.0,16.807,29.983,20.531,307.0,225.0,272.0,313.0,True,SOFT,5.0,False,McLaren,0 days 00:40:44.120000,1,Q
NOR,1,66.897,8.0,3.0,16.721,29.815,20.361,307.0,226.0,272.0,314.0,True,SOFT,2.0,True,McLaren,0 days 00:49:02.918000,1,Q
NOR,1,66.9,11.0,4.0,16.645,29.978,20.277,309.0,226.0,275.0,313.0,True,SOFT,2.0,True,McLaren,0 days 01:04:34.663000,1,Q
NOR,1,66.502,14.0,5.0,16.576,29.642,20.284,311.0,227.0,273.0,315.0,True,SOFT,2.0,True,McLaren,0 days 01:12:01.160000,1,Q
PIA,81,67.487,2.0,1.0,16.706,30.213,20.568,309.0,225.0,271.0,314.0,True,SOFT,2.0,True,McLaren,0 days 00:18:11.315000,1,Q
PIA,81,66.89,7.0,3.0,16.626,29.964,20.3,311.0,226.0,274.0,317.0,True,SOFT,2.0,True,McLaren,0 days 00:44:30.997000,1,Q
PIA,81,66.685,10.0,4.0,16.6,29.895,20.19,309.0,227.0,277.0,316.0,True,SOFT,2.0,True,McLaren,0 days 01:05:00.553000,1,Q
PIA,81,66.511,13.0,5.0,16.636,29.742,20.133,309.0,229.0,276.0,316.0,True,SOFT,2.0,True,McLaren,0 days 01:12:09.864000,1,Q
HAD,6,67.408,2.0,1.0,16.813,30.154,20.441,316.0,223.0,277.0,313.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:51.953000,1,Q
HAD,6,67.709,5.0,2.0,16.942,30.238,20.529,315.0,221.0,275.0,310.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:27:47.844000,1,Q
HAD,6,67.315,8.0,3.0,16.891,30.109,20.315,314.0,220.0,277.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:41.500000,1,Q
HAD,6,67.086,11.0,4.0,16.783,30.005,20.298,313.0,224.0,279.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:51:01.447000,1,Q
HAD,6,67.321,14.0,5.0,16.869,30.188,20.264,313.0,222.0,272.0,311.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:04:45.737000,1,Q
HAD,6,66.632,17.0,6.0,16.717,29.787,20.128,312.0,223.0,277.0,311.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:11:27.708000,1,Q
