Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session,TrackTemp,AirTemp,Humidity
NOR,1,93.212,2.0,1.0,29.313,37.423,26.476,298.0,260.0,231.0,296.0,True,HARD,2.0,True,McLaren,0 days 00:17:42.677000,1,FP1,,,
NOR,1,106.833,4.0,1.0,31.841,43.196,31.796,258.0,198.0,243.0,233.0,True,HARD,4.0,True,McLaren,0 days 00:21:45.872000,1,FP1,,,
NOR,1,92.179,5.0,1.0,29.139,37.392,25.648,305.0,261.0,235.0,296.0,True,HARD,5.0,True,McLaren,0 days 00:23:32.705000,1,FP1,,,
NOR,1,132.965,6.0,1.0,41.963,56.229,34.773,187.0,166.0,236.0,148.0,True,HARD,6.0,True,McLaren,0 days 00:25:04.884000,1,FP1,,,
NOR,1,91.595,7.0,1.0,28.898,37.099,25.598,303.0,262.0,236.0,301.0,True,HARD,7.0,True,McLaren,0 days 00:27:17.849000,1,FP1,,,
NOR,1,125.918,8.0,1.0,38.404,53.15,34.364,200.0,196.0,240.0,206.0,False,HARD,8.0,True,McLaren,0 days 00:28:49.444000,1,FP1,,,
NOR,1,91.575,11.0,2.0,28.886,36.989,25.7,306.0,264.0,230.0,300.0,True,HARD,11.0,False,McLaren,0 days 00:42:36.159000,1,FP1,,,
NOR,1,102.087,12.0,2.0,33.728,42.001,26.358,217.0,252.0,247.0,294.0,False,HARD,12.0,False,McLaren,0 days 00:44:07.734000,1,FP1,,,
NOR,1,94.02,13.0,2.0,29.684,37.637,26.699,305.0,259.0,256.0,251.0,False,HARD,13.0,False,McLaren,0 days 00:45:49.821000,1,FP1,,,
NOR,1,92.289,14.0,2.0,29.051,37.433,25.805,301.0,259.0,255.0,300.0,False,HARD,14.0,False,McLaren,0 days 00:47:23.841000,1,FP1,,,
NOR,1,94.517,15.0,2.0,29.614,38.993,25.91,304.0,252.0,252.0,299.0,False,HARD,15.0,False,McLaren,0 days 00:48:56.130000,12,FP1,,,
NOR,1,93.92,16.0,2.0,29.632,37.981,26.307,302.0,262.0,239.0,306.0,False,HARD,16.0,False,McLaren,0 days 00:50:30.647000,1,FP1,,,
NOR,1,94.028,17.0,2.0,30.247,37.947,25.834,302.0,259.0,254.0,296.0,False,HARD,17.0,False,McLaren,0 days 00:52:04.567000,1,FP1,,,
NOR,1,90.288,20.0,3.0,28.508,36.41,25.37,306.0,261.0,235.0,296.0,True,SOFT,2.0,True,McLaren,0 days 01:05:27.921000,1,FP1,,,
NOR,1,90.676,23.0,4.0,28.635,36.483,25.558,302.0,263.0,234.0,302.0,False,SOFT,5.0,False,McLaren,0 days 01:11:37.285000,1,FP1,,,
NOR,1,123.585,24.0,4.0,41.116,49.246,33.223,159.0,235.0,212.0,175.0,False,SOFT,6.0,False,McLaren,0 days 01:13:07.961000,1,FP1,,,
NOR,1,125.534,25.0,4.0,37.931,46.601,41.002,250.0,226.0,46.0,251.0,False,SOFT,7.0,False,McLaren,0 days 01:15:11.546000,1,FP1,,,
VER,3,92.653,2.0,1.0,29.301,37.645,25.707,297.0,260.0,226.0,299.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:21:09.855000,1,FP1,,,
VER,3,145.112,3.0,1.0,47.98,55.759,41.373,189.0,96.0,239.0,208.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:22:42.508000,1,FP1,,,
VER,3,91.277,4.0,1.0,28.789,37.017,25.471,300.0,261.0,226.0,300.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:25:07.620000,1,FP1,,,
VER,3,116.106,6.0,1.0,30.198,46.679,39.229,245.0,247.0,239.0,269.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:29:14.793000,1,FP1,,,
VER,3,92.646,7.0,1.0,28.952,37.113,26.581,301.0,261.0,226.0,297.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:31:10.899000,1,FP1,,,
VER,3,93.039,10.0,2.0,29.762,37.812,25.465,300.0,262.0,248.0,305.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:42:40.100000,1,FP1,,,
VER,3,94.128,11.0,2.0,30.043,38.252,25.833,294.0,256.0,248.0,300.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:44:13.139000,1,FP1,,,
VER,3,93.633,12.0,2.0,29.581,38.27,25.782,307.0,256.0,246.0,304.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:45:47.267000,1,FP1,,,
VER,3,94.132,13.0,2.0,30.012,37.925,26.195,295.0,250.0,247.0,289.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:47:20.900000,1,FP1,,,
VER,3,94.429,14.0,2.0,30.175,38.517,25.737,292.0,255.0,245.0,295.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:48:55.032000,12,FP1,,,
VER,3,94.852,15.0,2.0,30.3,38.159,26.393,292.0,255.0,248.0,295.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:50:29.461000,1,FP1,,,
VER,3,95.093,16.0,2.0,30.529,38.617,25.947,292.0,256.0,242.0,303.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:52:04.313000,1,FP1,,,
VER,3,94.35,17.0,2.0,30.341,38.228,25.781,293.0,257.0,245.0,305.0,False,HARD,17.0,False,Red Bull Racing,0 days 00:53:39.406000,1,FP1,,,
VER,3,94.876,18.0,2.0,30.295,38.349,26.232,294.0,251.0,244.0,300.0,False,HARD,18.0,False,Red Bull Racing,0 days 00:55:13.756000,1,FP1,,,
VER,3,90.24,21.0,3.0,28.692,36.628,24.92,303.0,261.0,236.0,301.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:08:40.078000,1,FP1,,,
VER,3,115.529,23.0,3.0,39.12,46.272,30.137,117.0,238.0,244.0,202.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:12:42.848000,1,FP1,,,
VER,3,90.268,24.0,3.0,28.671,36.462,25.135,304.0,263.0,236.0,302.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:14:38.377000,1,FP1,,,
VER,3,143.733,25.0,3.0,46.709,53.943,43.081,160.0,232.0,43.0,241.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:16:08.645000,1,FP1,,,
BOR,5,94.93,2.0,1.0,30.373,38.411,26.146,294.0,259.0,235.0,297.0,True,HARD,2.0,True,Audi,0 days 00:17:18.337000,1,FP1,,,
BOR,5,143.114,3.0,1.0,44.837,52.693,45.584,187.0,179.0,240.0,241.0,False,HARD,3.0,True,Audi,0 days 00:18:53.267000,1,FP1,,,
BOR,5,93.545,4.0,1.0,30.315,37.541,25.689,287.0,259.0,236.0,297.0,True,HARD,4.0,True,Audi,0 days 00:21:16.381000,1,FP1,,,
BOR,5,144.275,5.0,1.0,46.774,54.495,43.006,170.0,112.0,239.0,103.0,False,HARD,5.0,True,Audi,0 days 00:22:49.926000,1,FP1,,,
BOR,5,92.355,6.0,1.0,29.651,37.252,25.452,292.0,261.0,237.0,296.0,True,HARD,6.0,True,Audi,0 days 00:25:14.201000,1,FP1,,,
BOR,5,92.016,8.0,1.0,29.352,37.198,25.466,291.0,260.0,236.0,298.0,True,HARD,8.0,True,Audi,0 days 00:29:27.760000,1,FP1,,,
BOR,5,139.252,9.0,1.0,41.372,62.187,35.693,190.0,166.0,243.0,159.0,False,HARD,9.0,True,Audi,0 days 00:30:59.776000,1,FP1,,,
BOR,5,91.813,10.0,1.0,29.324,37.026,25.463,291.0,260.0,235.0,293.0,True,HARD,10.0,True,Audi,0 days 00:33:19.028000,1,FP1,,,
BOR,5,92.621,15.0,3.0,29.465,37.359,25.797,291.0,258.0,224.0,293.0,False,HARD,15.0,False,Audi,0 days 00:49:41.807000,12,FP1,,,
BOR,5,100.678,16.0,3.0,36.237,38.492,25.949,297.0,257.0,249.0,292.0,False,HARD,16.0,False,Audi,0 days 00:51:14.428000,1,FP1,,,
BOR,5,94.509,17.0,3.0,29.971,38.615,25.923,285.0,258.0,250.0,294.0,False,HARD,17.0,False,Audi,0 days 00:52:55.106000,1,FP1,,,
BOR,5,94.4,18.0,3.0,29.796,38.31,26.294,287.0,259.0,247.0,295.0,False,HARD,18.0,False,Audi,0 days 00:54:29.615000,1,FP1,,,
BOR,5,94.441,19.0,3.0,29.708,38.607,26.126,292.0,256.0,248.0,294.0,False,HARD,19.0,False,Audi,0 days 00:56:04.015000,1,FP1,,,
BOR,5,91.035,22.0,4.0,29.018,36.864,25.153,292.0,263.0,238.0,296.0,True,MEDIUM,2.0,True,Audi,0 days 01:07:48.798000,1,FP1,,,
BOR,5,92.267,25.0,5.0,29.154,37.45,25.663,290.0,261.0,226.0,295.0,False,MEDIUM,5.0,False,Audi,0 days 01:13:34.567000,1,FP1,,,
BOR,5,136.104,26.0,5.0,43.357,52.027,40.72,191.0,195.0,50.0,216.0,False,MEDIUM,6.0,False,Audi,0 days 01:15:06.834000,1,FP1,,,
HAD,6,93.177,2.0,1.0,29.716,37.74,25.721,300.0,260.0,228.0,303.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:28.488000,1,FP1,,,
HAD,6,91.697,4.0,1.0,29.009,37.093,25.595,302.0,260.0,227.0,300.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:22:34.742000,1,FP1,,,
HAD,6,90.969,6.0,1.0,28.809,36.816,25.344,302.0,262.0,237.0,297.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:26:40.322000,1,FP1,,,
HAD,6,94.234,9.0,2.0,29.98,38.362,25.892,290.0,258.0,245.0,300.0,False,HARD,9.0,False,Red Bull Racing,0 days 00:41:11.466000,1,FP1,,,
HAD,6,93.708,10.0,2.0,29.874,38.102,25.732,289.0,261.0,245.0,308.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:42:45.700000,1,FP1,,,
HAD,6,94.165,11.0,2.0,30.025,38.282,25.858,292.0,257.0,243.0,312.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:44:19.408000,1,FP1,,,
HAD,6,102.116,12.0,2.0,30.03,43.171,28.915,297.0,226.0,254.0,271.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:45:53.573000,1,FP1,,,
HAD,6,93.492,13.0,2.0,29.818,38.068,25.606,287.0,257.0,255.0,299.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:47:35.689000,1,FP1,,,
HAD,6,94.144,14.0,2.0,29.981,38.239,25.924,287.0,256.0,255.0,293.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:49:09.181000,12,FP1,,,
HAD,6,93.936,15.0,2.0,29.964,38.212,25.76,285.0,257.0,254.0,297.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:50:43.325000,1,FP1,,,
HAD,6,94.36,16.0,2.0,30.198,38.326,25.836,286.0,256.0,255.0,299.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:52:17.261000,1,FP1,,,
HAD,6,94.423,17.0,2.0,30.012,38.565,25.846,290.0,256.0,251.0,301.0,False,HARD,17.0,False,Red Bull Racing,0 days 00:53:51.621000,1,FP1,,,
HAD,6,90.338,20.0,3.0,28.665,36.652,25.021,302.0,261.0,240.0,300.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:04:54.928000,1,FP1,,,
HAD,6,144.481,21.0,3.0,49.083,59.759,35.639,163.0,162.0,190.0,210.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:06:25.266000,1,FP1,,,
HAD,6,115.479,22.0,3.0,36.525,47.598,31.356,269.0,216.0,180.0,281.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:08:49.747000,1,FP1,,,
HAD,6,112.345,23.0,3.0,36.244,45.73,30.371,267.0,205.0,244.0,177.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:10:45.226000,1,FP1,,,
HAD,6,90.414,24.0,3.0,28.673,36.558,25.183,298.0,262.0,232.0,302.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:12:37.571000,1,FP1,,,
HAD,6,131.384,25.0,3.0,41.965,51.402,38.017,238.0,117.0,163.0,264.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:14:07.985000,1,FP1,,,
HAD,6,136.421,26.0,3.0,40.703,51.532,44.186,207.0,196.0,88.0,257.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:16:19.369000,1,FP1,,,
GAS,10,95.045,3.0,2.0,30.13,38.609,26.306,296.0,257.0,234.0,296.0,True,HARD,3.0,False,Alpine,0 days 00:21:02.053000,1,FP1,,,
GAS,10,142.152,4.0,2.0,44.198,59.778,38.176,173.0,175.0,243.0,239.0,False,HARD,4.0,False,Alpine,0 days 00:22:37.098000,1,FP1,,,
GAS,10,93.398,5.0,2.0,29.671,37.999,25.728,301.0,256.0,238.0,296.0,True,HARD,5.0,False,Alpine,0 days 00:24:59.250000,1,FP1,,,
GAS,10,141.361,6.0,2.0,49.223,61.626,30.512,131.0,195.0,244.0,274.0,False,HARD,6.0,False,Alpine,0 days 00:26:32.648000,1,FP1,,,
GAS,10,107.647,7.0,2.0,29.335,46.233,32.079,298.0,169.0,242.0,250.0,False,HARD,7.0,False,Alpine,0 days 00:28:54.009000,1,FP1,,,
GAS,10,93.512,8.0,2.0,29.634,38.089,25.789,299.0,261.0,234.0,297.0,False,HARD,8.0,False,Alpine,0 days 00:30:41.656000,1,FP1,,,
GAS,10,133.915,9.0,2.0,44.715,57.864,31.336,136.0,175.0,244.0,220.0,False,HARD,9.0,False,Alpine,0 days 00:32:15.168000,1,FP1,,,
GAS,10,93.019,10.0,2.0,29.379,37.803,25.837,294.0,255.0,238.0,297.0,True,HARD,10.0,False,Alpine,0 days 00:34:29.083000,1,FP1,,,
GAS,10,93.803,15.0,4.0,29.567,38.24,25.996,298.0,256.0,237.0,298.0,False,HARD,15.0,False,Alpine,0 days 00:53:50.260000,1,FP1,,,
GAS,10,101.628,16.0,4.0,32.577,42.31,26.741,231.0,247.0,247.0,289.0,False,HARD,16.0,False,Alpine,0 days 00:55:24.063000,1,FP1,,,
GAS,10,123.885,19.0,5.0,38.093,52.812,32.98,198.0,183.0,251.0,169.0,False,MEDIUM,2.0,True,Alpine,0 days 01:08:47.238000,1,FP1,,,
GAS,10,92.195,20.0,5.0,29.311,37.29,25.594,311.0,259.0,238.0,296.0,False,MEDIUM,3.0,True,Alpine,0 days 01:10:51.123000,1,FP1,,,
GAS,10,122.996,23.0,6.0,35.515,46.874,40.607,199.0,198.0,56.0,200.0,False,HARD,19.0,False,Alpine,0 days 01:16:23.788000,1,FP1,,,
PER,11,97.536,2.0,1.0,31.185,39.187,27.164,285.0,257.0,208.0,303.0,True,HARD,2.0,True,Cadillac,0 days 00:18:11.216000,1,FP1,,,
