Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:17:42.677000,NOR,1,,1.0,1.0,0 days 00:15:39.684000,,,0 days 00:00:42.035000,0 days 00:00:38.547000,,0 days 00:17:04.365000,0 days 00:17:42.762000,273.0,243.0,241.0,213.0,False,HARD,1.0,True,McLaren,0 days 00:15:39.684000,2026-07-03 11:30:39.685,1,,,,False,False,FP1,39.1,21.1,50.1
0 days 00:19:15.889000,NOR,1,0 days 00:01:33.212000,2.0,1.0,,,0 days 00:00:29.313000,0 days 00:00:37.423000,0 days 00:00:26.476000,0 days 00:18:11.990000,0 days 00:18:49.413000,0 days 00:19:15.889000,298.0,260.0,231.0,296.0,True,HARD,2.0,True,McLaren,0 days 00:17:42.677000,2026-07-03 11:32:42.678,1,,,,False,True,FP1,39.1,21.1,50.1
0 days 00:21:45.872000,NOR,1,,3.0,1.0,,,0 days 00:00:44.708000,0 days 00:01:04.497000,0 days 00:00:40.942000,0 days 00:20:00.657000,0 days 00:21:05.334000,0 days 00:21:45.872000,168.0,129.0,223.0,182.0,False,HARD,3.0,True,McLaren,0 days 00:19:15.889000,2026-07-03 11:34:15.890,1,,,,False,False,FP1,39.1,21.1,50.1
0 days 00:23:32.705000,NOR,1,0 days 00:01:46.833000,4.0,1.0,,,0 days 00:00:31.841000,0 days 00:00:43.196000,0 days 00:00:31.796000,0 days 00:22:17.713000,0 days 00:23:00.909000,0 days 00:23:32.705000,258.0,198.0,243.0,233.0,True,HARD,4.0,True,McLaren,0 days 00:21:45.872000,2026-07-03 11:36:45.873,1,,,,False,True,FP1,39.1,21.1,50.1
0 days 00:25:04.884000,NOR,1,0 days 00:01:32.179000,5.0,1.0,,,0 days 00:00:29.139000,0 days 00:00:37.392000,0 days 00:00:25.648000,0 days 00:24:01.844000,0 days 00:24:39.236000,0 days 00:25:04.884000,305.0,261.0,235.0,296.0,True,HARD,5.0,True,McLaren,0 days 00:23:32.705000,2026-07-03 11:38:32.706,1,,,,False,True,FP1,38.0,21.2,48.9
0 days 00:27:17.849000,NOR,1,0 days 00:02:12.965000,6.0,1.0,,,0 days 00:00:41.963000,0 days 00:00:56.229000,0 days 00:00:34.773000,0 days 00:25:46.847000,0 days 00:26:43.076000,0 days 00:27:17.849000,187.0,166.0,236.0,148.0,True,HARD,6.0,True,McLaren,0 days 00:25:04.884000,2026-07-03 11:40:04.885,1,,,,False,True,FP1,38.0,21.2,48.9
0 days 00:28:49.444000,NOR,1,0 days 00:01:31.595000,7.0,1.0,,,0 days 00:00:28.898000,0 days 00:00:37.099000,0 days 00:00:25.598000,0 days 00:27:46.747000,0 days 00:28:23.846000,0 days 00:28:49.444000,303.0,262.0,236.0,301.0,True,HARD,7.0,True,McLaren,0 days 00:27:17.849000,2026-07-03 11:42:17.850,1,,,,False,True,FP1,38.0,21.2,48.9
0 days 00:30:55.362000,NOR,1,0 days 00:02:05.918000,8.0,1.0,,,0 days 00:00:38.404000,0 days 00:00:53.150000,0 days 00:00:34.364000,0 days 00:29:27.848000,0 days 00:30:20.998000,0 days 00:30:55.362000,200.0,196.0,240.0,206.0,False,HARD,8.0,True,McLaren,0 days 00:28:49.444000,2026-07-03 11:43:49.445,1,,,,False,True,FP1,38.0,21.2,48.9
0 days 00:32:28.388000,NOR,1,0 days 00:01:33.026000,9.0,1.0,,0 days 00:32:22.481000,0 days 00:00:28.801000,0 days 00:00:37.318000,0 days 00:00:26.907000,0 days 00:31:24.163000,0 days 00:32:01.481000,0 days 00:32:28.388000,306.0,263.0,,298.0,False,HARD,9.0,True,McLaren,0 days 00:30:55.362000,2026-07-03 11:45:55.363,1,,,,False,False,FP1,38.0,21.2,48.9
0 days 00:42:36.159000,NOR,1,,10.0,2.0,0 days 00:40:51.174000,,,0 days 00:00:42.544000,0 days 00:00:31.235000,,0 days 00:42:05.118000,0 days 00:42:36.274000,246.0,240.0,245.0,255.0,False,HARD,10.0,False,McLaren,0 days 00:32:28.388000,2026-07-03 11:47:28.389,1,,,,False,False,FP1,38.0,21.2,48.9
