Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session
0 days 00:16:12.361000,HAM,44,,1.0,1.0,0 days 00:14:07.889000,,,0 days 00:00:48.299000,0 days 00:00:31.398000,,0 days 00:15:41.018000,0 days 00:16:12.604000,244.0,225.0,234.0,275.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:14:07.889000,2026-07-03 15:31:35.696,1,,,,False,False,SQ
0 days 00:17:41.943000,HAM,44,0 days 00:01:29.582000,2.0,1.0,,,0 days 00:00:28.539000,0 days 00:00:36.252000,0 days 00:00:24.791000,0 days 00:16:40.900000,0 days 00:17:17.152000,0 days 00:17:41.943000,299.0,264.0,241.0,301.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:12.361000,2026-07-03 15:33:40.168,1,,,,False,True,SQ
0 days 00:19:48.224000,HAM,44,0 days 00:02:06.281000,3.0,1.0,,,0 days 00:00:42.271000,0 days 00:00:51.332000,0 days 00:00:32.678000,0 days 00:18:24.214000,0 days 00:19:15.546000,0 days 00:19:48.224000,217.0,228.0,236.0,276.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:41.943000,2026-07-03 15:35:09.750,1,,,,False,True,SQ
0 days 00:21:17.497000,HAM,44,0 days 00:01:29.273000,4.0,1.0,,,0 days 00:00:28.501000,0 days 00:00:36.067000,0 days 00:00:24.705000,0 days 00:20:16.725000,0 days 00:20:52.792000,0 days 00:21:17.497000,302.0,268.0,239.0,308.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:19:48.224000,2026-07-03 15:37:16.031,1,,,,False,True,SQ
0 days 00:23:20.304000,HAM,44,0 days 00:02:02.807000,5.0,1.0,,,0 days 00:00:38.371000,0 days 00:00:52.917000,0 days 00:00:31.519000,0 days 00:21:55.868000,0 days 00:22:48.785000,0 days 00:23:20.304000,190.0,231.0,236.0,205.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:21:17.497000,2026-07-03 15:38:45.304,1,,,,False,True,SQ
0 days 00:25:12.388000,HAM,44,0 days 00:01:52.084000,6.0,1.0,,0 days 00:25:06.230000,0 days 00:00:34.774000,0 days 00:00:48.776000,0 days 00:00:28.534000,0 days 00:23:55.078000,0 days 00:24:43.854000,0 days 00:25:12.388000,272.0,217.0,,280.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:23:20.304000,2026-07-03 15:40:48.111,1,,,,False,False,SQ
0 days 00:34:37.921000,HAM,44,,7.0,2.0,0 days 00:32:43.884000,,,0 days 00:00:44.028000,0 days 00:00:31.056000,,0 days 00:34:07.061000,0 days 00:34:37.921000,259.0,235.0,238.0,277.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:25:12.388000,2026-07-03 15:42:40.195,12,,,,False,False,SQ
0 days 00:36:06.668000,HAM,44,0 days 00:01:28.747000,8.0,2.0,,,0 days 00:00:28.304000,0 days 00:00:35.754000,0 days 00:00:24.689000,0 days 00:35:06.225000,0 days 00:35:41.979000,0 days 00:36:06.668000,300.0,266.0,241.0,302.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:37.921000,2026-07-03 15:52:05.728,1,,,,False,True,SQ
0 days 00:38:11.010000,HAM,44,0 days 00:02:04.342000,9.0,2.0,,,0 days 00:00:41.051000,0 days 00:00:51.358000,0 days 00:00:31.933000,0 days 00:36:47.719000,0 days 00:37:39.077000,0 days 00:38:11.010000,203.0,234.0,152.0,279.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:36:06.668000,2026-07-03 15:53:34.475,1,,,,False,True,SQ
0 days 00:40:14.440000,HAM,44,0 days 00:02:03.430000,10.0,2.0,,,0 days 00:00:42.680000,0 days 00:00:47.837000,0 days 00:00:32.913000,0 days 00:38:53.690000,0 days 00:39:41.527000,0 days 00:40:14.440000,254.0,192.0,239.0,283.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:38:11.010000,2026-07-03 15:55:38.817,1,,,,False,True,SQ
0 days 00:41:51.403000,HAM,44,0 days 00:01:36.963000,11.0,2.0,,0 days 00:41:42.475000,0 days 00:00:28.410000,0 days 00:00:35.646000,0 days 00:00:32.907000,0 days 00:40:42.850000,0 days 00:41:18.496000,0 days 00:41:51.403000,300.0,265.0,,298.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:40:14.440000,2026-07-03 15:57:42.247,1,,,,False,False,SQ
0 days 00:56:00.362000,HAM,44,,12.0,3.0,0 days 00:53:54.288000,,,0 days 00:00:45.957000,0 days 00:00:27.451000,,0 days 00:55:32.947000,0 days 00:56:00.438000,266.0,236.0,240.0,278.0,False,SOFT,1.0,True,Ferrari,0 days 00:41:51.403000,2026-07-03 15:59:19.210,12,,,,False,False,SQ
0 days 00:57:28.738000,HAM,44,0 days 00:01:28.376000,13.0,3.0,,,0 days 00:00:28.113000,0 days 00:00:35.706000,0 days 00:00:24.557000,0 days 00:56:28.475000,0 days 00:57:04.181000,0 days 00:57:28.738000,300.0,267.0,241.0,298.0,True,SOFT,2.0,True,Ferrari,0 days 00:56:00.362000,2026-07-03 16:13:28.169,1,,,,False,True,SQ
0 days 00:59:19.656000,HAM,44,,14.0,3.0,,0 days 00:59:19.656000,0 days 00:00:37.858000,0 days 00:00:47.163000,,0 days 00:58:06.608000,0 days 00:58:53.787000,,219.0,219.0,,218.0,False,SOFT,3.0,True,Ferrari,0 days 00:57:28.738000,2026-07-03 16:14:56.545,1,,,,False,False,SQ
0 days 00:15:37.022000,ANT,12,,1.0,1.0,0 days 00:13:52.529000,,,0 days 00:00:41.414000,0 days 00:00:27.801000,,0 days 00:15:09.322000,0 days 00:15:37.267000,234.0,237.0,247.0,249.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:13:52.529000,2026-07-03 15:31:20.336,1,,,,False,False,SQ
0 days 00:17:06.840000,ANT,12,0 days 00:01:29.818000,2.0,1.0,,,0 days 00:00:28.442000,0 days 00:00:36.433000,0 days 00:00:24.943000,0 days 00:16:05.464000,0 days 00:16:41.897000,0 days 00:17:06.840000,298.0,263.0,240.0,296.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:37.022000,2026-07-03 15:33:04.829,1,,,,False,True,SQ
0 days 00:19:07.883000,ANT,12,0 days 00:02:01.043000,3.0,1.0,,0 days 00:19:01.925000,0 days 00:00:40.542000,0 days 00:00:47.836000,0 days 00:00:32.665000,0 days 00:17:47.382000,0 days 00:18:35.218000,0 days 00:19:07.883000,229.0,194.0,,219.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:17:06.840000,2026-07-03 15:34:34.647,1,,,,False,False,SQ
0 days 00:21:46.369000,ANT,12,,4.0,2.0,0 days 00:19:50.504000,,0 days 00:01:17.857000,0 days 00:00:52.849000,0 days 00:00:27.829000,0 days 00:20:25.833000,0 days 00:21:18.591000,0 days 00:21:46.614000,262.0,209.0,244.0,266.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:19:07.883000,2026-07-03 15:36:35.690,1,,,,False,False,SQ
0 days 00:23:16.115000,ANT,12,0 days 00:01:29.746000,5.0,2.0,,,0 days 00:00:28.517000,0 days 00:00:36.212000,0 days 00:00:25.017000,0 days 00:22:14.886000,0 days 00:22:51.098000,0 days 00:23:16.115000,298.0,265.0,249.0,296.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:21:46.369000,2026-07-03 15:39:14.176,1,,,,False,True,SQ
0 days 00:25:16.954000,ANT,12,0 days 00:02:00.839000,6.0,2.0,,0 days 00:25:11.049000,0 days 00:00:41.213000,0 days 00:00:48.822000,0 days 00:00:30.804000,0 days 00:23:57.328000,0 days 00:24:46.150000,0 days 00:25:16.954000,205.0,187.0,,279.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:23:16.115000,2026-07-03 15:40:43.922,1,,,,False,False,SQ
0 days 00:34:43.445000,ANT,12,,7.0,3.0,0 days 00:33:01.381000,,,0 days 00:00:41.467000,0 days 00:00:28.912000,,0 days 00:34:14.564000,0 days 00:34:43.489000,248.0,237.0,248.0,256.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:25:16.954000,2026-07-03 15:42:44.761,12,,,,False,False,SQ
0 days 00:36:12.291000,ANT,12,0 days 00:01:28.846000,8.0,3.0,,,0 days 00:00:28.157000,0 days 00:00:35.623000,0 days 00:00:25.066000,0 days 00:35:11.602000,0 days 00:35:47.225000,0 days 00:36:12.291000,297.0,255.0,247.0,292.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:34:43.445000,2026-07-03 15:52:11.252,1,,,,False,True,SQ
0 days 00:38:17.052000,ANT,12,0 days 00:02:04.761000,9.0,3.0,,0 days 00:38:11.047000,0 days 00:00:38.409000,0 days 00:00:55.289000,0 days 00:00:31.063000,0 days 00:36:50.700000,0 days 00:37:45.989000,0 days 00:38:17.052000,223.0,197.0,,241.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:36:12.291000,2026-07-03 15:53:40.098,1,,,,False,False,SQ
0 days 00:40:55.152000,ANT,12,,10.0,4.0,0 days 00:39:05.705000,,0 days 00:01:24.618000,0 days 00:00:46.335000,0 days 00:00:27.160000,0 days 00:39:41.803000,0 days 00:40:28.082000,0 days 00:40:55.328000,220.0,223.0,248.0,277.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:38:17.052000,2026-07-03 15:55:44.859,1,,,,False,False,SQ
0 days 00:42:24.543000,ANT,12,0 days 00:01:29.391000,11.0,4.0,,,0 days 00:00:28.529000,0 days 00:00:36.137000,0 days 00:00:24.725000,0 days 00:41:23.681000,0 days 00:41:59.818000,0 days 00:42:24.543000,296.0,265.0,246.0,298.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:40:55.152000,2026-07-03 15:58:22.959,1,,,,False,True,SQ
0 days 00:44:18.631000,ANT,12,0 days 00:01:54.088000,12.0,4.0,,0 days 00:44:12.116000,0 days 00:00:36.875000,0 days 00:00:46.243000,0 days 00:00:30.970000,0 days 00:43:01.418000,0 days 00:43:47.661000,0 days 00:44:18.631000,225.0,217.0,,241.0,False,MEDIUM,6.0,False,Mercedes,0 days 00:42:24.543000,2026-07-03 15:59:52.350,12,,,,False,False,SQ
0 days 00:55:38.853000,ANT,12,,13.0,5.0,0 days 00:53:39.171000,,,0 days 00:00:42.031000,0 days 00:00:27.799000,,0 days 00:55:11.062000,0 days 00:55:38.853000,244.0,238.0,249.0,258.0,False,SOFT,1.0,True,Mercedes,0 days 00:44:18.631000,2026-07-03 16:01:46.438,21,,,,False,False,SQ
0 days 00:57:07.240000,ANT,12,0 days 00:01:28.387000,14.0,5.0,,,0 days 00:00:28.094000,0 days 00:00:35.750000,0 days 00:00:24.543000,0 days 00:56:06.947000,0 days 00:56:42.697000,0 days 00:57:07.240000,302.0,268.0,245.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:55:38.853000,2026-07-03 16:13:06.660,1,,,,False,True,SQ
0 days 00:59:06.551000,ANT,12,,15.0,5.0,,0 days 00:59:06.551000,0 days 00:00:40.459000,0 days 00:00:51.677000,,0 days 00:57:47.827000,0 days 00:58:39.367000,,214.0,203.0,,242.0,False,SOFT,3.0,True,Mercedes,0 days 00:57:07.240000,2026-07-03 16:14:35.047,1,,,,False,False,SQ
0 days 00:16:00.301000,LEC,16,,1.0,1.0,0 days 00:14:02.654000,,,0 days 00:00:47.665000,0 days 00:00:29.718000,,0 days 00:15:30.621000,0 days 00:16:00.559000,266.0,233.0,239.0,250.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:14:02.654000,2026-07-03 15:31:30.461,1,,,,False,False,SQ
0 days 00:17:30.094000,LEC,16,0 days 00:01:29.793000,2.0,1.0,,,0 days 00:00:28.668000,0 days 00:00:36.235000,0 days 00:00:24.890000,0 days 00:16:28.969000,0 days 00:17:05.204000,0 days 00:17:30.094000,298.0,267.0,241.0,304.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:00.301000,2026-07-03 15:33:28.108,1,,,,False,True,SQ
0 days 00:19:32.910000,LEC,16,0 days 00:02:02.816000,3.0,1.0,,,0 days 00:00:45.221000,0 days 00:00:48.237000,0 days 00:00:29.358000,0 days 00:18:15.315000,0 days 00:19:03.552000,0 days 00:19:32.910000,218.0,228.0,240.0,276.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:30.094000,2026-07-03 15:34:57.901,1,,,,False,True,SQ
0 days 00:21:02.290000,LEC,16,0 days 00:01:29.380000,4.0,1.0,,,0 days 00:00:28.518000,0 days 00:00:36.067000,0 days 00:00:24.795000,0 days 00:20:01.428000,0 days 00:20:37.495000,0 days 00:21:02.290000,298.0,266.0,242.0,299.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:19:32.910000,2026-07-03 15:37:00.717,1,,,,False,True,SQ
0 days 00:23:00.528000,LEC,16,0 days 00:01:58.238000,5.0,1.0,,0 days 00:22:54.109000,0 days 00:00:38.415000,0 days 00:00:45.406000,0 days 00:00:34.417000,0 days 00:21:40.705000,0 days 00:22:26.111000,0 days 00:23:00.528000,249.0,231.0,,212.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:21:02.290000,2026-07-03 15:38:30.097,1,,,,False,False,SQ
0 days 00:34:32.185000,LEC,16,,6.0,2.0,0 days 00:32:40.242000,,,0 days 00:00:45.015000,0 days 00:00:29.713000,,0 days 00:34:02.490000,0 days 00:34:32.300000,256.0,222.0,240.0,257.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:23:00.528000,2026-07-03 15:40:28.335,12,,,,False,False,SQ
0 days 00:36:01.107000,LEC,16,0 days 00:01:28.922000,7.0,2.0,,,0 days 00:00:28.258000,0 days 00:00:35.925000,0 days 00:00:24.739000,0 days 00:35:00.443000,0 days 00:35:36.368000,0 days 00:36:01.107000,297.0,267.0,243.0,300.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:32.185000,2026-07-03 15:51:59.992,1,,,,False,True,SQ
0 days 00:38:05.217000,LEC,16,0 days 00:02:04.110000,8.0,2.0,,,0 days 00:00:42.381000,0 days 00:00:49.994000,0 days 00:00:31.735000,0 days 00:36:43.488000,0 days 00:37:33.482000,0 days 00:38:05.217000,194.0,214.0,187.0,234.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:36:01.107000,2026-07-03 15:53:28.914,1,,,,False,True,SQ
0 days 00:40:10.060000,LEC,16,0 days 00:02:04.843000,9.0,2.0,,,0 days 00:00:41.793000,0 days 00:00:49.847000,0 days 00:00:33.203000,0 days 00:38:47.010000,0 days 00:39:36.857000,0 days 00:40:10.060000,237.0,197.0,240.0,258.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:38:05.217000,2026-07-03 15:55:33.024,1,,,,False,True,SQ
