Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
HAM,44,89.582,2.0,1.0,28.539,36.252,24.791,299.0,264.0,241.0,301.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:12.361000,1,SQ
HAM,44,126.281,3.0,1.0,42.271,51.332,32.678,217.0,228.0,236.0,276.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:41.943000,1,SQ
HAM,44,89.273,4.0,1.0,28.501,36.067,24.705,302.0,268.0,239.0,308.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:19:48.224000,1,SQ
HAM,44,122.807,5.0,1.0,38.371,52.917,31.519,190.0,231.0,236.0,205.0,False,MEDIUM,5.0,True,Ferrari,0 days 00:21:17.497000,1,SQ
HAM,44,88.747,8.0,2.0,28.304,35.754,24.689,300.0,266.0,241.0,302.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:37.921000,1,SQ
HAM,44,124.342,9.0,2.0,41.051,51.358,31.933,203.0,234.0,152.0,279.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:36:06.668000,1,SQ
HAM,44,123.43,10.0,2.0,42.68,47.837,32.913,254.0,192.0,239.0,283.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:38:11.010000,1,SQ
HAM,44,88.376,13.0,3.0,28.113,35.706,24.557,300.0,267.0,241.0,298.0,True,SOFT,2.0,True,Ferrari,0 days 00:56:00.362000,1,SQ
ANT,12,89.818,2.0,1.0,28.442,36.433,24.943,298.0,263.0,240.0,296.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:15:37.022000,1,SQ
ANT,12,89.746,5.0,2.0,28.517,36.212,25.017,298.0,265.0,249.0,296.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:21:46.369000,1,SQ
ANT,12,88.846,8.0,3.0,28.157,35.623,25.066,297.0,255.0,247.0,292.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:34:43.445000,1,SQ
ANT,12,89.391,11.0,4.0,28.529,36.137,24.725,296.0,265.0,246.0,298.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:40:55.152000,1,SQ
ANT,12,88.387,14.0,5.0,28.094,35.75,24.543,302.0,268.0,245.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:55:38.853000,1,SQ
LEC,16,89.793,2.0,1.0,28.668,36.235,24.89,298.0,267.0,241.0,304.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:00.301000,1,SQ
LEC,16,122.816,3.0,1.0,45.221,48.237,29.358,218.0,228.0,240.0,276.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:30.094000,1,SQ
LEC,16,89.38,4.0,1.0,28.518,36.067,24.795,298.0,266.0,242.0,299.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:19:32.910000,1,SQ
LEC,16,88.922,7.0,2.0,28.258,35.925,24.739,297.0,267.0,243.0,300.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:34:32.185000,1,SQ
